# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11027347320488
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     1.21%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] generic_write_end
     1.21%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_da_write_begin
     1.18%     1.17%  java             [kernel.kallsyms]         [k] sync_regs
     1.17%     0.10%  LocalJobRunner   [kernel.kallsyms]         [k] __mem_cgroup_charge
     1.15%     0.00%  java             [kernel.kallsyms]         [k] rmap_walk
     1.14%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_pages
     1.10%     0.13%  localfetcher#1   [kernel.kallsyms]         [k] get_page_from_freelist
     1.09%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] do_syscall_64
     1.09%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.08%     0.02%  java             [kernel.kallsyms]         [k] find_vma
     1.06%     1.05%  java             [kernel.kallsyms]         [k] vmacache_find
     1.05%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] grab_cache_page_write_begin
     1.05%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] __x64_sys_read
     1.05%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ksys_read
     1.05%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] vfs_read
     1.05%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ext4_file_read_iter
     1.05%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] generic_file_read_iter
     1.05%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] new_sync_read
     1.05%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] pagecache_get_page
     1.05%     0.01%  Sampler Reader   [kernel.kallsyms]         [k] filemap_read
     1.04%     0.00%  java             [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     1.03%     0.08%  java             [kernel.kallsyms]         [k] rmap_walk_anon
     1.02%     0.11%  kswapd0          [kernel.kallsyms]         [k] shrink_page_list
     1.02%     0.06%  java             [kernel.kallsyms]         [k] _raw_spin_lock_irq
     1.01%     0.08%  pool-4-thread-1  [kernel.kallsyms]         [k] add_to_page_cache_lru
