# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'cycles'
# Event count (approx.): 1306201207621
#
# Children      Self  Command          Shared Object      Symbol                                          
# ........  ........  ...............  .................  ................................................
#
     0.68%     0.03%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     0.68%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_journal_start_sb
     0.65%     0.10%  pool-4-thread-1  [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.63%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] jbd2__journal_start
     0.61%     0.07%  kworker/u96:0+e  [kernel.kallsyms]  [k] end_page_writeback
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.60%     0.59%  pool-4-thread-1  [kernel.kallsyms]  [k] __get_user_nocheck_1
     0.57%     0.12%  kworker/u97:7-e  [kernel.kallsyms]  [k] ext4_bio_write_page
     0.55%     0.21%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.54%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_buffer_dirty
     0.53%     0.03%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.52%     0.05%  java             [kernel.kallsyms]  [k] free_unref_page_list
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] do_syscall_64
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.51%     0.16%  kworker/u96:0+e  [kernel.kallsyms]  [k] test_clear_page_writeback
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] arch_do_signal_or_restart
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] get_signal
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] do_exit
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] do_group_exit
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] exit_mmap
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] mmput
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] unmap_single_vma
     0.51%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] unmap_vmas
     0.50%     0.08%  C1 CompilerThre  [kernel.kallsyms]  [k] unmap_page_range
     0.49%     0.49%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_page_accessed
     0.48%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] create_empty_buffers
     0.44%     0.17%  pool-4-thread-1  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.44%     0.07%  java             [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] move_to_new_page
     0.43%     0.42%  pool-4-thread-1  [kernel.kallsyms]  [k] xas_load
     0.43%     0.38%  pool-4-thread-1  [kernel.kallsyms]  [k] rmqueue_bulk
     0.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] migrate_page
     0.42%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_page_buffers
     0.39%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_buffer_head
     0.39%     0.00%  Thread-5         [kernel.kallsyms]  [k] do_syscall_64
     0.39%     0.00%  Thread-5         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.37%     0.09%  java             [kernel.kallsyms]  [k] free_pcppages_bulk
     0.37%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] __set_page_dirty
     0.36%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] release_pages
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] kthread
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] process_one_work
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] ret_from_fork
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] worker_thread
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] __writeback_single_inode
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] do_writepages
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] wb_workfn
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] wb_writeback
     0.36%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.36%     0.01%  kworker/u97:6+f  [kernel.kallsyms]  [k] ext4_writepages
     0.35%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_syscall_64
     0.35%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.34%     0.12%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.34%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_reserve_inode_write
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] arch_do_signal_or_restart
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] get_signal
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_exit
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_group_exit
     0.33%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] tlb_flush_mmu
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_mmap
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] mmput
     0.33%     0.04%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_page_range
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_single_vma
     0.33%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_vmas
     0.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __pagevec_release
     0.32%     0.00%  Thread-5         [kernel.kallsyms]  [k] __x64_sys_unlink
     0.32%     0.00%  Thread-5         [kernel.kallsyms]  [k] do_unlinkat
     0.32%     0.24%  pool-4-thread-1  [kernel.kallsyms]  [k] lru_gen_add_page
     0.32%     0.10%  C1 CompilerThre  [kernel.kallsyms]  [k] release_pages
     0.32%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.32%     0.00%  Thread-5         [kernel.kallsyms]  [k] iput
     0.32%     0.00%  Thread-5         [kernel.kallsyms]  [k] iput.part.0
     0.32%     0.00%  Thread-5         [kernel.kallsyms]  [k] evict
     0.32%     0.00%  Thread-5         [kernel.kallsyms]  [k] ext4_evict_inode
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.31%     0.22%  pool-4-thread-1  [kernel.kallsyms]  [k] start_this_handle
     0.31%     0.10%  kworker/u97:7-e  [kernel.kallsyms]  [k] __test_set_page_writeback
     0.31%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.31%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] do_syscall_64
     0.31%     0.00%  Thread-5         [kernel.kallsyms]  [k] truncate_inode_pages_range
     0.31%     0.00%  Thread-5         [kernel.kallsyms]  [k] truncate_inode_pages_final
     0.30%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.30%     0.30%  pool-4-thread-1  [kernel.kallsyms]  [k] sync_regs
     0.28%     0.21%  java             [kernel.kallsyms]  [k] lru_gen_update_size
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     0.28%     0.28%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_page
     0.28%     0.28%  java             [kernel.kallsyms]  [k] __free_one_page
     0.28%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_journal_stop
     0.28%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.28%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.27%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] arch_do_signal_or_restart
     0.27%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] get_signal
     0.27%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] do_exit
     0.27%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] do_group_exit
     0.27%     0.05%  Readahead Threa  [kernel.kallsyms]  [k] unmap_page_range
     0.27%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] exit_mmap
     0.27%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] mmput
     0.27%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] unmap_single_vma
     0.27%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] unmap_vmas
     0.26%     0.22%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock
     0.26%     0.19%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.26%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] jbd2_journal_stop
     0.26%     0.01%  Thread-5         [kernel.kallsyms]  [k] truncate_exceptional_pvec_entries.part.0
     0.25%     0.16%  pool-4-thread-1  [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.25%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.25%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_get_inode_loc
     0.25%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] PageHuge
     0.24%     0.00%  kworker/u97:6+f  [kernel.kallsyms]  [k] mpage_submit_page
     0.24%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.24%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compaction_alloc
     0.24%     0.10%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_get_inode_loc
     0.24%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_inode_csum_set
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] tlb_flush_mmu
     0.23%     0.01%  kcompactd1       [kernel.kallsyms]  [k] move_to_new_page
     0.23%     0.10%  java             [kernel.kallsyms]  [k] page_remove_rmap
     0.22%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.22%     0.17%  kworker/u96:0+e  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.22%     0.01%  kcompactd1       [kernel.kallsyms]  [k] split_map_pages
     0.22%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] read_pages
     0.22%     0.04%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.22%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_es_insert_delayed_block
     0.22%     0.04%  C2 CompilerThre  [kernel.kallsyms]  [k] release_pages
     0.22%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] xa_get_order
     0.22%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] xas_store
     0.21%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.21%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_inode_csum
     0.21%     0.20%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_read_lock
     0.20%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.20%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.20%     0.00%  kcompactd1       [kernel.kallsyms]  [k] post_alloc_hook
     0.20%     0.19%  java             [kernel.kallsyms]  [k] down_read_trylock
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] kthread
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] ret_from_fork
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] worker_thread
     0.20%     0.01%  kworker/u98:1-f  [kernel.kallsyms]  [k] ext4_writepages
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] __writeback_single_inode
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] do_writepages
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] process_one_work
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] wb_workfn
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] wb_writeback
     0.20%     0.00%  kworker/u98:1-f  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.19%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] delete_from_page_cache_batch
     0.19%     0.03%  kworker/u97:6+f  [kernel.kallsyms]  [k] ext4_bio_write_page
     0.18%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.18%     0.18%  kcompactd1       [kernel.kallsyms]  [k] clear_page_erms
     0.18%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] crypto_shash_update
     0.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] irqentry_exit
     0.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] change_prot_numa
     0.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] task_numa_work
     0.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] task_work_run
     0.18%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] find_lock_entries
     0.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.18%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] tlb_flush_mmu
     0.17%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.17%     0.09%  kworker/u97:7-e  [kernel.kallsyms]  [k] clear_page_dirty_for_io
     0.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     0.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     0.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     0.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     0.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     0.17%     0.07%  Readahead Threa  [kernel.kallsyms]  [k] release_pages
     0.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     0.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     0.17%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] charge_memcg
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_readahead
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __put_page
     0.16%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.16%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] stop_this_handle
     0.16%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.16%     0.02%  kworker/u97:7-e  [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.15%     0.00%  kcompactd1       [kernel.kallsyms]  [k] buffer_migrate_page
     0.15%     0.15%  pool-4-thread-1  [kernel.kallsyms]  [k] __free_one_page
     0.15%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] change_protection
     0.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.15%     0.15%  kcompactd1       [kernel.kallsyms]  [k] copy_page
     0.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] free_unref_page_list
     0.15%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.14%     0.02%  C1 CompilerThre  [kernel.kallsyms]  [k] free_unref_page_list
     0.14%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.14%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] crc32c_pcl_intel_update
     0.14%     0.13%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_es_lookup_extent
