# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8625147750795
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                     
# ........  ........  ...............  ..........................  ...........................................................................................................................................................................
#
     1.15%     0.39%  mariadbd         [kernel.kallsyms]           [k] futex_wait_setup
     1.15%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] __sys_recvfrom
     1.14%     0.30%  mariadbd         [kernel.kallsyms]           [k] enqueue_task_fair
     1.13%     0.07%  mariadbd         [kernel.kallsyms]           [k] do_poll.constprop.0
     1.09%     0.01%  mariadbd         [kernel.kallsyms]           [k] __wake_up_common_lock
     1.08%     0.14%  mariadbd         [kernel.kallsyms]           [k] nvme_queue_rq
     1.06%     0.05%  mariadbd         [kernel.kallsyms]           [k] sock_def_readable
     1.06%     0.00%  swapper          [kernel.kallsyms]           [k] tick_sched_handle
     1.06%     0.05%  swapper          [kernel.kallsyms]           [k] update_process_times
     1.04%     0.08%  mariadbd         [kernel.kallsyms]           [k] __wake_up_common
     1.04%     0.15%  mariadbd         [kernel.kallsyms]           [k] select_idle_sibling
     1.00%     0.01%  mariadbd         [kernel.kallsyms]           [k] io_schedule_timeout
     0.98%     0.02%  mariadbd         [kernel.kallsyms]           [k] schedule_timeout
     0.98%     0.01%  swapper          [kernel.kallsyms]           [k] blk_mq_end_request
     0.98%     0.06%  swapper          [kernel.kallsyms]           [k] tick_nohz_restart_sched_tick
     0.97%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_recvmsg
     0.97%     0.05%  mariadbd         [kernel.kallsyms]           [k] ext4_map_blocks
     0.97%     0.08%  tclsh8.6         [kernel.kallsyms]           [k] do_poll.constprop.0
     0.97%     0.95%  mariadbd         [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath.part.0
     0.96%     0.02%  mariadbd         [kernel.kallsyms]           [k] __submit_bio_noacct_mq
     0.96%     0.10%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_read_generic
     0.95%     0.05%  mariadbd         [kernel.kallsyms]           [k] pollwake
     0.95%     0.01%  mariadbd         [kernel.kallsyms]           [k] perf_event_task_tick
     0.94%     0.11%  mariadbd         [kernel.kallsyms]           [k] perf_adjust_freq_unthr_context
     0.93%     0.01%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_recvfrom
     0.93%     0.02%  swapper          [kernel.kallsyms]           [k] scheduler_tick
