# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4651019295122
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                               
# ........  ........  ...............  ...................................  .....................................................................................................................................................................................................
#
     1.26%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] __alloc_pages
     1.26%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] handle_mm_fault
     1.25%     0.00%  GC Thread#10     [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.25%     0.00%  GC Thread#10     [kernel.kallsyms]                    [k] exc_page_fault
     1.25%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] do_anonymous_page
     1.25%     0.00%  GC Thread#10     [kernel.kallsyms]                    [k] do_user_addr_fault
     1.25%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] __handle_mm_fault
     1.25%     0.00%  GC Thread#1      [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
     1.25%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.25%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] exc_page_fault
     1.25%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] do_user_addr_fault
     1.25%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] __alloc_pages
     1.24%     0.00%  GC Thread#10     [kernel.kallsyms]                    [k] handle_mm_fault
     1.24%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] do_anonymous_page
     1.24%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
     1.24%     0.00%  GC Thread#10     [kernel.kallsyms]                    [k] __handle_mm_fault
     1.24%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] alloc_pages_vma
     1.24%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
     1.24%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] handle_mm_fault
     1.23%     0.00%  GC Thread#10     [kernel.kallsyms]                    [k] do_anonymous_page
     1.23%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] __handle_mm_fault
     1.22%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.22%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.22%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] exc_page_fault
     1.22%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] do_anonymous_page
     1.22%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] exc_page_fault
     1.22%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] do_user_addr_fault
     1.22%     0.00%  Executor task l  [kernel.kallsyms]                    [k] grab_cache_page_write_begin
     1.22%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] do_user_addr_fault
     1.22%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] alloc_pages_vma
     1.22%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] __alloc_pages
     1.21%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] handle_mm_fault
     1.21%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] handle_mm_fault
     1.21%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] __handle_mm_fault
     1.21%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
