# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     1.14%     0.30%  postgres         [kernel.kallsyms]     [k] futex_wake
     1.02%     0.00%  postgres         [kernel.kallsyms]     [k] asm_exc_page_fault
     1.02%     0.04%  postgres         [kernel.kallsyms]     [k] futex_wait
     1.01%     0.00%  kcompactd1       [kernel.kallsyms]     [k] rmap_walk
     1.01%     0.01%  postgres         [kernel.kallsyms]     [k] schedule
     1.00%     0.06%  postgres         [kernel.kallsyms]     [k] __schedule
     0.95%     0.01%  postgres         [kernel.kallsyms]     [k] exc_page_fault
     0.94%     0.59%  postgres         [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.93%     0.00%  postgres         [kernel.kallsyms]     [k] do_user_addr_fault
     0.92%     0.85%  swapper          [kernel.kallsyms]     [k] poll_idle
     0.92%     0.01%  kcompactd1       [kernel.kallsyms]     [k] rmap_walk_file
     0.91%     0.75%  postgres         [kernel.kallsyms]     [k] mark_page_accessed
     0.89%     0.01%  postgres         [kernel.kallsyms]     [k] handle_mm_fault
     0.87%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.87%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_da_write_end
     0.87%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] do_syscall_64
     0.87%     0.02%  postgres         [kernel.kallsyms]     [k] generic_write_end
     0.86%     0.04%  postgres         [kernel.kallsyms]     [k] try_to_wake_up
     0.86%     0.01%  postgres         [kernel.kallsyms]     [k] futex_wait_queue_me
     0.80%     0.00%  postgres         [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.80%     0.73%  postgres         [kernel.kallsyms]     [k] mark_buffer_dirty
     0.79%     0.79%  postgres         [unknown]             [.] 0000000000000000
     0.73%     0.01%  postgres         [kernel.kallsyms]     [k] wake_up_q
     0.72%     0.01%  postgres         [kernel.kallsyms]     [k] tlb_remove_page
     0.66%     0.09%  postgres         [kernel.kallsyms]     [k] free_unref_page_list
     0.65%     0.58%  postgres         [kernel.kallsyms]     [k] free_swap_cache
     0.64%     0.00%  postgres         [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.63%     0.06%  postgres         [kernel.kallsyms]     [k] __handle_mm_fault
     0.62%     0.00%  postgres         [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.61%     0.53%  postgres         [kernel.kallsyms]     [k] lock_page_memcg
     0.61%     0.00%  kcompactd1       [kernel.kallsyms]     [k] try_to_migrate
     0.58%     0.56%  kcompactd1       [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.57%     0.10%  postgres         [kernel.kallsyms]     [k] free_pcppages_bulk
