# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.34%     0.34%  postgres    [kernel.kallsyms]  [k] __free_one_page
     0.28%     0.00%  swapper     [kernel.kallsyms]  [k] arch_call_rest_init
     0.28%     0.00%  swapper     [kernel.kallsyms]  [k] rest_init
     0.28%     0.00%  swapper     [kernel.kallsyms]  [k] start_kernel
     0.28%     0.00%  swapper     [kernel.kallsyms]  [k] x86_64_start_kernel
     0.28%     0.00%  swapper     [kernel.kallsyms]  [k] x86_64_start_reservations
     0.24%     0.02%  kcompactd1  [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.24%     0.00%  kcompactd1  [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.24%     0.00%  kcompactd1  [kernel.kallsyms]  [k] ptep_clear_flush
     0.22%     0.22%  kcompactd1  [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.22%     0.00%  kcompactd1  [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.20%     0.20%  postgres    [kernel.kallsyms]  [k] vm_normal_page
     0.17%     0.00%  kcompactd1  [kernel.kallsyms]  [k] compaction_alloc
     0.15%     0.04%  kcompactd1  [kernel.kallsyms]  [k] isolate_freepages_block
     0.15%     0.13%  postgres    [kernel.kallsyms]  [k] unlock_page_memcg
     0.13%     0.13%  postgres    [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.13%     0.00%  kcompactd1  [kernel.kallsyms]  [k] migrate_page
     0.13%     0.00%  kcompactd1  [kernel.kallsyms]  [k] move_to_new_page
     0.11%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_syscall_64
     0.11%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.11%     0.11%  kcompactd1  [kernel.kallsyms]  [k] copy_page
     0.11%     0.00%  postgres    [kernel.kallsyms]  [k] lru_add_drain
     0.11%     0.00%  postgres    [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.11%     0.00%  postgres    [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.10%     0.01%  postgres    [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.10%     0.08%  postgres    [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.09%     0.08%  postgres    [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.09%     0.09%  kcompactd1  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.09%     0.00%  kcompactd1  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
