# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 808077467991
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] irq_exit_rcu
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] run_rebalance_domains
     0.05%     0.02%  postgres         [kernel.kallsyms]  [k] __wake_up_common
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] sock_def_readable
     0.05%     0.04%  postgres         [kernel.kallsyms]  [k] __count_memcg_events
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] __common_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] asm_common_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] common_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] handle_edge_irq
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] handle_irq_event
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] nvme_irq
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] nvme_process_cq
     0.05%     0.01%  postgres         [kernel.kallsyms]  [k] rmqueue_bulk
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.05%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] sysvec_call_function
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] inet_sendmsg
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] udp_sendmsg
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_futex
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_futex
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] blk_mq_end_request
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] nvme_complete_rq
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] flush_tlb_func
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] futex_wait_setup
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] get_futex_key
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] get_user_pages_fast
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_handle
     0.04%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] unmap_page_range
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_exit
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_group_exit
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exit_mmap
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] mmput
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unmap_single_vma
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unmap_vmas
