# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 306K of event 'cycles'
# Event count (approx.): 8606317184185
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.45%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages
     0.44%     0.01%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.44%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __page_cache_alloc
     0.43%     0.00%  java             [kernel.kallsyms]     [k] shrink_page_list
     0.42%     0.41%  java             [kernel.kallsyms]     [k] sync_regs
     0.40%     0.00%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.40%     0.00%  java             [kernel.kallsyms]     [k] __remove_mapping
     0.40%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     0.40%     0.40%  InMemoryMerger   [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.40%     0.00%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] kthread
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] ret_from_fork
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] worker_thread
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] process_one_work
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] __writeback_single_inode
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] do_writepages
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] wb_workfn
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] wb_writeback
     0.39%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] writeback_sb_inodes
     0.39%     0.02%  kworker/u97:1    [kernel.kallsyms]     [k] ext4_writepages
     0.39%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.39%     0.05%  InMemoryMerger   [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.39%     0.00%  java             [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.38%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_futex
     0.38%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.38%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_futex
     0.37%     0.00%  kswapd0          [kernel.kallsyms]     [k] __delete_from_page_cache
     0.37%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.37%     0.00%  java             [kernel.kallsyms]     [k] arch_do_signal_or_restart
     0.37%     0.00%  java             [kernel.kallsyms]     [k] get_signal
     0.37%     0.00%  java             [kernel.kallsyms]     [k] do_exit
     0.37%     0.00%  java             [kernel.kallsyms]     [k] do_group_exit
     0.37%     0.00%  java             [kernel.kallsyms]     [k] exit_mmap
     0.37%     0.00%  java             [kernel.kallsyms]     [k] mmput
     0.37%     0.00%  java             [kernel.kallsyms]     [k] unmap_single_vma
     0.37%     0.00%  java             [kernel.kallsyms]     [k] unmap_vmas
     0.37%     0.08%  java             [kernel.kallsyms]     [k] unmap_page_range
     0.36%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.36%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.35%     0.09%  pool-4-thread-1  [kernel.kallsyms]     [k] __handle_mm_fault
     0.35%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kcompactd
     0.35%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kthread
     0.35%     0.00%  kcompactd0       [kernel.kallsyms]     [k] ret_from_fork
     0.35%     0.00%  kcompactd0       [kernel.kallsyms]     [k] compact_zone
     0.35%     0.00%  kcompactd0       [kernel.kallsyms]     [k] proactive_compact_node
     0.35%     0.35%  pool-4-thread-1  [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.35%     0.06%  kworker/u98:1-f  [kernel.kallsyms]     [k] ext4_bio_write_page
     0.34%     0.32%  localfetcher#1   [kernel.kallsyms]     [k] _raw_spin_lock
     0.34%     0.11%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.34%     0.10%  InMemoryMerger   [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.34%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     0.34%     0.03%  InMemoryMerger   [kernel.kallsyms]     [k] mark_buffer_dirty
     0.34%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     0.33%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] charge_memcg
     0.33%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.33%     0.33%  java             [kernel.kallsyms]     [k] clear_page_erms
     0.33%     0.09%  pool-4-thread-1  [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.32%     0.01%  kcompactd0       [kernel.kallsyms]     [k] migrate_pages
     0.32%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] jbd2__journal_start
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.31%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.31%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.31%     0.14%  InMemoryMerger   [kernel.kallsyms]     [k] __handle_mm_fault
     0.31%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     0.30%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] __mod_lruvec_state
     0.30%     0.10%  localfetcher#1   [kernel.kallsyms]     [k] charge_memcg
     0.30%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages_vma
     0.30%     0.00%  kswapd0          [kernel.kallsyms]     [k] try_to_release_page
     0.30%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] jbd2__journal_start
     0.29%     0.01%  kswapd0          [kernel.kallsyms]     [k] ext4_releasepage
     0.29%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.29%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] mark_buffer_dirty
     0.29%     0.01%  kswapd0          [kernel.kallsyms]     [k] jbd2_journal_try_to_free_buffers
     0.28%     0.03%  java             [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.28%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] lru_cache_add
     0.28%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] worker_thread
     0.28%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] kthread
     0.28%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ret_from_fork
     0.28%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] process_one_work
     0.27%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.27%     0.03%  InMemoryMerger   [kernel.kallsyms]     [k] __set_page_dirty
     0.27%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] mem_cgroup_charge_statistics.constprop.0
     0.27%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.27%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     0.27%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.27%     0.06%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.27%     0.05%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_get_block_prep
     0.27%     0.00%  java             [kernel.kallsyms]     [k] rmap_walk
     0.27%     0.00%  kworker/u97:1    [kernel.kallsyms]     [k] mpage_submit_page
     0.27%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     0.26%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     0.26%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     0.26%     0.01%  java             [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.25%     0.01%  java             [kernel.kallsyms]     [k] hrtimer_interrupt
     0.25%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kcompactd
     0.25%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kthread
     0.25%     0.00%  kcompactd1       [kernel.kallsyms]     [k] ret_from_fork
     0.25%     0.00%  kcompactd1       [kernel.kallsyms]     [k] compact_zone
     0.25%     0.00%  kcompactd1       [kernel.kallsyms]     [k] proactive_compact_node
     0.25%     0.18%  kworker/u96:0-e  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.25%     0.02%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     0.25%     0.08%  InMemoryMerger   [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.25%     0.22%  kswapd0          [kernel.kallsyms]     [k] isolate_lru_pages
     0.24%     0.10%  pool-4-thread-1  [kernel.kallsyms]     [k] __pagevec_lru_add
     0.24%     0.01%  kcompactd1       [kernel.kallsyms]     [k] migrate_pages
     0.24%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] __set_page_dirty
     0.23%     0.10%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_mark_iloc_dirty
     0.23%     0.22%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     0.23%     0.01%  java             [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.23%     0.01%  kswapd1          [kernel.kallsyms]     [k] __remove_mapping
     0.22%     0.03%  kswapd0          [kernel.kallsyms]     [k] free_unref_page_list
     0.22%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.22%     0.05%  InMemoryMerger   [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.22%     0.07%  pool-4-thread-1  [kernel.kallsyms]     [k] __mod_memcg_state.part.0
