# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 9560623236151
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.87%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] do_futex
     0.87%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] do_syscall_64
     0.87%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.87%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] futex_wake
     0.87%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] try_to_wake_up
     0.87%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] wake_up_q
     0.87%     0.04%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     0.87%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] ttwu_queue_wakelist
     0.86%     0.86%  ReadStage-8      [kernel.kallsyms]                   [k] send_call_function_single_ipi
     0.86%     0.00%  ReadStage-8      [kernel.kallsyms]                   [k] __smp_call_single_queue
     0.86%     0.86%  ReadStage-107    [kernel.kallsyms]                   [k] save_fpregs_to_fpstate
     0.79%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.79%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.78%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     0.78%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] __handle_mm_fault
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] asm_exc_page_fault
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] do_user_addr_fault
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] exc_page_fault
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] handle_mm_fault
     0.78%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] __do_fault
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] do_page_cache_ra
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] filemap_fault
     0.78%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     0.77%     0.05%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     0.77%     0.76%  ReadStage-94     [kernel.kallsyms]                   [k] __alloc_pages
     0.77%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] __page_cache_alloc
     0.77%     0.00%  ReadStage-94     [kernel.kallsyms]                   [k] alloc_pages
     0.76%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.76%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.76%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.76%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.76%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.75%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.74%     0.02%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.74%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.74%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.71%     0.24%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.70%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.69%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] __do_fault
     0.69%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] __handle_mm_fault
     0.69%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] asm_exc_page_fault
     0.69%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] do_user_addr_fault
     0.69%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] exc_page_fault
     0.69%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] filemap_fault
     0.69%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] handle_mm_fault
     0.68%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     0.68%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] read_pages
     0.67%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] do_page_cache_ra
     0.66%     0.66%  ReadStage-20     [kernel.kallsyms]                   [k] __blk_rq_map_sg
     0.66%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.66%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] blk_finish_plug
     0.66%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.66%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.66%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.66%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.66%     0.00%  ReadStage-20     [kernel.kallsyms]                   [k] nvme_queue_rq
     0.65%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     0.64%     0.10%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.61%     0.07%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.59%     0.00%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.58%     0.01%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.55%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.53%     0.41%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.53%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.52%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
