# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 497107380826
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................
#
     1.41%     0.02%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.41%     0.02%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.39%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.38%     0.64%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.32%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     1.32%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
     1.32%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     1.32%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     1.31%     0.01%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.31%     0.06%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.30%     0.01%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.29%     0.06%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.29%     0.03%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.29%     0.02%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.29%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     1.28%     0.08%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.28%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     1.28%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     1.27%     0.00%  kswapd0          [kernel.kallsyms]    [k] evict_pages
     1.27%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_shrink_lruvec
     1.26%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.25%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.23%     0.28%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.22%     0.01%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     1.22%     0.03%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.19%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.19%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.19%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.17%     0.03%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.17%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.15%     0.05%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     1.14%     0.02%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.14%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.14%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.13%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.13%     0.37%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.12%     0.32%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     1.11%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.11%     1.09%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.10%     0.41%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.10%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.09%     0.01%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.09%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.08%     0.02%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.08%     0.07%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.08%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.07%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     1.07%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     1.07%     0.01%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.07%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     1.07%     0.03%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     1.07%     0.08%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.07%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     1.06%     0.16%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.06%     0.03%  swapper          [kernel.kallsyms]    [k] nvme_irq
     1.06%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     1.05%     0.30%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     1.05%     0.06%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     1.05%     0.01%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     1.04%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.03%     0.08%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     1.03%     0.05%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     1.03%     0.00%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     1.03%     0.01%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     1.03%     0.01%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.02%     0.30%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     1.01%     0.04%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     1.01%     0.46%  swapper          [kernel.kallsyms]    [k] update_load_avg
     1.00%     0.06%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     1.00%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     0.99%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     0.97%     0.79%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.97%     0.11%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.96%     0.20%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     0.94%     0.01%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.94%     0.56%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.94%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.93%     0.93%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.93%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     0.93%     0.16%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.92%     0.05%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.91%     0.01%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.90%     0.00%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     0.90%     0.03%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.89%     0.00%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     0.89%     0.00%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
     0.89%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     0.85%     0.01%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     0.85%     0.00%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.84%     0.06%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.84%     0.03%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.84%     0.07%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     0.80%     0.06%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.78%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     0.77%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     0.77%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.77%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.77%     0.02%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.77%     0.02%  mariadbd         [kernel.kallsyms]    [k] wake_affine
