# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11344016313642
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     1.21%     0.03%  java             [kernel.kallsyms]   [k] find_vma
     1.21%     0.00%  java             [kernel.kallsyms]   [k] rmap_walk
     1.20%     0.00%  kswapd1          [kernel.kallsyms]   [k] kswapd
     1.20%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     1.20%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     1.19%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     1.19%     1.18%  java             [kernel.kallsyms]   [k] vmacache_find
     1.18%     0.00%  java             [kernel.kallsyms]   [k] move_to_new_page
     1.17%     0.00%  java             [kernel.kallsyms]   [k] migrate_page
     1.17%     0.00%  kswapd0          [kernel.kallsyms]   [k] kthread
     1.17%     0.00%  kswapd0          [kernel.kallsyms]   [k] ret_from_fork
     1.17%     0.00%  kswapd0          [kernel.kallsyms]   [k] kswapd
     1.16%     0.00%  kswapd0          [kernel.kallsyms]   [k] balance_pgdat
     1.16%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_node
     1.15%     0.12%  LocalJobRunner   [kernel.kallsyms]   [k] add_to_page_cache_lru
     1.15%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_da_write_end
     1.15%     0.12%  java             [kernel.kallsyms]   [k] get_page_from_freelist
     1.12%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] generic_write_end
     1.11%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_lruvec
     1.11%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] __alloc_pages
     1.10%     0.00%  kswapd0          [kernel.kallsyms]   [k] evict_pages
     1.10%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_begin
     1.09%     0.10%  java             [kernel.kallsyms]   [k] rmap_walk_anon
     1.09%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     1.02%     0.36%  java             [kernel.kallsyms]   [k] _raw_spin_lock
     1.01%     0.13%  localfetcher#1   [kernel.kallsyms]   [k] get_page_from_freelist
     0.99%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_lruvec
     0.99%     0.03%  LocalJobRunner   [kernel.kallsyms]   [k] migrate_misplaced_page
     0.98%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] grab_cache_page_write_begin
     0.98%     0.01%  kswapd1          [kernel.kallsyms]   [k] evict_pages
     0.98%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] pagecache_get_page
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] do_syscall_64
     0.96%     0.96%  LocalJobRunner   libc.so.6           [.] 0x00000000001b2eae
     0.96%     0.94%  LocalJobRunner   [kernel.kallsyms]   [k] sync_regs
     0.93%     0.34%  LocalJobRunner   [kernel.kallsyms]   [k] charge_memcg
     0.93%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] vfs_read
     0.93%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] __x64_sys_read
     0.93%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] ksys_read
     0.93%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] ext4_file_read_iter
     0.93%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] new_sync_read
     0.93%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] generic_file_read_iter
     0.93%     0.01%  Sampler Reader   [kernel.kallsyms]   [k] filemap_read
     0.92%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] alloc_pages
     0.89%     0.06%  pool-4-thread-1  [kernel.kallsyms]   [k] add_to_page_cache_lru
     0.89%     0.03%  LocalJobRunner   [kernel.kallsyms]   [k] __mark_inode_dirty
     0.88%     0.02%  java             [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.88%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     0.88%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] pagecache_get_page
     0.86%     0.86%  java             [kernel.kallsyms]   [k] clear_page_erms
     0.86%     0.01%  java             [kernel.kallsyms]   [k] do_syscall_64
     0.86%     0.10%  kswapd0          [kernel.kallsyms]   [k] shrink_page_list
     0.86%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_dirty_inode
     0.85%     0.59%  LocalJobRunner   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.84%     0.12%  LocalJobRunner   [kernel.kallsyms]   [k] migrate_pages
     0.82%     0.00%  java             [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.81%     0.58%  Sampler Reader   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.81%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] add_to_page_cache_lru
     0.81%     0.00%  java             [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     0.77%     0.77%  java             [kernel.kallsyms]   [k] copy_page
     0.75%     0.08%  kswapd1          [kernel.kallsyms]   [k] shrink_page_list
     0.72%     0.71%  localfetcher#1   [kernel.kallsyms]   [k] clear_page_erms
     0.71%     0.09%  LocalJobRunner   [kernel.kallsyms]   [k] lru_cache_add
     0.70%     0.05%  java             [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.69%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] worker_thread
     0.69%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] kthread
     0.69%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ret_from_fork
