# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8025463247800
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     1.24%     0.02%  java             [kernel.kallsyms]         [k] schedule
     1.23%     0.05%  java             [kernel.kallsyms]         [k] find_vma
     1.22%     0.28%  java             [kernel.kallsyms]         [k] try_to_migrate_one
     1.21%     0.09%  localfetcher#1   [kernel.kallsyms]         [k] get_page_from_freelist
     1.20%     0.03%  java             [kernel.kallsyms]         [k] __hrtimer_run_queues
     1.20%     1.19%  java             [kernel.kallsyms]         [k] vmacache_find
     1.18%     0.29%  java             [kernel.kallsyms]         [k] __schedule
     1.14%     0.88%  java             [kernel.kallsyms]         [k] __count_memcg_events
     1.13%     0.00%  java             [kernel.kallsyms]         [k] alloc_misplaced_dst_page
     1.11%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_futex
     1.10%     0.02%  java             [kernel.kallsyms]         [k] migrate_page_copy
     1.09%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] do_futex
     1.07%     0.12%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add
     1.07%     0.14%  java             [kernel.kallsyms]         [k] migrate_page_states
     1.04%     0.01%  java             [kernel.kallsyms]         [k] __put_page
     1.00%     0.00%  java             [kernel.kallsyms]         [k] tick_sched_timer
     0.97%     0.94%  java             [kernel.kallsyms]         [k] task_numa_fault
     0.97%     0.96%  localfetcher#1   [kernel.kallsyms]         [k] clear_page_erms
     0.96%     0.40%  LocalJobRunner   [kernel.kallsyms]         [k] charge_memcg
     0.93%     0.24%  LocalJobRunner   [kernel.kallsyms]         [k] __pagevec_lru_add
     0.93%     0.07%  java             [kernel.kallsyms]         [k] update_process_times
     0.92%     0.02%  VM Thread        [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.92%     0.02%  java             [kernel.kallsyms]         [k] alloc_pages_vma
     0.92%     0.00%  java             [kernel.kallsyms]         [k] tick_sched_handle
     0.92%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] asm_exc_page_fault
     0.90%     0.05%  java             [kernel.kallsyms]         [k] mem_cgroup_migrate
     0.90%     0.01%  VM Thread        [kernel.kallsyms]         [k] do_syscall_64
     0.88%     0.05%  java             [kernel.kallsyms]         [k] isolate_lru_page
     0.87%     0.44%  java             [kernel.kallsyms]         [k] numa_migrate_prep
     0.87%     0.68%  java             [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.86%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     0.83%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] hrtimer_interrupt
     0.82%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_block_write_begin
     0.82%     0.81%  LocalJobRunner   [kernel.kallsyms]         [k] sync_regs
     0.81%     0.00%  java             [kernel.kallsyms]         [k] task_work_run
     0.81%     0.00%  java             [kernel.kallsyms]         [k] task_numa_work
     0.81%     0.00%  java             [kernel.kallsyms]         [k] change_prot_numa
     0.80%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kthread
     0.80%     0.00%  kcompactd0       [kernel.kallsyms]         [k] ret_from_fork
     0.80%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kcompactd
     0.80%     0.00%  kcompactd0       [kernel.kallsyms]         [k] compact_zone
     0.79%     0.00%  kcompactd0       [kernel.kallsyms]         [k] proactive_compact_node
     0.78%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_get_pages
     0.77%     0.71%  java             [kernel.kallsyms]         [k] page_counter_charge
     0.76%     0.01%  kcompactd0       [kernel.kallsyms]         [k] migrate_pages
     0.75%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.75%     0.72%  java             [kernel.kallsyms]         [k] page_vma_mapped_walk
     0.73%     0.69%  java             [kernel.kallsyms]         [k] change_protection
     0.73%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_lruvec
     0.73%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.72%     0.00%  java             [kernel.kallsyms]         [k] __mem_cgroup_uncharge
     0.72%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add_inactive_or_unevictable
     0.72%     0.00%  kswapd0          [kernel.kallsyms]         [k] evict_pages
     0.71%     0.01%  VM Thread        [kernel.kallsyms]         [k] asm_exc_page_fault
     0.71%     0.00%  kswapd1          [kernel.kallsyms]         [k] kswapd
     0.71%     0.00%  kswapd1          [kernel.kallsyms]         [k] kthread
     0.71%     0.00%  kswapd1          [kernel.kallsyms]         [k] ret_from_fork
     0.71%     0.00%  kswapd1          [kernel.kallsyms]         [k] balance_pgdat
     0.71%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_node
     0.69%     0.01%  Sampler Reader   [kernel.kallsyms]         [k] exc_page_fault
     0.67%     0.03%  java             [kernel.kallsyms]         [k] scheduler_tick
     0.67%     0.67%  LocalJobRunner   libc.so.6                 [.] 0x00000000001b2eae
     0.67%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] alloc_pages
     0.67%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __page_cache_alloc
     0.66%     0.66%  java             [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.66%     0.05%  java             [kernel.kallsyms]         [k] uncharge_batch
     0.65%     0.53%  java             [kernel.kallsyms]         [k] _raw_spin_lock
     0.64%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] do_user_addr_fault
     0.63%     0.01%  VM Thread        [kernel.kallsyms]         [k] exc_page_fault
     0.62%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] tick_sched_timer
     0.61%     0.04%  java             [kernel.kallsyms]         [k] lock_page_lruvec_irq
     0.61%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] alloc_pages_vma
     0.61%     0.08%  localfetcher#1   [kernel.kallsyms]         [k] add_to_page_cache_lru
     0.60%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] kthread
     0.60%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] ret_from_fork
     0.60%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] worker_thread
     0.60%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] wb_workfn
     0.60%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] process_one_work
     0.59%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] wb_writeback
     0.59%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] __writeback_inodes_wb
     0.59%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.59%     0.02%  VM Thread        [kernel.kallsyms]         [k] do_user_addr_fault
     0.59%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] do_writepages
     0.59%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] __writeback_single_inode
     0.59%     0.05%  kworker/u98:1-e  [kernel.kallsyms]         [k] ext4_writepages
     0.58%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] schedule
     0.58%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] update_process_times
     0.58%     0.10%  java             [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.58%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] tick_sched_handle
     0.58%     0.01%  java             [kernel.kallsyms]         [k] page_counter_uncharge
     0.57%     0.05%  java             [kernel.kallsyms]         [k] remove_migration_pte
     0.56%     0.09%  java             [kernel.kallsyms]         [k] __mem_cgroup_charge
