# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1584055210371
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.86%     0.78%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.83%     0.13%  postgres         [kernel.kallsyms]  [k] free_pcppages_bulk
     0.83%     0.02%  postgres         [kernel.kallsyms]  [k] lru_add_drain
     0.81%     0.61%  postgres         [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.74%     0.54%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock
     0.64%     0.00%  postgres         [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.64%     0.00%  postgres         [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.60%     0.60%  postgres         [kernel.kallsyms]  [k] pick_next_entity
     0.58%     0.00%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.58%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     0.58%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.57%     0.02%  kcompactd0       [kernel.kallsyms]  [k] remove_migration_pte
     0.57%     0.55%  postgres         [kernel.kallsyms]  [k] __free_one_page
     0.55%     0.50%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     0.54%     0.01%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     0.53%     0.00%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     0.53%     0.47%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     0.50%     0.00%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     0.48%     0.46%  postgres         [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.46%     0.46%  postgres         [kernel.kallsyms]  [k] save_fpregs_to_fpstate
     0.44%     0.05%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
     0.43%     0.34%  postgres         [kernel.kallsyms]  [k] unlock_page_memcg
     0.37%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pwrite64
     0.37%     0.36%  postgres         [kernel.kallsyms]  [k] vm_normal_page
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_write
