# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cycles'
# Event count (approx.): 1652674654523
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ........  ...............  ...................  .............................................................................................................................................................................
#
     1.33%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.33%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     1.33%     0.03%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.32%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     1.32%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     1.30%     0.37%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     1.30%     0.07%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.27%     0.41%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.27%     0.00%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     1.20%     0.26%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.19%     0.34%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     1.14%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.13%     0.01%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     1.12%     0.96%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     1.12%     0.01%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.12%     0.06%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     1.12%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     1.11%     0.02%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     1.11%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.11%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     1.10%     0.01%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.08%     0.01%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.08%     0.01%  mariadbd         [kernel.kallsyms]    [k] __getblk_gfp
     1.08%     0.07%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     1.07%     0.05%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.07%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.07%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.06%     0.01%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.06%     0.01%  mariadbd         [kernel.kallsyms]    [k] __find_get_block
     1.05%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.05%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.04%     0.53%  swapper          [kernel.kallsyms]    [k] update_load_avg
     1.04%     0.02%  mariadbd         [kernel.kallsyms]    [k] __read_extent_tree_block
     1.03%     0.07%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     1.03%     0.08%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     1.03%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.02%     0.12%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     1.01%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     1.01%     0.26%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     1.01%     0.06%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     1.00%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.99%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.98%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     0.97%     0.21%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     0.95%     0.19%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.95%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.95%     0.01%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     0.94%     0.04%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.94%     0.02%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.94%     0.15%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     0.93%     0.02%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     0.93%     0.62%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.92%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.92%     0.01%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.92%     0.01%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     0.91%     0.06%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.91%     0.91%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.90%     0.02%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     0.90%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.89%     0.03%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     0.88%     0.08%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.87%     0.01%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     0.87%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.87%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.86%     0.52%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.86%     0.05%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     0.84%     0.01%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     0.83%     0.01%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     0.83%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.83%     0.03%  mariadbd         [kernel.kallsyms]    [k] wake_affine
     0.83%     0.01%  swapper          [kernel.kallsyms]    [k] nvme_irq
     0.82%     0.07%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     0.80%     0.01%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.79%     0.61%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.79%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.78%     0.20%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.77%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.77%     0.06%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
