# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 87K of event 'cycles'
# Event count (approx.): 1205267086608
#
# Children      Self  Command          Shared Object         Symbol                                                                                                      
# ........  ........  ...............  ....................  ............................................................................................................
#
     1.01%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] sock_alloc_send_pskb
     1.00%     0.01%  swapper          [kernel.kallsyms]     [k] __common_interrupt
     1.00%     0.04%  mariadbd         [kernel.kallsyms]     [k] blk_update_request
     0.99%     0.10%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_common
     0.99%     0.05%  mariadbd         [kernel.kallsyms]     [k] __blk_mq_try_issue_directly
     0.99%     0.02%  swapper          [kernel.kallsyms]     [k] handle_edge_irq
     0.98%     0.06%  tclsh8.6         [kernel.kallsyms]     [k] alloc_skb_with_frags
     0.98%     0.03%  mariadbd         [kernel.kallsyms]     [k] find_busiest_group
     0.95%     0.02%  swapper          [kernel.kallsyms]     [k] tick_nohz_idle_stop_tick
     0.95%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] sock_def_readable
     0.94%     0.06%  mariadbd         [kernel.kallsyms]     [k] update_sd_lb_stats.constprop.0
     0.94%     0.00%  swapper          [kernel.kallsyms]     [k] handle_irq_event
     0.93%     0.02%  mariadbd         [kernel.kallsyms]     [k] __submit_bio_noacct_mq
     0.93%     0.22%  swapper          [kernel.kallsyms]     [k] pick_next_task_fair
     0.92%     0.11%  mariadbd         [kernel.kallsyms]     [k] nvme_queue_rq
     0.92%     0.02%  swapper          [kernel.kallsyms]     [k] __softirqentry_text_start
     0.92%     0.07%  tclsh8.6         [kernel.kallsyms]     [k] __alloc_skb
     0.90%     0.01%  swapper          [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.90%     0.58%  mariadbd         [kernel.kallsyms]     [k] finish_task_switch.isra.0
     0.90%     0.01%  mariadbd         [kernel.kallsyms]     [k] sysvec_call_function_single
     0.89%     0.05%  tclsh8.6         [kernel.kallsyms]     [k] pollwake
     0.89%     0.01%  swapper          [kernel.kallsyms]     [k] nvme_irq
     0.89%     0.06%  mariadbd         [kernel.kallsyms]     [k] blk_mq_submit_bio
     0.88%     0.08%  swapper          [kernel.kallsyms]     [k] nvme_process_cq
     0.88%     0.04%  tclsh8.6         [kernel.kallsyms]     [k] try_to_wake_up
     0.87%     0.05%  mariadbd         [kernel.kallsyms]     [k] ext4_map_blocks
     0.86%     0.66%  mariadbd         [kernel.kallsyms]     [k] update_sg_lb_stats
     0.85%     0.00%  swapper          [kernel.kallsyms]     [k] tick_sched_handle
