# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 6600941935438
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     1.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     1.19%     0.01%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     1.19%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     1.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_cleanup_rbuf
     1.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_send_ack.part.0
     1.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_send_ack
     1.13%     1.13%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __inet_lookup_established
     1.13%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] __handle_mm_fault
     1.13%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] asm_exc_page_fault
     1.13%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] do_user_addr_fault
     1.13%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] exc_page_fault
     1.13%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] handle_mm_fault
     1.12%     1.12%  ReadStage-129    [kernel.kallsyms]                   [k] clear_page_erms
     1.12%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] __alloc_pages
     1.12%     0.00%  ReadStage-129    [kernel.kallsyms]                   [k] __do_fault
