# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 9763052235862
#
# Children      Self  Command          Shared Object                       Symbol                                          
# ........  ........  ...............  ..................................  ................................................
#
     3.00%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     3.00%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     3.00%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     3.00%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.98%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     2.81%     0.03%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.78%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     2.70%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     2.68%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] workingset_refault
     2.66%     0.77%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     2.06%     1.99%  swapper          [kernel.kallsyms]                   [k] poll_idle
     2.03%     1.91%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     1.88%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pagevec
     1.88%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_flush_stats
     1.86%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_flush_irqsafe
     1.82%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.82%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     1.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     1.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     1.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     1.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     1.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     1.68%     0.01%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     1.61%     0.10%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_flush_locked
     1.61%     0.01%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.58%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     1.53%     0.01%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.45%     1.45%  Native-Transpor  [kernel.kallsyms]                   [k] mem_cgroup_css_rstat_flush
     1.45%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.44%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     1.42%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_slab
     1.42%     1.42%  kswapd0          [kernel.kallsyms]                   [k] list_lru_count_one
     1.42%     0.00%  kswapd0          [kernel.kallsyms]                   [k] do_shrink_slab
     1.42%     0.00%  kswapd0          [kernel.kallsyms]                   [k] super_cache_count
     1.40%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.40%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.40%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.40%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.40%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     1.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     1.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     1.37%     0.72%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     1.35%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     1.35%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     1.34%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     1.33%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     1.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     1.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     1.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     1.31%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     1.31%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     1.30%     0.08%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.28%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     1.27%     0.05%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     1.11%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.10%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     1.09%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     1.08%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     1.07%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     1.07%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     1.06%     0.02%  swapper          [kernel.kallsyms]                   [k] irq_exit_rcu
     1.06%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
     1.05%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     1.04%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     1.04%     1.04%  Native-Transpor  [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     1.03%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     1.03%     0.00%  swapper          [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.03%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     1.02%     0.00%  swapper          [kernel.kallsyms]                   [k] run_rebalance_domains
     1.01%     0.01%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     1.00%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     1.00%     0.95%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wake
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] __do_fault
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] __handle_mm_fault
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] asm_exc_page_fault
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] do_page_cache_ra
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] do_user_addr_fault
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] exc_page_fault
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] filemap_fault
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] handle_mm_fault
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     0.99%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] cgroup_rstat_flush_irqsafe
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] mem_cgroup_flush_stats
     0.99%     0.00%  ReadStage-106    [kernel.kallsyms]                   [k] workingset_refault
     0.98%     0.98%  ReadStage-106    [kernel.kallsyms]                   [k] cgroup_rstat_flush_locked
     0.98%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.98%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.97%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.97%     0.14%  swapper          [kernel.kallsyms]                   [k] __schedule
     0.97%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.97%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.97%     0.95%  swapper          [kernel.kallsyms]                   [k] update_blocked_averages
     0.97%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.97%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.96%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.96%     0.87%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.95%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.95%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_softirq
     0.95%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.95%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.95%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] net_rx_action
     0.94%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     0.94%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __napi_poll
     0.94%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] process_backlog
     0.94%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb
     0.93%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_rcv
     0.93%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_protocol_deliver_rcu
     0.93%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver
     0.93%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver_finish
     0.93%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.92%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_v4_rcv
     0.91%     0.79%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.89%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.89%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.86%     0.86%  epollEventLoopG  [kernel.kallsyms]                   [k] __inet_lookup_established
     0.85%     0.00%  ReadStage-74     [kernel.kallsyms]                   [k] __handle_mm_fault
     0.85%     0.00%  ReadStage-74     [kernel.kallsyms]                   [k] asm_exc_page_fault
     0.85%     0.00%  ReadStage-74     [kernel.kallsyms]                   [k] do_user_addr_fault
     0.85%     0.00%  ReadStage-74     [kernel.kallsyms]                   [k] exc_page_fault
     0.85%     0.00%  ReadStage-74     [kernel.kallsyms]                   [k] handle_mm_fault
     0.85%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.85%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.84%     0.84%  ReadStage-74     [kernel.kallsyms]                   [k] xas_load
     0.83%     0.00%  ReadStage-74     [kernel.kallsyms]                   [k] filemap_map_pages
     0.83%     0.00%  ReadStage-74     [kernel.kallsyms]                   [k] xas_find
     0.83%     0.59%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.70%     0.67%  Native-Transpor  [kernel.kallsyms]                   [k] mod_lruvec_state.constprop.0
     0.62%     0.11%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.61%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] finish_task_switch.isra.0
     0.59%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     0.58%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.57%     0.19%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.55%     0.55%  Native-Transpor  [kernel.kallsyms]                   [k] timerqueue_del
     0.54%     0.00%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.51%     0.02%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.48%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.48%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] asm_exc_page_fault
     0.48%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] exc_page_fault
     0.48%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] __handle_mm_fault
     0.48%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] do_user_addr_fault
     0.48%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] handle_mm_fault
     0.48%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.48%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.48%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] __do_fault
     0.48%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] filemap_fault
     0.47%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     0.47%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.47%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.46%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] workingset_refault
     0.46%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] cgroup_rstat_flush_irqsafe
     0.46%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] mem_cgroup_flush_stats
     0.46%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] ondemand_readahead
     0.46%     0.00%  ReadStage-60     [kernel.kallsyms]                   [k] page_cache_async_ra
     0.46%     0.46%  ReadStage-60     [kernel.kallsyms]                   [k] _raw_spin_lock
     0.45%     0.03%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.45%     0.02%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.44%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.44%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.43%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.43%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.42%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.42%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.42%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.42%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.40%     0.19%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.40%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.40%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.39%     0.12%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.35%     0.01%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.35%     0.03%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.35%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.35%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.33%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.32%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.32%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.31%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.31%     0.00%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.31%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.31%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.30%     0.02%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.30%     0.29%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.30%     0.01%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.29%     0.29%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.29%     0.02%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.28%     0.02%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.28%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.27%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.27%     0.02%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.26%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.26%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.26%     0.00%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.25%     0.03%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.24%     0.09%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.24%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.23%     0.04%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.23%     0.18%  kswapd1          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.22%     0.02%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.22%     0.00%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.22%     0.16%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.22%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.22%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.21%     0.20%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.21%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.21%     0.21%  swapper          [unknown]                           [.] 0000000000000000
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.21%     0.01%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.20%     0.05%  NonPeriodicTask  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.20%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.20%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.20%     0.03%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.20%     0.18%  kswapd0          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.20%     0.20%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.19%     0.00%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.19%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.19%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.19%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.19%     0.01%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.18%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.18%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.18%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.18%     0.16%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.18%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.18%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_cache_delete
     0.17%     0.01%  kswapd1          [kernel.kallsyms]                   [k] shrink_active_list
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.17%     0.06%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.16%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.16%     0.16%  kswapd1          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.16%     0.02%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.16%     0.02%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.16%     0.09%  swapper          [kernel.kallsyms]                   [k] set_next_entity
     0.16%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.15%     0.06%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.15%     0.15%  NonPeriodicTask  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath
     0.15%     0.07%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     0.15%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.15%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.15%     0.13%  kswapd1          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.15%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     0.14%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.14%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.14%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.14%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.14%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.14%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.14%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
