# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 865K of event 'cycles'
# Event count (approx.): 1671706037415
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                      
# ........  ........  ...............  ................................................  ............................................................................................................................................................
#
     0.80%     0.00%  G1 Conc#4        [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.80%     0.00%  G1 Conc#5        [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.80%     0.00%  G1 Conc#0        [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.79%  Executor task l  [kernel.kallsyms]                                 [k] check_cpu_stall
     0.79%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] link_path_walk.part.0
     0.79%     0.00%  G1 Conc#1        [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.00%  G1 Conc#2        [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.79%     0.00%  G1 Conc#3        [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.00%  G1 Conc#4        [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.78%     0.00%  G1 Conc#0        [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.78%     0.02%  G1 Refine#1      [kernel.kallsyms]                                 [k] __hrtimer_run_queues
     0.78%     0.00%  G1 Conc#1        [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.78%     0.00%  G1 Conc#3        [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.77%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] ext4_mpage_readpages
     0.77%     0.77%  Executor task l  [kernel.kallsyms]                                 [k] update_cfs_group
     0.76%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.76%     0.00%  G1 Refine#1      [kernel.kallsyms]                                 [k] __run_hrtimer
     0.76%     0.03%  G1 Refine#0      [kernel.kallsyms]                                 [k] update_process_times
     0.74%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] irqentry_exit_to_user_mode
     0.74%     0.10%  kcompactd0       [kernel.kallsyms]                                 [k] isolate_freepages
     0.74%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] compaction_alloc
     0.74%     0.01%  G1 Refine#2      [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
