# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 265K of event 'cycles'
# Event count (approx.): 5068918367203
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.18%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     0.18%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     0.18%     0.04%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.18%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] net_rx_action
     0.18%     0.08%  swapper          [kernel.kallsyms]                   [k] tick_nohz_idle_exit
     0.18%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.18%     0.18%  kswapd1          [kernel.kallsyms]                   [k] xas_create
     0.18%     0.16%  kswapd0          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __napi_poll
     0.17%     0.13%  swapper          [kernel.kallsyms]                   [k] _raw_spin_lock
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.17%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] process_backlog
     0.17%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] update_curr
     0.17%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm_output
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.17%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_da_write_begin
     0.17%     0.03%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.17%     0.02%  swapper          [kernel.kallsyms]                   [k] irq_exit_rcu
