# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 130K of event 'cycles'
# Event count (approx.): 2636509785394
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.37%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.37%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.37%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.36%     0.32%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.36%     0.36%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.35%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.35%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_map_blocks
     0.34%     0.04%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.33%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.33%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.32%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.32%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.32%     0.05%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.31%     0.03%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.31%     0.02%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.31%     0.13%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.31%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.31%     0.15%  swapper          [kernel.kallsyms]                   [k] set_next_entity
     0.30%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.30%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
