# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 129K of event 'cycles'
# Event count (approx.): 2520707030880
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.55%     0.02%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.55%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.54%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.54%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.54%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.54%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.54%     0.00%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.53%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.51%     0.01%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.51%     0.00%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.50%     0.49%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.50%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.48%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.48%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.48%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.46%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.45%     0.07%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.45%     0.08%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.44%     0.01%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.43%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.43%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.42%     0.07%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.42%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.42%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.41%     0.01%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.41%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.41%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.41%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.41%     0.04%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.41%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.41%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.40%     0.03%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.38%     0.26%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.38%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.38%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.38%     0.37%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.37%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.36%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.36%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.36%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.35%     0.31%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.35%     0.03%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
