# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11935416462012
#
# Children      Self  Command          Shared Object      Symbol                                                        
# ........  ........  ...............  .................  ..............................................................
#
     1.18%     0.01%  java             [kernel.kallsyms]  [k] alloc_pages_vma
     1.15%     0.02%  java             [kernel.kallsyms]  [k] find_vma
     1.14%     1.12%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     1.13%     1.12%  java             [kernel.kallsyms]  [k] vmacache_find
     1.13%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_misplaced_page
     1.12%     0.39%  LocalJobRunner   [kernel.kallsyms]  [k] charge_memcg
     1.11%     0.13%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     1.10%     0.00%  java             [kernel.kallsyms]  [k] rmap_walk
     1.10%     0.01%  java             [kernel.kallsyms]  [k] move_to_new_page
     1.10%     1.09%  java             [kernel.kallsyms]  [k] sync_regs
     1.10%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_end
     1.09%     0.00%  java             [kernel.kallsyms]  [k] migrate_page
     1.07%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] generic_write_end
     1.06%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     1.06%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] __alloc_pages
     1.03%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     1.02%     0.09%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     1.01%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.01%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_syscall_64
     1.00%     0.08%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     0.99%     0.35%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     0.99%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_pages
     0.98%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __x64_sys_read
     0.98%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ksys_read
     0.98%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] vfs_read
     0.98%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ext4_file_read_iter
     0.98%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] new_sync_read
     0.98%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] generic_file_read_iter
     0.98%     0.02%  Sampler Reader   [kernel.kallsyms]  [k] filemap_read
     0.96%     0.11%  localfetcher#1   [kernel.kallsyms]  [k] get_page_from_freelist
     0.89%     0.89%  LocalJobRunner   libc.so.6          [.] 0x00000000001b2eae
     0.88%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages
     0.88%     0.61%  LocalJobRunner   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.87%     0.86%  LocalJobRunner   [kernel.kallsyms]  [k] sync_regs
     0.86%     0.01%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.85%     0.58%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.85%     0.63%  Sampler Reader   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.84%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
