# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 131K of event 'cycles'
# Event count (approx.): 2536711226545
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.69%     0.10%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.68%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.66%     0.02%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.65%     0.03%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.64%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.63%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.62%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.61%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.60%     0.39%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.60%     0.00%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.59%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.57%     0.04%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.57%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.57%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.56%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.56%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.53%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.52%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.51%     0.03%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.51%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.51%     0.01%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.50%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.49%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.48%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.48%     0.47%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.47%     0.06%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.46%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.46%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.44%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.43%     0.01%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.42%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.41%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.41%     0.04%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.41%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.41%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.41%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.40%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.40%     0.01%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.40%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.40%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.40%     0.07%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.40%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.40%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.39%     0.02%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.39%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.39%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.39%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.39%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.39%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.38%     0.38%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.38%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.38%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.38%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.37%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_map_blocks
     0.37%     0.26%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.37%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.37%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
