# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10607535979821
#
# Children      Self  Command          Shared Object                          Symbol                                                                                                                                                                        
# ........  ........  ...............  .....................................  ..............................................................................................................................................................................
#
     1.04%     0.08%  swapper          [kernel.kallsyms]                      [k] tick_nohz_get_sleep_length
     1.04%     1.04%  mariadbd         [kernel.kallsyms]                      [k] available_idle_cpu
     1.03%     0.05%  mariadbd         [kernel.kallsyms]                      [k] blk_mq_try_issue_list_directly
     1.01%     0.04%  mariadbd         [kernel.kallsyms]                      [k] blk_update_request
     1.00%     0.03%  mariadbd         [kernel.kallsyms]                      [k] ext4_iomap_begin
     0.99%     0.14%  tclsh8.6         [kernel.kallsyms]                      [k] __schedule
     0.99%     0.02%  tclsh8.6         [kernel.kallsyms]                      [k] sock_def_readable
     0.99%     0.53%  mariadbd         [kernel.kallsyms]                      [k] __audit_syscall_exit
     0.99%     0.20%  swapper          [kernel.kallsyms]                      [k] pick_next_task_fair
     0.98%     0.01%  swapper          [kernel.kallsyms]                      [k] __common_interrupt
     0.98%     0.01%  tclsh8.6         [kernel.kallsyms]                      [k] sock_alloc_send_pskb
     0.97%     0.02%  swapper          [kernel.kallsyms]                      [k] handle_edge_irq
     0.96%     0.05%  tclsh8.6         [kernel.kallsyms]                      [k] alloc_skb_with_frags
     0.96%     0.03%  mariadbd         [kernel.kallsyms]                      [k] __blk_mq_try_issue_directly
     0.94%     0.06%  tclsh8.6         [kernel.kallsyms]                      [k] pollwake
     0.91%     0.01%  swapper          [kernel.kallsyms]                      [k] __softirqentry_text_start
     0.91%     0.01%  swapper          [kernel.kallsyms]                      [k] handle_irq_event
     0.91%     0.04%  tclsh8.6         [kernel.kallsyms]                      [k] try_to_wake_up
     0.90%     0.11%  mariadbd         [kernel.kallsyms]                      [k] nvme_queue_rq
     0.90%     0.06%  tclsh8.6         [kernel.kallsyms]                      [k] __alloc_skb
     0.89%     0.00%  swapper          [kernel.kallsyms]                      [k] tick_sched_handle
     0.88%     0.05%  swapper          [kernel.kallsyms]                      [k] update_process_times
     0.88%     0.02%  swapper          [kernel.kallsyms]                      [k] tick_nohz_idle_stop_tick
     0.87%     0.01%  swapper          [kernel.kallsyms]                      [k] __handle_irq_event_percpu
     0.87%     0.03%  mariadbd         [kernel.kallsyms]                      [k] find_busiest_group
     0.86%     0.02%  mariadbd         [kernel.kallsyms]                      [k] __submit_bio_noacct_mq
     0.86%     0.01%  swapper          [kernel.kallsyms]                      [k] nvme_irq
     0.86%     0.01%  mariadbd         [kernel.kallsyms]                      [k] sysvec_call_function_single
     0.85%     0.57%  mariadbd         [kernel.kallsyms]                      [k] finish_task_switch.isra.0
     0.85%     0.06%  swapper          [kernel.kallsyms]                      [k] nvme_process_cq
     0.83%     0.06%  mariadbd         [kernel.kallsyms]                      [k] update_sd_lb_stats.constprop.0
     0.83%     0.01%  mariadbd         [kernel.kallsyms]                      [k] bio_iov_iter_get_pages
     0.83%     0.03%  mariadbd         [kernel.kallsyms]                      [k] __bio_iov_iter_get_pages
     0.82%     0.06%  mariadbd         [kernel.kallsyms]                      [k] blk_mq_submit_bio
     0.82%     0.44%  swapper          [kernel.kallsyms]                      [k] ktime_get
     0.81%     0.70%  mariadbd         [kernel.kallsyms]                      [k] ext4_es_lookup_extent
     0.81%     0.02%  mariadbd         [kernel.kallsyms]                      [k] wake_affine
     0.81%     0.20%  mariadbd         [kernel.kallsyms]                      [k] switch_fpu_return
     0.80%     0.07%  swapper          [kernel.kallsyms]                      [k] tick_nohz_idle_exit
     0.79%     0.00%  mariadbd         [kernel.kallsyms]                      [k] __sysvec_call_function_single
     0.78%     0.02%  tclsh8.6         [kernel.kallsyms]                      [k] consume_skb
     0.76%     0.01%  swapper          [kernel.kallsyms]                      [k] scheduler_tick
     0.76%     0.59%  mariadbd         [kernel.kallsyms]                      [k] update_sg_lb_stats
     0.75%     0.03%  mariadbd         [kernel.kallsyms]                      [k] iomap_dio_bio_end_io
     0.72%     0.04%  mariadbd         [kernel.kallsyms]                      [k] sched_ttwu_pending
     0.70%     0.04%  swapper          [kernel.kallsyms]                      [k] hrtimer_start_range_ns
     0.69%     0.39%  mariadbd         [kernel.kallsyms]                      [k] x86_pmu_disable_all
     0.67%     0.06%  mariadbd         [kernel.kallsyms]                      [k] exit_to_user_mode_loop
     0.66%     0.11%  mariadbd         [kernel.kallsyms]                      [k] task_tick_fair
     0.66%     0.02%  swapper          [kernel.kallsyms]                      [k] perf_event_task_tick
     0.65%     0.01%  mariadbd         [kernel.kallsyms]                      [k] ext4_dio_write_checks
     0.64%     0.08%  swapper          [kernel.kallsyms]                      [k] perf_adjust_freq_unthr_context
     0.62%     0.02%  mariadbd         [kernel.kallsyms]                      [k] consume_skb
     0.62%     0.13%  mariadbd         [kernel.kallsyms]                      [k] kmem_cache_alloc_node
     0.62%     0.11%  mariadbd         [kernel.kallsyms]                      [k] __irq_exit_rcu
     0.62%     0.02%  mariadbd         [kernel.kallsyms]                      [k] iov_iter_get_pages
     0.60%     0.16%  swapper          [kernel.kallsyms]                      [k] tick_nohz_next_event
     0.60%     0.60%  mariadbd         [kernel.kallsyms]                      [k] __restore_fpregs_from_fpstate
     0.60%     0.17%  swapper          [kernel.kallsyms]                      [k] set_next_entity
     0.59%     0.01%  mariadbd         [kernel.kallsyms]                      [k] internal_get_user_pages_fast
     0.59%     0.01%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_io_getevents
     0.58%     0.01%  mariadbd         [kernel.kallsyms]                      [k] ext4_da_write_begin
     0.58%     0.01%  mariadbd         [kernel.kallsyms]                      [k] irqentry_exit_to_user_mode
     0.58%     0.05%  mariadbd         [kernel.kallsyms]                      [k] nvme_map_data
     0.58%     0.01%  mariadbd         [kernel.kallsyms]                      [k] do_io_getevents
     0.58%     0.53%  swapper          [kernel.kallsyms]                      [k] switch_mm_irqs_off
     0.58%     0.58%  swapper          [kernel.kallsyms]                      [k] get_typical_interval
     0.57%     0.03%  mariadbd         [kernel.kallsyms]                      [k] lockless_pages_from_mm
     0.57%     0.01%  swapper          [kernel.kallsyms]                      [k] blk_mq_end_request
     0.56%     0.55%  mariadbd         [kernel.kallsyms]                      [k] _raw_spin_lock_irqsave
     0.56%     0.55%  mariadbd         [kernel.kallsyms]                      [k] copy_user_generic_string
     0.56%     0.24%  swapper          [kernel.kallsyms]                      [k] flush_smp_call_function_queue
     0.55%     0.55%  mariadbd         [kernel.kallsyms]                      [k] update_cfs_group
     0.55%     0.54%  mariadbd         [kernel.kallsyms]                      [k] __update_load_avg_cfs_rq
     0.54%     0.10%  swapper          [kernel.kallsyms]                      [k] finish_task_switch.isra.0
     0.54%     0.02%  swapper          [kernel.kallsyms]                      [k] amd_pmu_disable_all
     0.54%     0.01%  mariadbd         [kernel.kallsyms]                      [k] read_events
     0.54%     0.10%  tclsh8.6         [kernel.kallsyms]                      [k] kmem_cache_alloc_node
     0.52%     0.04%  swapper          [kernel.kallsyms]                      [k] tick_nohz_restart_sched_tick
     0.50%     0.04%  swapper          [kernel.kallsyms]                      [k] blk_update_request
     0.50%     0.50%  swapper          [kernel.kallsyms]                      [k] __switch_to_asm
     0.50%     0.50%  mariadbd         [kernel.kallsyms]                      [k] cpuacct_charge
     0.50%     0.13%  mariadbd         [kernel.kallsyms]                      [k] gup_pgd_range
     0.49%     0.47%  mariadbd         [kernel.kallsyms]                      [k] __update_load_avg_se
     0.49%     0.12%  mariadbd         [kernel.kallsyms]                      [k] wake_affine_weight
     0.47%     0.43%  swapper          [kernel.kallsyms]                      [k] _raw_spin_lock
     0.47%     0.16%  mariadbd         [kernel.kallsyms]                      [k] set_task_cpu
     0.46%     0.32%  mariadbd         [kernel.kallsyms]                      [k] ktime_get
     0.45%     0.45%  mariadbd         libpthread-2.28.so                     [.] __lll_lock_wait
     0.44%     0.08%  tclsh8.6         [kernel.kallsyms]                      [k] skb_release_data
     0.44%     0.44%  mariadbd         libpthread-2.28.so                     [.] __pthread_mutex_lock
     0.43%     0.03%  mariadbd         [kernel.kallsyms]                      [k] update_blocked_averages
     0.43%     0.01%  swapper          [kernel.kallsyms]                      [k] _nohz_idle_balance.constprop.0.isra.0
     0.43%     0.03%  swapper          [kernel.kallsyms]                      [k] sched_clock_cpu
     0.43%     0.03%  mariadbd         [kernel.kallsyms]                      [k] __softirqentry_text_start
     0.42%     0.27%  mariadbd         [kernel.kallsyms]                      [k] kfree
     0.42%     0.07%  swapper          [kernel.kallsyms]                      [k] tick_nohz_idle_enter
     0.41%     0.02%  tclsh8.6         [kernel.kallsyms]                      [k] syscall_exit_to_user_mode
     0.41%     0.41%  mariadbd         [kernel.kallsyms]                      [k] __switch_to
     0.41%     0.01%  mariadbd         [kernel.kallsyms]                      [k] pagecache_get_page
     0.41%     0.04%  swapper          [kernel.kallsyms]                      [k] rebalance_domains
     0.40%     0.04%  swapper          [kernel.kallsyms]                      [k] tick_nohz_stop_tick
     0.40%     0.09%  mariadbd         [kernel.kallsyms]                      [k] skb_release_data
     0.40%     0.03%  swapper          [kernel.kallsyms]                      [k] update_blocked_averages
     0.39%     0.02%  mariadbd         [kernel.kallsyms]                      [k] obj_cgroup_charge
     0.39%     0.39%  swapper          [kernel.kallsyms]                      [k] read_tsc
     0.39%     0.39%  mariadbd         [kernel.kallsyms]                      [k] __switch_to_asm
     0.39%     0.38%  swapper          [kernel.kallsyms]                      [k] native_sched_clock
     0.38%     0.01%  tclsh8.6         [kernel.kallsyms]                      [k] unix_stream_read_actor
     0.38%     0.04%  mariadbd         [kernel.kallsyms]                      [k] ttwu_do_wakeup
