# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10607535979821
#
# Children      Self  Command          Shared Object                          Symbol                                                                                                                                                                        
# ........  ........  ...............  .....................................  ..............................................................................................................................................................................
#
     0.00%     0.00%  kworker/9:6      [kernel.kallsyms]                      [k] blk_mq_end_request
     0.00%     0.00%  kworker/9:6      [kernel.kallsyms]                      [k] nvme_irq
     0.00%     0.00%  kworker/9:6      [kernel.kallsyms]                      [k] nvme_process_cq
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]                      [k] llist_add_batch
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]                      [k] __smp_call_single_queue
     0.00%     0.00%  kworker/10:1H-k  [kernel.kallsyms]                      [k] worker_enter_idle
     0.00%     0.00%  dnf              [kernel.kallsyms]                      [k] ext4_map_blocks
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]                      [k] select_idle_cpu
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]                      [k] select_idle_sibling
     0.00%     0.00%  mariadbd         mariadbd                               [.] _ZN10TABLE_LIST13is_active_sjmEv
     0.00%     0.00%  kworker/16:4     [kernel.kallsyms]                      [k] fput
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] __ext4_mark_inode_dirty
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] ext4_do_update_inode.isra.0
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] ext4_inode_csum
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] ext4_inode_csum_set
     0.00%     0.00%  kworker/21:1     [kernel.kallsyms]                      [k] ext4_mark_iloc_dirty
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000daf4b4
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da1c62
     0.00%     0.00%  kworker/27:0     [kernel.kallsyms]                      [k] ext4_inode_block_valid
     0.00%     0.00%  kworker/27:0     [kernel.kallsyms]                      [k] __check_block_validity.constprop.0
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]                      [k] enqueue_entity
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]                      [k] enqueue_task_fair
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]                      [k] ttwu_do_activate
     0.00%     0.00%  kworker/1:2      [kernel.kallsyms]                      [k] select_idle_cpu
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d14634
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cd1b97
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]                      [k] kmem_cache_free
     0.00%     0.00%  kworker/24:3     [kernel.kallsyms]                      [k] ttwu_queue_wakelist
     0.00%     0.00%  kworker/24:3     [kernel.kallsyms]                      [k] is_cpu_allowed
     0.00%     0.00%  kworker/4:2      [kernel.kallsyms]                      [k] __update_load_avg_cfs_rq
     0.00%     0.00%  kworker/26:1     [kernel.kallsyms]                      [k] switch_mm_irqs_off
     0.00%     0.00%  kworker/5:7      [kernel.kallsyms]                      [k] select_idle_cpu
     0.00%     0.00%  kworker/11:2     [kernel.kallsyms]                      [k] prepare_task_switch
     0.00%     0.00%  kworker/22:6     [kernel.kallsyms]                      [k] cpus_share_cache
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x0000000000020821
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]                      [k] switch_mm_irqs_off
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] mem_cgroup_swapin_charge_page
     0.00%     0.00%  kworker/13:4     [kernel.kallsyms]                      [k] ext4_ext_handle_unwritten_extents
     0.00%     0.00%  kworker/13:4     [kernel.kallsyms]                      [k] ext4_ext_map_blocks
     0.00%     0.00%  mariadbd         mariadbd                               [.] _ZNK27Type_handler_decimal_result22Item_decimal_precisionEPK4Item
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000001a6fc
     0.00%     0.00%  perf             [kernel.kallsyms]                      [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  perf             [kernel.kallsyms]                      [k] switch_fpu_return
     0.00%     0.00%  irqbalance       [kernel.kallsyms]                      [k] exit_to_user_mode_loop
     0.00%     0.00%  irqbalance       [kernel.kallsyms]                      [k] exit_to_user_mode_prepare
     0.00%     0.00%  irqbalance       [kernel.kallsyms]                      [k] syscall_exit_to_user_mode
     0.00%     0.00%  irqbalance       [kernel.kallsyms]                      [k] task_work_run
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000740b03
     0.00%     0.00%  kworker/23:2-di  [kernel.kallsyms]                      [k] update_min_vruntime
     0.00%     0.00%  kworker/13:0-di  [kernel.kallsyms]                      [k] __update_load_avg_cfs_rq
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] __errno_location@plt
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x00000000007794b3
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c47b65
     0.00%     0.00%  ksoftirqd/0      [kernel.kallsyms]                      [k] idle_cpu
     0.00%     0.00%  top              [kernel.kallsyms]                      [k] getname_flags.part.0
     0.00%     0.00%  top              [kernel.kallsyms]                      [k] strncpy_from_user
     0.00%     0.00%  kworker/3:7      [kernel.kallsyms]                      [k] ext4_convert_unwritten_extents
     0.00%     0.00%  kworker/3:7      [kernel.kallsyms]                      [k] ext4_dio_write_end_io
     0.00%     0.00%  kworker/3:7      [kernel.kallsyms]                      [k] ext4_map_blocks
     0.00%     0.00%  kworker/0:4      [kernel.kallsyms]                      [k] ext4_dio_write_end_io
     0.00%     0.00%  kworker/26:0-di  [kernel.kallsyms]                      [k] prepare_task_switch
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cad243
     0.00%     0.00%  kworker/13:0-di  [kernel.kallsyms]                      [k] refresh_cpu_vm_stats
     0.00%     0.00%  kworker/13:0-di  [kernel.kallsyms]                      [k] vmstat_update
     0.00%     0.00%  kworker/20:0-di  [kernel.kallsyms]                      [k] __ext4_get_inode_loc
     0.00%     0.00%  kworker/20:0-di  [kernel.kallsyms]                      [k] ext4_get_inode_loc
     0.00%     0.00%  kworker/20:0-di  [kernel.kallsyms]                      [k] ext4_reserve_inode_write
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000001a6a8
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c330c8
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]                      [k] __update_load_avg_cfs_rq
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c8353a
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da014a
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c4365b
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d9b610
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000dd4050
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d0999f
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d12f11
     0.00%     0.00%  kworker/u64:2    [kernel.kallsyms]                      [k] ext4_bio_write_page
     0.00%     0.00%  kworker/u64:2    [kernel.kallsyms]                      [k] mpage_submit_page
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x00000000006a58fa
     0.00%     0.00%  kworker/15:4     [kernel.kallsyms]                      [k] pwq_dec_nr_in_flight
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d70e79
     0.00%     0.00%  kworker/u64:2    [kernel.kallsyms]                      [k] __pagevec_release
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c9d513
     0.00%     0.00%  kworker/28:3-di  [kernel.kallsyms]                      [k] __task_rq_lock
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cace18
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c4b28e
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]                      [k] __submit_bio_noacct_mq
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]                      [k] blk_mq_submit_bio
     0.00%     0.00%  kworker/19:3-di  [kernel.kallsyms]                      [k] __default_send_IPI_dest_field
     0.00%     0.00%  kworker/19:3-di  [kernel.kallsyms]                      [k] default_send_IPI_single_phys
     0.00%     0.00%  kworker/27:0     [kernel.kallsyms]                      [k] wq_worker_running
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c44a5c
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da1f26
     0.00%     0.00%  kworker/15:3     [kernel.kallsyms]                      [k] load_balance
     0.00%     0.00%  top              [kernel.kallsyms]                      [k] next_uptodate_page
     0.00%     0.00%  top              [kernel.kallsyms]                      [k] filemap_map_pages
     0.00%     0.00%  kworker/13:0-di  [kernel.kallsyms]                      [k] finish_task_switch.isra.0
     0.00%     0.00%  kworker/5:2-dio  [kernel.kallsyms]                      [k] update_rq_clock
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] __schedule
     0.00%     0.00%  kworker/19:0     [kernel.kallsyms]                      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kworker/7:10     [kernel.kallsyms]                      [k] update_cfs_group
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]                      [k] __default_send_IPI_dest_field
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c9f504
     0.00%     0.00%  kworker/3:0      [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  kworker/3:0      [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  kworker/3:0      [kernel.kallsyms]                      [k] worker_thread
     0.00%     0.00%  kworker/13:8     [kernel.kallsyms]                      [k] __switch_to_asm
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]                      [k] crc_13
     0.00%     0.00%  kworker/6:1H-kb  [kernel.kallsyms]                      [k] pick_next_task_fair
     0.00%     0.00%  kworker/27:2     [kernel.kallsyms]                      [k] update_load_avg
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d13316
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ca3fc2
     0.00%     0.00%  kworker/6:1-eve  [kernel.kallsyms]                      [k] __update_load_avg_cfs_rq
     0.00%     0.00%  kworker/30:0     [kernel.kallsyms]                      [k] update_rq_clock_task
     0.00%     0.00%  kworker/3:1      [kernel.kallsyms]                      [k] switch_mm_irqs_off
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] add_transaction_credits
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] __ext4_journal_start_sb
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] jbd2__journal_start
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] start_this_handle
     0.00%     0.00%  kworker/8:1      [kernel.kallsyms]                      [k] kthread_data
     0.00%     0.00%  kworker/18:2     [kernel.kallsyms]                      [k] default_send_IPI_single_phys
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] __hrtimer_run_queues
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] __run_hrtimer
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] hrtimer_interrupt
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] tick_sched_handle
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] tick_sched_timer
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] update_process_times
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c9f9f5
     0.00%     0.00%  kworker/8:2-dio  [kernel.kallsyms]                      [k] switch_mm_irqs_off
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ea8eb5
     0.00%     0.00%  kworker/5:2-dio  [kernel.kallsyms]                      [k] dequeue_task_fair
     0.00%     0.00%  kworker/9:5      [kernel.kallsyms]                      [k] __switch_to_asm
     0.00%     0.00%  kworker/22:1H-k  [kernel.kallsyms]                      [k] __blk_mq_delay_run_hw_queue
     0.00%     0.00%  kworker/22:1H-k  [kernel.kallsyms]                      [k] __blk_mq_run_hw_queue
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x00000000000255ac
     0.00%     0.00%  kworker/24:5     [kernel.kallsyms]                      [k] ext4_convert_unwritten_extents
     0.00%     0.00%  kworker/24:5     [kernel.kallsyms]                      [k] ext4_dio_write_end_io
     0.00%     0.00%  sshd             [kernel.kallsyms]                      [k] do_syscall_64
     0.00%     0.00%  sshd             [kernel.kallsyms]                      [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x000000000002549e
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]                      [k] crc32c_pcl_intel_update
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da0710
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x00000000008e9ebf
     0.00%     0.00%  kworker/18:1H-k  [kernel.kallsyms]                      [k] __blk_mq_delay_run_hw_queue
     0.00%     0.00%  kworker/18:1H-k  [kernel.kallsyms]                      [k] __blk_mq_run_hw_queue
     0.00%     0.00%  kworker/18:1H-k  [kernel.kallsyms]                      [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/18:1H-k  [kernel.kallsyms]                      [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/23:1     [kernel.kallsyms]                      [k] ext4_inode_csum
     0.00%     0.00%  kworker/23:1     [kernel.kallsyms]                      [k] ext4_do_update_inode.isra.0
     0.00%     0.00%  kworker/23:1     [kernel.kallsyms]                      [k] ext4_inode_csum_set
     0.00%     0.00%  kworker/23:1     [kernel.kallsyms]                      [k] ext4_mark_iloc_dirty
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x00000000006b8523
     0.00%     0.00%  kworker/20:0-di  [kernel.kallsyms]                      [k] idle_cpu
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c3641a
     0.00%     0.00%  kworker/16:0     [kernel.kallsyms]                      [k] fput
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] mpage_process_page_bufs
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] __writeback_inodes_wb
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] __writeback_single_inode
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] do_writepages
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] ext4_writepages
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] mpage_prepare_extent_to_map
     0.00%     0.00%  kworker/u64:32-  [kernel.kallsyms]                      [k] writeback_sb_inodes
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c80295
     0.00%     0.00%  kworker/8:1      [kernel.kallsyms]                      [k] pick_next_entity
     0.00%     0.00%  kworker/27:1-di  [kernel.kallsyms]                      [k] update_rq_clock_task
     0.00%     0.00%  kworker/27:2     [kernel.kallsyms]                      [k] pick_next_task_fair
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000cb16c4
     0.00%     0.00%  kworker/22:6     [kernel.kallsyms]                      [k] update_rq_clock_task
     0.00%     0.00%  kswapd0          [kernel.kallsyms]                      [k] __const_udelay
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d12d85
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]                      [k] __ext4_get_inode_loc
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]                      [k] __find_get_block
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]                      [k] __getblk_gfp
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]                      [k] ext4_get_inode_loc
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]                      [k] ext4_reserve_inode_write
     0.00%     0.00%  kworker/13:4-di  [kernel.kallsyms]                      [k] update_cfs_rq_h_load
     0.00%     0.00%  kworker/13:4-di  [kernel.kallsyms]                      [k] wake_affine_weight
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] __switch_to_asm
     0.00%     0.00%  kworker/21:0-di  [kernel.kallsyms]                      [k] update_load_avg
     0.00%     0.00%  kworker/13:4     [kernel.kallsyms]                      [k] enqueue_entity
     0.00%     0.00%  kworker/22:6     [kernel.kallsyms]                      [k] rb_erase
     0.00%     0.00%  kworker/18:2     [kernel.kallsyms]                      [k] llist_add_batch
     0.00%     0.00%  kworker/18:2     [kernel.kallsyms]                      [k] __smp_call_single_queue
     0.00%     0.00%  kworker/17:4     [kernel.kallsyms]                      [k] ext4_map_blocks
     0.00%     0.00%  kworker/25:0     [kernel.kallsyms]                      [k] __switch_to_asm
     0.00%     0.00%  kworker/4:4-dio  [kernel.kallsyms]                      [k] select_task_rq_fair
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d77485
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] pci_msi_unmask_irq
     0.00%     0.00%  kworker/2:0      [kernel.kallsyms]                      [k] rcu_read_unlock_strict
     0.00%     0.00%  kworker/5:7      [kernel.kallsyms]                      [k] _raw_spin_lock
     0.00%     0.00%  kworker/8:3      [kernel.kallsyms]                      [k] dequeue_entity
     0.00%     0.00%  kworker/8:3      [kernel.kallsyms]                      [k] dequeue_task_fair
     0.00%     0.00%  kworker/23:4     [kernel.kallsyms]                      [k] __ext4_ext_dirty
     0.00%     0.00%  kworker/5:1-dio  [kernel.kallsyms]                      [k] update_cfs_rq_h_load
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c84284
     0.00%     0.00%  kworker/5:7      [kernel.kallsyms]                      [k] kthread_data
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d1bf8a
     0.00%     0.00%  kworker/30:0     [kernel.kallsyms]                      [k] __wrgsbase_inactive
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] wbt_data_dir
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] blk_mq_end_request
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] blk_stat_add
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] memmove
     0.00%     0.00%  kworker/18:4     [kernel.kallsyms]                      [k] jbd2_journal_dirty_metadata
     0.00%     0.00%  kworker/18:4     [kernel.kallsyms]                      [k] __ext4_handle_dirty_metadata
     0.00%     0.00%  kworker/29:4     [kernel.kallsyms]                      [k] aio_complete
     0.00%     0.00%  kworker/24:3     [kernel.kallsyms]                      [k] available_idle_cpu
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] ext4_inode_block_valid
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] __check_block_validity.constprop.0
     0.00%     0.00%  kworker/31:1-di  [kernel.kallsyms]                      [k] ext4_can_extents_be_merged.constprop.0
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000da015b
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ca2bbb
     0.00%     0.00%  kworker/0:4      [kernel.kallsyms]                      [k] wbt_done
     0.00%     0.00%  kworker/0:4      [kernel.kallsyms]                      [k] __rq_qos_done
     0.00%     0.00%  kworker/0:4      [kernel.kallsyms]                      [k] blk_mq_free_request
     0.00%     0.00%  kworker/30:1     [kernel.kallsyms]                      [k] ext4_ext_map_blocks
     0.00%     0.00%  kworker/6:1H-kb  [kernel.kallsyms]                      [k] dequeue_entity
     0.00%     0.00%  kworker/6:1H-kb  [kernel.kallsyms]                      [k] dequeue_task_fair
     0.00%     0.00%  kworker/6:1H-kb  [kernel.kallsyms]                      [k] update_curr
     0.00%     0.00%  kworker/16:2-di  [kernel.kallsyms]                      [k] __switch_to
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] __common_interrupt
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] __handle_irq_event_percpu
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] asm_common_interrupt
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] common_interrupt
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] finish_task_switch.isra.0
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] handle_edge_irq
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] handle_irq_event
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] nvme_irq
     0.00%     0.00%  kworker/25:1-di  [kernel.kallsyms]                      [k] nvme_process_cq
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] nvme_queue_rq
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] __blk_mq_try_issue_directly
     0.00%     0.00%  khugepaged       [kernel.kallsyms]                      [k] blk_mq_try_issue_directly
     0.00%     0.00%  kworker/25:2     [kernel.kallsyms]                      [k] kmem_cache_free
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d38853
     0.00%     0.00%  kworker/19:2     [kernel.kallsyms]                      [k] available_idle_cpu
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] try_to_free_swap
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d146ae
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ca71d8
     0.00%     0.00%  tclsh8.6         libmariadb.so.3                        [.] 0x0000000000023e78
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000889f41
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000650aef
     0.00%     0.00%  kworker/12:5     [kernel.kallsyms]                      [k] wq_worker_running
     0.00%     0.00%  kworker/22:6     [kernel.kallsyms]                      [k] __update_load_avg_cfs_rq
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d90d98
     0.00%     0.00%  kworker/8:1      [kernel.kallsyms]                      [k] __es_remove_extent
     0.00%     0.00%  kworker/8:1      [kernel.kallsyms]                      [k] ext4_es_insert_extent
     0.00%     0.00%  kworker/6:1-eve  [kernel.kallsyms]                      [k] native_sched_clock
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ee7cd4
     0.00%     0.00%  dnf              libpython3.6m.so.1.0                   [.] PyDict_SetDefault
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c80410
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d70639
     0.00%     0.00%  kworker/1:2      [kernel.kallsyms]                      [k] _raw_spin_lock_irq
     0.00%     0.00%  kworker/26:2-di  [kernel.kallsyms]                      [k] set_next_entity
     0.00%     0.00%  kworker/11:0     [kernel.kallsyms]                      [k] kmem_cache_free
     0.00%     0.00%  mariadbd         mariadbd                               [.] _Z20create_explain_queryP3LEXP11st_mem_root
     0.00%     0.00%  kworker/1:3      [kernel.kallsyms]                      [k] wq_worker_running
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d4ce44
     0.00%     0.00%  kworker/20:0-di  [kernel.kallsyms]                      [k] kthread_data
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d3c4a1
     0.00%     0.00%  kworker/5:2-dio  [kernel.kallsyms]                      [k] update_curr
     0.00%     0.00%  migration/8      [kernel.kallsyms]                      [k] kthread
     0.00%     0.00%  migration/8      [kernel.kallsyms]                      [k] ret_from_fork
     0.00%     0.00%  migration/8      [kernel.kallsyms]                      [k] smpboot_thread_fn
     0.00%     0.00%  kworker/25:2     [kernel.kallsyms]                      [k] check_preempt_curr
     0.00%     0.00%  kworker/25:2     [kernel.kallsyms]                      [k] ttwu_do_wakeup
     0.00%     0.00%  kworker/0:4      [kernel.kallsyms]                      [k] kmem_cache_free
     0.00%     0.00%  kworker/23:1     [kernel.kallsyms]                      [k] crc32c_pcl_intel_update
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c9d140
     0.00%     0.00%  kworker/24:6     [kernel.kallsyms]                      [k] _raw_spin_lock_irq
     0.00%     0.00%  kworker/18:4     [kernel.kallsyms]                      [k] available_idle_cpu
     0.00%     0.00%  top              [kernel.kallsyms]                      [k] do_mprotect_pkey
     0.00%     0.00%  top              [kernel.kallsyms]                      [k] __x64_sys_mprotect
     0.00%     0.00%  kworker/15:3     [kernel.kallsyms]                      [k] pick_next_entity
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] crc_60
     0.00%     0.00%  kworker/29:5     [kernel.kallsyms]                      [k] dequeue_entity
     0.00%     0.00%  kworker/29:5     [kernel.kallsyms]                      [k] dequeue_task_fair
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c47937
     0.00%     0.00%  kworker/14:0-di  [kernel.kallsyms]                      [k] update_cfs_group
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] xas_clear_mark
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d133a4
     0.00%     0.00%  kworker/5:7      [kernel.kallsyms]                      [k] update_rq_clock
     0.00%     0.00%  kworker/12:0-di  [kernel.kallsyms]                      [k] _raw_spin_lock_irq
     0.00%     0.00%  kworker/12:5     [kernel.kallsyms]                      [k] native_sched_clock
     0.00%     0.00%  kworker/25:1H-k  [kernel.kallsyms]                      [k] __blk_mq_run_hw_queue
     0.00%     0.00%  kworker/25:1H-k  [kernel.kallsyms]                      [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/25:1H-k  [kernel.kallsyms]                      [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000ea8e90
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] __fprop_inc_percpu_max
     0.00%     0.00%  kworker/27:2-rc  [kernel.kallsyms]                      [k] finish_task_switch.isra.0
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] __do_fault
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] __handle_mm_fault
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] asm_exc_page_fault
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] do_fault
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] do_user_addr_fault
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] exc_page_fault
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] ext4_filemap_fault
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] filemap_fault
     0.00%     0.00%  systemd-tmpfile  [kernel.kallsyms]                      [k] handle_mm_fault
     0.00%     0.00%  kworker/19:3-di  [kernel.kallsyms]                      [k] rb_erase
     0.00%     0.00%  kworker/28:0     [kernel.kallsyms]                      [k] update_cfs_group
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000d72d2c
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000c43657
     0.00%     0.00%  kworker/17:4     [kernel.kallsyms]                      [k] update_cfs_group
     0.00%     0.00%  mariadbd         mariadbd                               [.] 0x0000000000b943f8
     0.00%     0.00%  mariadbd         [kernel.kallsyms]                      [k] ext4_release_io_end
     0.00%     0.00%  kworker/12:0-di  [kernel.kallsyms]                      [k] __update_idle_core
