# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 860K of event 'cycles'
# Event count (approx.): 1610038469085
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                     
# ........  ........  ...............  ...................................  ...........................................................................................................................................................
#
     0.63%     0.01%  swapper          [kernel.kallsyms]                    [k] sysvec_call_function_single
     0.62%     0.01%  GC Thread#10     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.62%     0.03%  Executor task l  [kernel.kallsyms]                    [k] clockevents_program_event
     0.62%     0.00%  G1 Refine#4      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.62%     0.62%  Executor task l  [kernel.kallsyms]                    [k] arch_scale_freq_tick
     0.62%     0.01%  GC Thread#13     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.62%     0.01%  GC Thread#4      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.62%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] tick_sched_timer
     0.62%     0.01%  GC Thread#14     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.62%     0.01%  G1 Refine#3      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.62%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.61%     0.01%  GC Thread#10     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.61%     0.01%  GC Thread#21     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.61%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.61%     0.01%  GC Thread#11     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.61%     0.02%  Executor task l  [kernel.kallsyms]                    [k] alloc_empty_file
     0.61%     0.00%  kswapd0          [kernel.kallsyms]                    [k] lru_gen_shrink_lruvec
     0.61%     0.02%  G1 Refine#3      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.60%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] __run_hrtimer
     0.60%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] __run_hrtimer
     0.60%     0.01%  GC Thread#15     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.60%     0.01%  GC Thread#21     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.60%     0.00%  GC Thread#3      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.60%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     0.60%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] __run_hrtimer
     0.60%     0.00%  GC Thread#3      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.60%     0.01%  G1 Conc#1        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.59%     0.00%  kswapd0          [kernel.kallsyms]                    [k] evict_pages
     0.59%     0.01%  GC Thread#2      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.59%     0.02%  GC Thread#22     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.59%     0.16%  Executor task l  [kernel.kallsyms]                    [k] __alloc_file
     0.59%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] __run_hrtimer
     0.59%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] tick_sched_handle
     0.59%     0.01%  G1 Conc#2        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.59%     0.01%  G1 Conc#5        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.59%     0.01%  swapper          [kernel.kallsyms]                    [k] __irq_exit_rcu
     0.59%     0.01%  GC Thread#8      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.59%     0.01%  G1 Conc#0        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.59%     0.03%  G1 Refine#2      [kernel.kallsyms]                    [k] update_process_times
     0.58%     0.01%  G1 Conc#3        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.58%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] __run_hrtimer
     0.58%     0.00%  GC Thread#12     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.58%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] tick_sched_timer
     0.58%     0.00%  GC Thread#12     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.58%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] __run_hrtimer
     0.58%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] tick_sched_timer
     0.58%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.58%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] __run_hrtimer
     0.58%     0.00%  G1 Conc#5        [kernel.kallsyms]                    [k] __run_hrtimer
     0.58%     0.58%  Executor task l  [kernel.kallsyms]                    [k] update_irq_load_avg
     0.57%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] __run_hrtimer
     0.57%     0.01%  GC Thread#7      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.57%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] __run_hrtimer
     0.57%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.57%     0.01%  swapper          [kernel.kallsyms]                    [k] __softirqentry_text_start
     0.57%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] __run_hrtimer
     0.57%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] __run_hrtimer
     0.57%     0.01%  GC Thread#19     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.57%     0.01%  GC Thread#0      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.57%     0.01%  G1 Conc#4        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.57%     0.03%  G1 Refine#0      [kernel.kallsyms]                    [k] scheduler_tick
     0.57%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] tick_sched_timer
     0.57%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] tick_sched_timer
     0.57%     0.00%  GC Thread#6      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.57%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.56%     0.01%  GC Thread#0      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.56%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] tick_sched_timer
     0.56%     0.00%  GC Thread#18     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.56%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] __run_hrtimer
     0.56%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.56%     0.00%  GC Thread#6      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.56%     0.00%  GC Thread#19     [kernel.kallsyms]                    [k] __run_hrtimer
     0.56%     0.01%  Executor task l  [kernel.kallsyms]                    [k] open_last_lookups
     0.56%     0.06%  Executor task l  [kernel.kallsyms]                    [k] __add_to_page_cache_locked
     0.56%     0.00%  GC Thread#18     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.56%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] tick_sched_timer
     0.56%     0.00%  G1 Conc#5        [kernel.kallsyms]                    [k] tick_sched_timer
     0.56%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] __run_hrtimer
     0.55%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] tick_sched_timer
     0.55%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] tick_sched_timer
     0.55%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] tick_sched_handle
     0.55%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] tick_sched_timer
     0.55%     0.02%  GC Thread#13     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.55%     0.01%  GC Thread#3      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.55%     0.01%  G1 Refine#4      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.55%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] tick_sched_timer
     0.55%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] tick_sched_timer
     0.54%     0.00%  GC Thread#1      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.54%     0.02%  GC Thread#14     [kernel.kallsyms]                    [k] update_process_times
     0.54%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] tick_sched_handle
     0.54%     0.01%  GC Thread#10     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.54%     0.00%  GC Thread#1      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.54%     0.01%  GC Thread#3      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.54%     0.01%  G1 Refine#4      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.54%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] tick_sched_timer
     0.54%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] tick_sched_handle
     0.54%     0.00%  GC Thread#19     [kernel.kallsyms]                    [k] tick_sched_timer
     0.54%     0.05%  Executor task l  [kernel.kallsyms]                    [k] rcu_report_qs_rdp
     0.54%     0.01%  GC Thread#12     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.54%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] tick_sched_timer
     0.54%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] __run_hrtimer
