# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7669860942578
#
# Children      Self  Command          Shared Object         Symbol                                                        
# ........  ........  ...............  ....................  ..............................................................
#
     0.00%     0.00%  :-1              [kernel.kallsyms]     [k] update_curr
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] native_write_msr
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] lru_gen_update_size
     0.00%     0.00%  java             [kernel.kallsyms]     [k] ext4_da_write_end
     0.00%     0.00%  migration/27     [kernel.kallsyms]     [k] psi_task_switch
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] blk_integrity_merge_bio
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] do_swap_page
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] swapin_readahead
     0.00%     0.00%  LocalJobRunner   libc.so.6             [.] 0x00000000001b26ea
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2307        [.] 0x00007f88856dbb7c
     0.00%     0.00%  java             [kernel.kallsyms]     [k] calc_global_load
     0.00%     0.00%  java             [kernel.kallsyms]     [k] map_id_range_down
     0.00%     0.00%  java             [kernel.kallsyms]     [k] make_kuid
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] task_numa_migrate.isra.0
     0.00%     0.00%  migration/35     [kernel.kallsyms]     [k] cpu_stopper_thread
     0.00%     0.00%  kworker/33:2-ev  [kernel.kallsyms]     [k] vmstat_update
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_get_group_desc
     0.00%     0.00%  java             [kernel.kallsyms]     [k] inode_permission.part.0
     0.00%     0.00%  java             [JIT] tid 1908        [.] 0x00007f7cb5052836
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] rmap_walk
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] swapcache_prepare
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] current_time
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] security_inode_mkdir
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] psi_group_change
     0.00%     0.00%  Sampler Reader   [JIT] tid 2228        [.] 0x00007fc8796c2036
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1667        [.] 0x00007f887dc1c752
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] page_lock_anon_vma_read
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] __split_huge_pmd
     0.00%     0.00%  kworker/42:1-ev  [kernel.kallsyms]     [k] __schedule
     0.00%     0.00%  kworker/42:1-ev  [kernel.kallsyms]     [k] schedule
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]     [k] __schedule
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]     [k] io_schedule
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]     [k] schedule
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]     [k] wait_on_page_bit_common
     0.00%     0.00%  perf             [kernel.kallsyms]     [k] put_prev_entity
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] rcu_read_unlock_strict
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] usb_new_device.cold
     0.00%     0.00%  kworker/16:1-ev  [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/16:1-ev  [kernel.kallsyms]     [k] _raw_spin_lock
     0.00%     0.00%  kworker/8:1-eve  [kernel.kallsyms]     [k] usb_control_msg
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] enqueue_task_fair
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] enqueue_task
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __percpu_down_read
     0.00%     0.00%  kworker/21:1-ev  [kernel.kallsyms]     [k] refresh_cpu_vm_stats
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_read_bh_nowait
     0.00%     0.00%  top              [kernel.kallsyms]     [k] generic_permission
     0.00%     0.00%  top              [kernel.kallsyms]     [k] make_kuid
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] perf_event_task_tick
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] scheduler_tick
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] tick_sched_handle
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] tick_sched_timer
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] update_process_times
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2148        [.] 0x00007fb23d779483
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] input_handle_event
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] input_inject_event
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] input_leds_brightness_set
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] input_register_handle
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] kbd_connect
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] kbd_start
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] led_set_brightness
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] led_set_brightness_nosleep
     0.00%     0.00%  kworker/2:2-mm_  [kernel.kallsyms]     [k] led_trigger_event
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1462        [.] 0x00007eff093518a1
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] lru_gen_update_size
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] rcu_nmi_exit
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1954        [.] 0x00007f8f499b2fb6
     0.00%     0.00%  kworker/22:1-mm  [kernel.kallsyms]     [k] vmstat_update
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2307        [.] 0x00007f8885052416
     0.00%     0.00%  perf             [kernel.kallsyms]     [k] find_vma
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] llist_add_batch
     0.00%     0.00%  java             libjvm.so             [.] 0x000000000065cce9
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] free_unref_page_commit.constprop.0
     0.00%     0.00%  ksoftirqd/13     [kernel.kallsyms]     [k] kfree
     0.00%     0.00%  ksoftirqd/13     [kernel.kallsyms]     [k] __free_slab
     0.00%     0.00%  ksoftirqd/13     [kernel.kallsyms]     [k] __unfreeze_partials
     0.00%     0.00%  ksoftirqd/13     [kernel.kallsyms]     [k] discard_slab
     0.00%     0.00%  ksoftirqd/13     [kernel.kallsyms]     [k] put_cpu_partial
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] blk_mq_get_tag
     0.00%     0.00%  LocalJobRunner   libc.so.6             [.] mkdir
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] put_prev_entity
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2307        [.] 0x00007f8885655699
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2068        [.] 0x00007fb059013344
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] cpuset_fork
     0.00%     0.00%  java             [kernel.kallsyms]     [k] rcu_segcblist_enqueue
     0.00%     0.00%  java             [kernel.kallsyms]     [k] fill_pmd
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] acpi_ns_get_attached_object
     0.00%     0.00%  java             [kernel.kallsyms]     [k] irqentry_nmi_enter
     0.00%     0.00%  Sampler Reader   [JIT] tid 2228        [.] 0x00007fc879025af1
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] page_get_anon_vma
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] pte_to_swp_entry
     0.00%     0.00%  kworker/8:1-eve  [kernel.kallsyms]     [k] usb_start_wait_urb
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] intel_pmu_enable_all
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] x86_pmu_enable
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] __set_page_dirty
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] mark_buffer_dirty
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] native_read_msr
     0.00%     0.00%  bash             [kernel.kallsyms]     [k] release_pages
     0.00%     0.00%  bash             [kernel.kallsyms]     [k] __pagevec_lru_add
     0.00%     0.00%  bash             [kernel.kallsyms]     [k] add_to_page_cache_lru
     0.00%     0.00%  bash             [kernel.kallsyms]     [k] lru_cache_add
     0.00%     0.00%  bash             [kernel.kallsyms]     [k] pagecache_get_page
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] __switch_to
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] ext4_get_group_desc
     0.00%     0.00%  LocalDistribute  libc.so.6             [.] 0x00000000001b2eae
     0.00%     0.00%  java             [kernel.kallsyms]     [k] should_fail_bio
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] __smp_call_single_queue
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] device_add
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] __do_sys_newfstatat
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] __x64_sys_newfstatat
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] user_path_at_empty
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] vfs_statx
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] __sysvec_call_function_single
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] asm_sysvec_call_function_single
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] sysvec_call_function_single
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]     [k] crc_80
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __update_load_avg_blocked_se
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] fixup_vdso_exception
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]     [k] drain_local_pages_wq
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]     [k] drain_pages_zone
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]     [k] __lock_text_start
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] current_umask
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] perf_event_comm_output
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]     [k] __schedule
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]     [k] schedule
     0.00%     0.00%  migration/4      [kernel.kallsyms]     [k] multi_cpu_stop
     0.00%     0.00%  java             [kernel.kallsyms]     [k] __pmd_alloc
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_inode_table
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] switch_mm_irqs_off
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] put_prev_task_fair
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] balance_dirty_pages
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] mem_cgroup_wb_stats
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] __rq_qos_merge
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] __cgroup_throttle_swaprate
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] slab_free_freelist_hook.constprop.0
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] __switch_to_asm
     0.00%     0.00%  java             [kernel.kallsyms]     [k] kvm_check_and_clear_guest_paused
     0.00%     0.00%  C2 CompilerThre  libjvm.so             [.] 0x0000000000640c84
     0.00%     0.00%  java             [kernel.kallsyms]     [k] free_pgtables
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] acpi_ex_get_name_string
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] set_next_buddy
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1954        [.] 0x00007f8f496c2821
     0.00%     0.00%  top              [kernel.kallsyms]     [k] __x64_sys_exit_group
     0.00%     0.00%  top              [kernel.kallsyms]     [k] do_exit
     0.00%     0.00%  top              [kernel.kallsyms]     [k] do_group_exit
     0.00%     0.00%  kworker/47:1-mm  [kernel.kallsyms]     [k] schedule
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1587        [.] 0x00007fe975052416
     0.00%     0.00%  Sampler Reader   [JIT] tid 2307        [.] 0x00007f88856d8dbb
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] irqentry_enter
     0.00%     0.00%  top              [kernel.kallsyms]     [k] inode_init_always
     0.00%     0.00%  top              [kernel.kallsyms]     [k] make_kgid
     0.00%     0.00%  top              [kernel.kallsyms]     [k] proc_pid_instantiate
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] kthread_is_per_cpu
     0.00%     0.00%  kworker/27:2-ev  [kernel.kallsyms]     [k] schedule
     0.00%     0.00%  migration/22     [kernel.kallsyms]     [k] kthread
     0.00%     0.00%  migration/22     [kernel.kallsyms]     [k] ret_from_fork
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] numa_migrate_prep
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] __d_lookup_done
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] d_splice_alias
     0.00%     0.00%  java             [kernel.kallsyms]     [k] vma_merge
     0.00%     0.00%  LocalJobRunner   libjvm.so             [.] 0x000000000095efe4
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] acct_account_cputime
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] ttwu_do_activate
     0.00%     0.00%  kworker/40:1-mm  [kernel.kallsyms]     [k] refresh_cpu_vm_stats
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] rcu_read_unlock_strict
     0.00%     0.00%  kworker/18:1-mm  [kernel.kallsyms]     [k] drain_local_pages_wq
     0.00%     0.00%  kworker/18:1-mm  [kernel.kallsyms]     [k] drain_pages_zone
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_inode_csum
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] psi_flags_change
     0.00%     0.00%  kworker/28:2-ev  [kernel.kallsyms]     [k] schedule
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] mem_cgroup_update_lru_size
     0.00%     0.00%  C1 CompilerThre  libjvm.so             [.] 0x0000000000a96634
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] down_write_killable
     0.00%     0.00%  java             [kernel.kallsyms]     [k] generic_write_end
     0.00%     0.00%  swapper          [kernel.kallsyms]     [k] add_interrupt_randomness
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] dec_rlimit_ucounts
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] ext4_init_io_end
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] release_pages
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] __x64_sys_exit_group
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] do_exit
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] do_group_exit
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] exit_mmap
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] free_pages_and_swap_cache
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] mmput
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] tlb_finish_mmu
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] dequeue_task
     0.00%     0.00%  :-1              [kernel.kallsyms]     [k] cpuacct_charge
     0.00%     0.00%  kworker/33:2-ev  [kernel.kallsyms]     [k] refresh_cpu_vm_stats
     0.00%     0.00%  :-1              [kernel.kallsyms]     [k] __radix_tree_delete
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] timerqueue_del
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2307        [.] 0x00007f8885655346
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] put_swap_page
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] trigger_load_balance
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] update_load_avg
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] xas_find
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_mb_free_metadata.isra.0
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1954        [.] 0x00007f8f496c2824
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] rcu_read_unlock_strict
     0.00%     0.00%  migration/2      [kernel.kallsyms]     [k] stop_machine_yield
     0.00%     0.00%  java             [kernel.kallsyms]     [k] mntput_no_expire
     0.00%     0.00%  java             [kernel.kallsyms]     [k] mntput
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] effective_cpu_util
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] sugov_get_util
     0.00%     0.00%  migration/9      [kernel.kallsyms]     [k] __schedule
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] enqueue_task
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] blk_start_plug
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] acpi_ps_next_parse_state
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] hrtimer_active
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]     [k] switch_fpu_return
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] memcg_slab_free_hook
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] mpol_misplaced
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] vmstat_update
     0.00%     0.00%  migration/14     [kernel.kallsyms]     [k] cpu_stopper_thread
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] free_unref_page_list
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]     [k] wake_up_q
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] set_next_entity
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] map_id_range_down
     0.00%     0.00%  migration/43     [kernel.kallsyms]     [k] _raw_spin_lock
     0.00%     0.00%  Finalizer        [kernel.kallsyms]     [k] futex_wait
     0.00%     0.00%  VM Thread        [kernel.kallsyms]     [k] __zone_watermark_ok
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] lru_gen_add_page
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] __do_munmap
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] __pagevec_lru_add
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] __x64_sys_mmap
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] do_mmap
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] do_syscall_64
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] ksys_mmap_pgoff
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] lru_add_drain
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] lru_add_drain_cpu
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] mmap_region
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] unmap_region
     0.00%     0.00%  Thread-11        [kernel.kallsyms]     [k] vm_mmap_pgoff
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] try_to_migrate
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] free_swap_cache
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] __device_attach
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] __device_attach_driver
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] __driver_probe_device
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] bus_for_each_drv
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] bus_probe_device
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] device_initial_probe
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] driver_probe_device
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] really_probe
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] usb_generic_driver_probe
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] usb_probe_device
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]     [k] usb_set_configuration
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ima_inode_post_setattr
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] arch_get_unmapped_area_topdown
     0.00%     0.00%  readlink         [kernel.kallsyms]     [k] get_unmapped_area
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_fc_track_create
     0.00%     0.00%  snapd            [kernel.kallsyms]     [k] free_swap_cache
     0.00%     0.00%  snapd            [kernel.kallsyms]     [k] exit_mmap
     0.00%     0.00%  snapd            [kernel.kallsyms]     [k] mmput
     0.00%     0.00%  snapd            [kernel.kallsyms]     [k] tlb_finish_mmu
     0.00%     0.00%  migration/36     [kernel.kallsyms]     [k] stop_machine_yield
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]     [k] nohz_balance_exit_idle
     0.00%     0.00%  migration/40     [kernel.kallsyms]     [k] multi_cpu_stop
     0.00%     0.00%  VM Periodic Tas  libc.so.6             [.] 0x00000000000a6225
     0.00%     0.00%  kworker/25:2-ev  [kernel.kallsyms]     [k] vmstat_update
     0.00%     0.00%  kworker/12:1-ev  [kernel.kallsyms]     [k] free_pcppages_bulk
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] nvme_submit_cmd
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_iter
     0.00%     0.00%  Sampler Reader   libc.so.6             [.] 0x00000000001b276f
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] native_apic_msr_eoi_write
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] _prb_read_valid
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] console_unlock
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1462        [.] 0x00007eff0965fcc6
     0.00%     0.00%  ksoftirqd/19     [kernel.kallsyms]     [k] rcu_cblist_dequeue
     0.00%     0.00%  ksoftirqd/19     [kernel.kallsyms]     [k] __softirqentry_text_start
     0.00%     0.00%  ksoftirqd/19     [kernel.kallsyms]     [k] rcu_core
     0.00%     0.00%  ksoftirqd/19     [kernel.kallsyms]     [k] rcu_core_si
     0.00%     0.00%  ksoftirqd/19     [kernel.kallsyms]     [k] run_ksoftirqd
     0.00%     0.00%  java             [kernel.kallsyms]     [k] __check_heap_object
     0.00%     0.00%  kworker/27:2-ev  [kernel.kallsyms]     [k] __schedule
     0.00%     0.00%  kworker/42:1-ev  [kernel.kallsyms]     [k] remove_vm_area
     0.00%     0.00%  java             [kernel.kallsyms]     [k] unlink_anon_vmas
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] is_cpu_allowed
     0.00%     0.00%  :-1              [kernel.kallsyms]     [k] __x64_sys_exit_group
     0.00%     0.00%  :-1              [kernel.kallsyms]     [k] do_group_exit
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] truncate_inode_pages_final
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] kernfs_evict_inode
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] ext4_get_group_desc
     0.00%     0.00%  java             libjvm.so             [.] 0x00000000009ec3b9
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]     [k] psi_group_change
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]     [k] psi_task_switch
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] mm_release
     0.00%     0.00%  SpillThread      [kernel.kallsyms]     [k] __perf_event__output_id_sample
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1731        [.] 0x00007f934d9c5255
     0.00%     0.00%  kworker/0:1-eve  [kernel.kallsyms]     [k] acpi_ut_match_predefined_method
     0.00%     0.00%  communication t  [kernel.kallsyms]     [k] fpregs_assert_state_consistent
     0.00%     0.00%  kworker/31:2-mm  [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/31:2-mm  [kernel.kallsyms]     [k] _raw_spin_lock
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] idr_get_free
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] alloc_pid
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] copy_process
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] idr_alloc_cyclic
     0.00%     0.00%  Thread-5         [kernel.kallsyms]     [k] idr_alloc_u32
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]     [k] __note_gp_changes
     0.00%     0.00%  java             [kernel.kallsyms]     [k] lockref_put_return
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]     [k] __vunmap
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]     [k] free_work
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]     [k] remove_vm_area
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] psi_flags_change
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] ext4_ext_index_trans_blocks
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] ext4_meta_trans_blocks
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]     [k] try_to_wake_up
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]     [k] lru_gen_add_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_block_bitmap_csum_set
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]     [k] rcu_all_qs
     0.00%     0.00%  C1 CompilerThre  libjvm.so             [.] 0x000000000038ad6d
     0.00%     0.00%  kworker/23:1-mm  [kernel.kallsyms]     [k] free_vmap_area_noflush
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] lock_two_nondirectories
     0.00%     0.00%  bash             [kernel.kallsyms]     [k] page_cache_ra_unbounded
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] enqueue_entity
