# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7669860942578
#
# Children      Self  Command          Shared Object         Symbol                                                        
# ........  ........  ...............  ....................  ..............................................................
#
     0.96%     0.96%  LocalJobRunner   libc.so.6             [.] 0x00000000001b2eae
     0.96%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_async_ra
     0.96%     0.03%  java             [kernel.kallsyms]     [k] lock_page_lruvec_irq
     0.94%     0.01%  java             [kernel.kallsyms]     [k] sysvec_call_function
     0.94%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add_inactive_or_unevictable
     0.89%     0.01%  java             [kernel.kallsyms]     [k] migrate_page_copy
     0.88%     0.00%  java             [kernel.kallsyms]     [k] __put_page
     0.87%     0.01%  java             [kernel.kallsyms]     [k] __read_swap_cache_async
     0.87%     0.00%  java             [kernel.kallsyms]     [k] task_work_run
     0.87%     0.05%  java             [kernel.kallsyms]     [k] find_vma
     0.87%     0.00%  java             [kernel.kallsyms]     [k] task_numa_work
     0.87%     0.00%  java             [kernel.kallsyms]     [k] change_prot_numa
     0.87%     0.10%  java             [kernel.kallsyms]     [k] migrate_page_states
     0.85%     0.02%  java             [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.85%     0.00%  VM Thread        [kernel.kallsyms]     [k] __x64_sys_mmap
     0.85%     0.00%  VM Thread        [kernel.kallsyms]     [k] vm_mmap_pgoff
     0.85%     0.00%  VM Thread        [kernel.kallsyms]     [k] ksys_mmap_pgoff
     0.85%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_mmap
     0.85%     0.00%  VM Thread        [kernel.kallsyms]     [k] mmap_region
     0.85%     0.00%  VM Thread        [kernel.kallsyms]     [k] __do_munmap
     0.85%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_region
     0.84%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_single_vma
     0.84%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_vmas
     0.84%     0.13%  VM Thread        [kernel.kallsyms]     [k] unmap_page_range
     0.84%     0.82%  java             [kernel.kallsyms]     [k] vmacache_find
     0.83%     0.01%  VM Thread        [kernel.kallsyms]     [k] asm_exc_page_fault
     0.83%     0.01%  java             [kernel.kallsyms]     [k] __sysvec_call_function
     0.83%     0.00%  java             [kernel.kallsyms]     [k] generic_smp_call_function_single_interrupt
     0.81%     0.00%  java             [kernel.kallsyms]     [k] alloc_misplaced_dst_page
     0.80%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.79%     0.60%  java             [kernel.kallsyms]     [k] __count_memcg_events
     0.77%     0.71%  java             [kernel.kallsyms]     [k] change_protection
     0.77%     0.77%  LocalJobRunner   [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.74%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_block_write_begin
     0.74%     0.01%  VM Thread        [kernel.kallsyms]     [k] exc_page_fault
     0.74%     0.04%  java             [kernel.kallsyms]     [k] mem_cgroup_migrate
     0.73%     0.12%  java             [kernel.kallsyms]     [k] __pagevec_lru_add
     0.72%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_timer
     0.72%     0.54%  kswapd0          [kernel.kallsyms]     [k] isolate_pages
     0.71%     0.57%  java             [kernel.kallsyms]     [k] _raw_spin_lock
     0.71%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.70%     0.53%  kswapd1          [kernel.kallsyms]     [k] isolate_pages
     0.70%     0.02%  VM Thread        [kernel.kallsyms]     [k] do_user_addr_fault
     0.70%     0.67%  java             [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.69%     0.69%  java             libc.so.6             [.] 0x00000000001b2383
     0.68%     0.11%  java             [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.68%     0.00%  kswapd0          [kernel.kallsyms]     [k] try_to_inc_max_seq
     0.68%     0.00%  kswapd0          [kernel.kallsyms]     [k] __walk_page_range
     0.68%     0.00%  kswapd0          [kernel.kallsyms]     [k] walk_page_range
     0.67%     0.34%  java             [kernel.kallsyms]     [k] numa_migrate_prep
     0.67%     0.06%  java             [kernel.kallsyms]     [k] update_process_times
     0.67%     0.50%  java             [kernel.kallsyms]     [k] cgroup_rstat_updated
