# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
     1.22%     0.00%  mariadbd         [kernel.kallsyms]         [k] shrink_lruvec
     1.21%     0.00%  mariadbd         [kernel.kallsyms]         [k] shrink_inactive_list
     1.19%     0.03%  swapper          [kernel.kallsyms]         [k] ttwu_do_activate
     1.19%     0.06%  mariadbd         [kernel.kallsyms]         [k] do_poll.constprop.0
     1.18%     0.03%  mariadbd         [kernel.kallsyms]         [k] wake_affine
     1.17%     0.01%  tclsh8.6         [kernel.kallsyms]         [k] unix_stream_recvmsg
     1.17%     0.03%  mariadbd         [kernel.kallsyms]         [k] amd_pmu_disable_all
     1.17%     0.34%  swapper          [kernel.kallsyms]         [k] enqueue_task_fair
     1.16%     0.15%  mariadbd         [kernel.kallsyms]         [k] newidle_balance
     1.16%     0.02%  mariadbd         [kernel.kallsyms]         [k] ext4_ext_map_blocks
     1.16%     0.14%  tclsh8.6         [kernel.kallsyms]         [k] unix_stream_read_generic
     1.14%     0.17%  mariadbd         [kernel.kallsyms]         [k] switch_fpu_return
     1.14%     1.14%  mariadbd         [kernel.kallsyms]         [k] available_idle_cpu
     1.13%     0.08%  swapper          [kernel.kallsyms]         [k] flush_smp_call_function_from_idle
     1.13%     0.05%  mariadbd         [kernel.kallsyms]         [k] blk_update_request
     1.10%     0.77%  mariadbd         [kernel.kallsyms]         [k] __audit_syscall_exit
     1.09%     0.00%  kswapd0          [kernel.kallsyms]         [k] kswapd
     1.09%     0.00%  kswapd0          [kernel.kallsyms]         [k] kthread
     1.09%     0.00%  kswapd0          [kernel.kallsyms]         [k] ret_from_fork
     1.09%     0.00%  kswapd0          [kernel.kallsyms]         [k] balance_pgdat
     1.08%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_node
     1.08%     0.01%  kswapd0          [kernel.kallsyms]         [k] shrink_node_memcgs
     1.07%     0.01%  mariadbd         [kernel.kallsyms]         [k] ext4_dio_write_checks
     1.07%     0.23%  mariadbd         [kernel.kallsyms]         [k] ext4_find_extent
     1.06%     0.29%  mariadbd         [kernel.kallsyms]         [k] ttwu_queue_wakelist
     1.02%     0.01%  mariadbd         [kernel.kallsyms]         [k] __read_swap_cache_async
     1.00%     0.01%  mariadbd         [kernel.kallsyms]         [k] __x64_sys_recvfrom
     1.00%     0.02%  mariadbd         [kernel.kallsyms]         [k] blk_mq_flush_plug_list
     1.00%     0.01%  mariadbd         [kernel.kallsyms]         [k] blk_finish_plug
     0.99%     0.00%  mariadbd         [kernel.kallsyms]         [k] __x64_sys_pwrite64
     0.99%     0.00%  mariadbd         [kernel.kallsyms]         [k] vfs_write
     0.99%     0.02%  mariadbd         [kernel.kallsyms]         [k] __sys_recvfrom
     0.99%     0.00%  mariadbd         [kernel.kallsyms]         [k] new_sync_write
     0.99%     0.00%  mariadbd         [kernel.kallsyms]         [k] ext4_buffered_write_iter
     0.98%     0.00%  mariadbd         [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     0.98%     0.43%  mariadbd         [kernel.kallsyms]         [k] smp_call_function_many_cond
     0.98%     0.30%  mariadbd         [kernel.kallsyms]         [k] futex_wait_setup
     0.98%     0.02%  mariadbd         [kernel.kallsyms]         [k] blk_mq_sched_insert_requests
     0.98%     0.98%  mariadbd         [kernel.kallsyms]         [k] __restore_fpregs_from_fpstate
     0.97%     0.00%  mariadbd         [kernel.kallsyms]         [k] generic_perform_write
     0.96%     0.02%  mariadbd         [kernel.kallsyms]         [k] shrink_page_list
     0.96%     0.01%  mariadbd         [kernel.kallsyms]         [k] io_schedule_timeout
     0.95%     0.02%  mariadbd         [kernel.kallsyms]         [k] schedule_hrtimeout_range_clock
     0.94%     0.02%  mariadbd         [kernel.kallsyms]         [k] __submit_bio_noacct_mq
     0.94%     0.02%  mariadbd         [kernel.kallsyms]         [k] schedule_timeout
     0.94%     0.06%  mariadbd         [kernel.kallsyms]         [k] blk_mq_try_issue_list_directly
     0.94%     0.01%  mariadbd         [kernel.kallsyms]         [k] sock_alloc_send_pskb
     0.93%     0.01%  mariadbd         [kernel.kallsyms]         [k] iomap_dio_submit_bio
     0.92%     0.06%  mariadbd         [kernel.kallsyms]         [k] alloc_skb_with_frags
     0.91%     0.01%  swapper          [kernel.kallsyms]         [k] asm_common_interrupt
     0.91%     0.06%  mariadbd         [kernel.kallsyms]         [k] blk_mq_submit_bio
     0.90%     0.01%  swapper          [kernel.kallsyms]         [k] common_interrupt
     0.89%     0.04%  tclsh8.6         [kernel.kallsyms]         [k] schedule_hrtimeout_range_clock
     0.89%     0.04%  mariadbd         [kernel.kallsyms]         [k] __blk_mq_try_issue_directly
     0.88%     0.00%  swapper          [kernel.kallsyms]         [k] start_kernel
     0.87%     0.00%  swapper          [kernel.kallsyms]         [k] __sysvec_call_function_single
     0.87%     0.01%  mariadbd         [kernel.kallsyms]         [k] unix_stream_recvmsg
     0.86%     0.02%  mariadbd         [kernel.kallsyms]         [k] pagecache_get_page
     0.86%     0.06%  mariadbd         [kernel.kallsyms]         [k] __alloc_skb
     0.86%     0.09%  mariadbd         [kernel.kallsyms]         [k] unix_stream_read_generic
     0.85%     0.03%  tclsh8.6         [kernel.kallsyms]         [k] schedule
     0.85%     0.04%  mariadbd         [kernel.kallsyms]         [k] load_balance
