# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles'
# Event count (approx.): 577830700520
#
# Children      Self  Command          Shared Object      Symbol                                          
# ........  ........  ...............  .................  ................................................
#
     0.23%     0.06%  kworker/u98:2-w  [kernel.kallsyms]  [k] __test_set_page_writeback
     0.23%     0.18%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.23%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] jbd2_journal_stop
     0.23%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_inode_csum_set
     0.22%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.22%     0.00%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate_one
     0.22%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_es_insert_delayed_block
     0.22%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.22%     0.02%  kcompactd0       [kernel.kallsyms]  [k] uncharge_batch
     0.22%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     0.21%     0.07%  kworker/u98:2-w  [kernel.kallsyms]  [k] clear_page_dirty_for_io
     0.21%     0.00%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.21%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.21%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     0.21%     0.21%  java             [kernel.kallsyms]  [k] __mod_node_page_state
     0.20%     0.07%  java             [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.20%     0.12%  pool-4-thread-1  [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.20%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] free_unref_page_list
     0.20%     0.00%  Thread-5         [kernel.kallsyms]  [k] do_syscall_64
     0.20%     0.00%  Thread-5         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.19%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_inode_csum
     0.19%     0.19%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.19%     0.00%  kcompactd1       [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     0.19%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.19%     0.01%  C2 CompilerThre  [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.19%     0.03%  kworker/u98:2-w  [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.18%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.18%     0.11%  pool-4-thread-1  [kernel.kallsyms]  [k] numa_migrate_prep
     0.18%     0.03%  C2 CompilerThre  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.18%     0.16%  kcompactd0       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.18%     0.00%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.17%     0.00%  swapper          [kernel.kallsyms]  [k] __softirqentry_text_start
     0.17%     0.11%  kworker/u98:2-w  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.17%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] crypto_shash_update
     0.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] read_pages
     0.17%     0.01%  kcompactd1       [kernel.kallsyms]  [k] uncharge_batch
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] irqentry_exit
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] PageHuge
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] change_prot_numa
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] task_numa_work
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] task_work_run
     0.16%     0.00%  kcompactd1       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.16%     0.15%  kcompactd0       [kernel.kallsyms]  [k] page_counter_cancel
     0.16%     0.15%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_es_lookup_extent
     0.16%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] unaccount_page_cache_page
     0.16%     0.08%  Readahead Threa  [kernel.kallsyms]  [k] page_remove_rmap
