# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 716K of event 'cycles'
# Event count (approx.): 10058435022841
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     2.67%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     2.67%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] generic_perform_write
     2.67%     0.01%  kswapd0          [kernel.kallsyms]         [k] shrink_lruvec
     2.64%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_async_ra
     2.62%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] handle_mm_fault
     2.54%     0.58%  pool-4-thread-1  [kernel.kallsyms]         [k] cgroup_rstat_flush_locked
     2.45%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_da_write_begin
     2.45%     0.14%  localfetcher#1   [kernel.kallsyms]         [k] __handle_mm_fault
     2.40%     2.38%  java             [kernel.kallsyms]         [k] down_read_trylock
     2.36%     0.06%  localfetcher#1   [kernel.kallsyms]         [k] __alloc_pages
     2.20%     2.15%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     1.99%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] grab_cache_page_write_begin
     1.99%     0.03%  pool-4-thread-1  [kernel.kallsyms]         [k] pagecache_get_page
     1.91%     0.15%  kswapd0          [kernel.kallsyms]         [k] shrink_page_list
     1.80%     1.79%  pool-4-thread-1  [kernel.kallsyms]         [k] mem_cgroup_css_rstat_flush
     1.79%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_begin
     1.76%     0.18%  kswapd1          [kernel.kallsyms]         [k] shrink_page_list
     1.75%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] asm_exc_page_fault
     1.74%     0.19%  localfetcher#1   [kernel.kallsyms]         [k] get_page_from_freelist
     1.71%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] exc_page_fault
     1.69%     0.00%  swapper          [kernel.kallsyms]         [k] arch_call_rest_init
     1.69%     0.00%  swapper          [kernel.kallsyms]         [k] rest_init
     1.69%     0.00%  swapper          [kernel.kallsyms]         [k] start_kernel
     1.69%     0.00%  swapper          [kernel.kallsyms]         [k] x86_64_start_kernel
     1.69%     0.00%  swapper          [kernel.kallsyms]         [k] x86_64_start_reservations
     1.69%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] do_user_addr_fault
     1.66%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] handle_mm_fault
     1.60%     1.09%  pool-4-thread-1  [kernel.kallsyms]         [k] __add_to_page_cache_locked
     1.58%     0.02%  java             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.57%     0.06%  InMemoryMerger   [kernel.kallsyms]         [k] __handle_mm_fault
     1.56%     0.02%  java             [kernel.kallsyms]         [k] do_syscall_64
     1.53%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] pagecache_get_page
     1.53%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages
     1.52%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     1.52%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     1.41%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] do_swap_page
     1.37%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] cgroup_rstat_flush_irqsafe
     1.32%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_da_write_begin
     1.31%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     1.31%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] swapin_readahead
     1.31%     1.29%  localfetcher#1   [kernel.kallsyms]         [k] clear_page_erms
     1.30%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     1.30%     0.10%  localfetcher#1   [kernel.kallsyms]         [k] add_to_page_cache_lru
     1.29%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] asm_exc_page_fault
     1.23%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] alloc_pages
     1.21%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] __read_swap_cache_async
     1.21%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __page_cache_alloc
     1.19%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] exc_page_fault
     1.16%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] do_user_addr_fault
     1.15%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] alloc_pages_vma
     1.13%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     1.13%     0.02%  InMemoryMerger   [kernel.kallsyms]         [k] pagecache_get_page
     1.12%     1.12%  java             [kernel.kallsyms]         [k] up_read
     1.12%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] workingset_refault
     1.12%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] handle_mm_fault
