# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3639496606870
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
     0.92%     0.43%  Executor task l  [kernel.kallsyms]                    [k] kmem_cache_alloc
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     0.86%     0.36%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
     0.82%     0.75%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     0.81%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] wb_do_writeback
     0.81%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] wb_workfn
     0.81%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] wb_writeback
     0.81%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] __writeback_single_inode
     0.81%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] __writeback_inodes_wb
     0.81%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] writeback_sb_inodes
     0.81%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] do_writepages
     0.81%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] ext4_writepages
     0.81%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] rmap_walk_anon
     0.80%     0.05%  kswapd0          [kernel.kallsyms]                    [k] __remove_mapping
     0.80%     0.01%  Executor task l  [kernel.kallsyms]                    [k] blk_finish_plug
     0.80%     0.17%  Executor task l  [kernel.kallsyms]                    [k] __pagevec_lru_add_fn
     0.80%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] try_to_migrate
     0.79%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_idle_call
     0.79%     0.01%  kcompactd0       [kernel.kallsyms]                    [k] try_to_migrate_one
     0.78%     0.02%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_flush_plug_list
     0.77%     0.76%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_cfs_rq
     0.76%     0.02%  kcompactd0       [kernel.kallsyms]                    [k] flush_tlb_mm_range
     0.76%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] ptep_clear_flush
     0.76%     0.01%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_sched_insert_requests
     0.75%     0.03%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_loop
     0.75%     0.04%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_try_issue_list_directly
     0.74%     0.36%  Executor task l  [kernel.kallsyms]                    [k] update_rq_clock_task
     0.74%     0.13%  Executor task l  [kernel.kallsyms]                    [k] __mem_cgroup_charge
     0.73%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ext4_mark_iloc_dirty
     0.73%     0.03%  Executor task l  [kernel.kallsyms]                    [k] schedule
     0.73%     0.11%  Executor task l  [kernel.kallsyms]                    [k] __schedule
     0.72%     0.00%  kworker/u64:37-  [kernel.kallsyms]                    [k] wb_check_old_data_flush
     0.71%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     0.71%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     0.71%     0.26%  kcompactd0       [kernel.kallsyms]                    [k] smp_call_function_many_cond
     0.71%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] on_each_cpu_cond_mask
     0.70%     0.62%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_se
     0.70%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __blk_mq_try_issue_directly
     0.67%     0.01%  kswapd0          [kernel.kallsyms]                    [k] do_shrink_slab
     0.67%     0.23%  Executor task l  [kernel.kallsyms]                    [k] ext4_do_update_inode.isra.0
     0.66%     0.00%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter
     0.66%     0.01%  kswapd0          [kernel.kallsyms]                    [k] shrink_slab_memcg
     0.66%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter_state
     0.65%     0.08%  Executor task l  [kernel.kallsyms]                    [k] nvme_queue_rq
     0.64%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __submit_bio_noacct_mq
     0.62%     0.61%  Executor task l  [kernel.kallsyms]                    [k] __list_del_entry_valid
     0.61%     0.04%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_submit_bio
     0.60%     0.21%  Executor task l  [kernel.kallsyms]                    [k] xas_store
     0.60%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
