# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3346000136016
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] wb_workfn
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] wb_do_writeback
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] wb_writeback
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] do_writepages
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] __writeback_inodes_wb
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] __writeback_single_inode
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] writeback_sb_inodes
     0.31%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] ext4_writepages
     0.31%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] schedule
     0.30%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] ext4_get_inode_loc
     0.30%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] __schedule
     0.30%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] wb_do_writeback
     0.30%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] wb_workfn
     0.29%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] __writeback_inodes_wb
     0.29%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] wb_writeback
     0.29%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] writeback_sb_inodes
     0.29%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] __writeback_single_inode
     0.29%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] do_writepages
     0.29%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] ext4_writepages
     0.29%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_get_inode_loc
     0.29%     0.29%  Executor task l  [kernel.kallsyms]                                 [k] __const_udelay
     0.29%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] jbd2_journal_stop
     0.29%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] xas_create
     0.29%     0.29%  Executor task l  [kernel.kallsyms]                                 [k] x86_pmu_disable
     0.28%     0.00%  kworker/u64:39-  [kernel.kallsyms]                                 [k] wb_check_old_data_flush
     0.28%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] error_entry
     0.28%     0.28%  Executor task l  [kernel.kallsyms]                                 [k] tick_program_event
     0.28%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] ext4_inode_csum
     0.27%     0.14%  Executor task l  [kernel.kallsyms]                                 [k] __audit_syscall_exit
     0.27%     0.04%  kswapd0          [kernel.kallsyms]                                 [k] isolate_page
     0.26%     0.02%  swapper          [kernel.kallsyms]                                 [k] asm_sysvec_call_function_single
     0.26%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __set_page_dirty
