# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 2197247760119
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     0.60%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_da_write_end
     0.60%     0.00%  postgres         [kernel.kallsyms]   [k] asm_exc_page_fault
     0.59%     0.03%  postgres         [kernel.kallsyms]   [k] free_unref_page_commit.constprop.0
     0.58%     0.56%  postgres         [kernel.kallsyms]   [k] __block_commit_write.constprop.0.isra.0
     0.56%     0.10%  postgres         [kernel.kallsyms]   [k] free_pcppages_bulk
     0.56%     0.05%  kcompactd1       [kernel.kallsyms]   [k] remove_migration_pte
     0.55%     0.01%  swapper          [kernel.kallsyms]   [k] schedule_idle
     0.54%     0.03%  swapper          [kernel.kallsyms]   [k] __schedule
     0.53%     0.00%  postgres         [kernel.kallsyms]   [k] exc_page_fault
     0.51%     0.02%  postgres         [kernel.kallsyms]   [k] do_user_addr_fault
     0.49%     0.46%  postgres         [kernel.kallsyms]   [k] free_swap_cache
     0.48%     0.46%  postgres         [kernel.kallsyms]   [k] lock_page_memcg
     0.46%     0.01%  postgres         [kernel.kallsyms]   [k] handle_mm_fault
     0.41%     0.05%  postgres         [kernel.kallsyms]   [k] __handle_mm_fault
     0.40%     0.00%  swapper          [kernel.kallsyms]   [k] switch_mm_irqs_off
     0.40%     0.40%  postgres         [kernel.kallsyms]   [k] __free_one_page
     0.39%     0.39%  swapper          [kernel.kallsyms]   [k] load_new_mm_cr3
     0.36%     0.02%  kcompactd1       [kernel.kallsyms]   [k] move_to_new_page
     0.35%     0.07%  postgres         [kernel.kallsyms]   [k] futex_wake
     0.35%     0.32%  swapper          [kernel.kallsyms]   [k] poll_idle
     0.33%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] do_syscall_64
     0.33%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.31%     0.29%  postgres         [kernel.kallsyms]   [k] __tlb_remove_page_size
     0.31%     0.21%  postgres         [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.28%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_da_write_begin
     0.25%     0.01%  postgres         [kernel.kallsyms]   [k] pagecache_get_page
     0.25%     0.12%  postgres         [kernel.kallsyms]   [k] set_page_dirty
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]   [k] compact_zone
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]   [k] kcompactd
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]   [k] kthread
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]   [k] proactive_compact_node
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]   [k] ret_from_fork
     0.24%     0.19%  postgres         [kernel.kallsyms]   [k] unlock_page_memcg
     0.23%     0.23%  kcompactd1       [kernel.kallsyms]   [k] _raw_spin_lock
     0.23%     0.00%  postgres         [kernel.kallsyms]   [k] grab_cache_page_write_begin
     0.22%     0.01%  postgres         [kernel.kallsyms]   [k] mpage_process_page_bufs
     0.22%     0.00%  kcompactd1       [kernel.kallsyms]   [k] buffer_migrate_page
     0.22%     0.22%  postgres         [unknown]           [.] 0000000000000000
     0.22%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] asm_exc_page_fault
     0.22%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] exc_page_fault
     0.22%     0.00%  kcompactd0       [kernel.kallsyms]   [k] migrate_pages
     0.21%     0.00%  postgres         [kernel.kallsyms]   [k] wake_up_q
     0.21%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] do_user_addr_fault
     0.20%     0.00%  postgres         [kernel.kallsyms]   [k] mpage_submit_page
     0.20%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compaction_alloc
     0.20%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] handle_mm_fault
     0.20%     0.00%  postgres         [kernel.kallsyms]   [k] read_pages
     0.19%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __handle_mm_fault
     0.19%     0.04%  kcompactd1       [kernel.kallsyms]   [k] __buffer_migrate_page.part.0
     0.17%     0.17%  postgres         [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.17%     0.14%  postgres         [kernel.kallsyms]   [k] page_mapping
     0.16%     0.02%  postgres         [kernel.kallsyms]   [k] ext4_mpage_readpages
     0.16%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] migrate_misplaced_page
     0.16%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_readahead
     0.16%     0.04%  postgres         [kernel.kallsyms]   [k] filemap_map_pages
     0.16%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] migrate_pages
     0.15%     0.00%  kcompactd1       [kernel.kallsyms]   [k] migrate_page
     0.14%     0.02%  postgres         [kernel.kallsyms]   [k] ext4_bio_write_page
     0.14%     0.00%  postgres         [kernel.kallsyms]   [k] __sys_sendto
     0.14%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_sendto
     0.14%     0.00%  postgres         [kernel.kallsyms]   [k] __alloc_pages
     0.14%     0.07%  postgres         [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.14%     0.01%  postgres         [kernel.kallsyms]   [k] get_page_from_freelist
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] try_to_migrate_one
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] rmap_walk
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] rmap_walk_anon
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] try_to_migrate
