# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 212867787405
#
# Children      Self  Command          Shared Object        Symbol                                                                                                          
# ........  ........  ...............  ...................  ................................................................................................................
#
     1.10%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     1.10%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     1.10%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     1.09%     0.00%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.08%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.08%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.07%     0.01%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.07%     0.13%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     1.06%     0.01%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.06%     0.07%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     1.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.05%     0.03%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     1.05%     0.01%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     1.05%     0.01%  swapper          [kernel.kallsyms]    [k] nvme_irq
     1.04%     0.00%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     1.04%     0.08%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     1.04%     0.13%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     1.04%     0.01%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     1.03%     0.01%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.03%     0.06%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.02%     0.12%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.02%     0.25%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     1.02%     0.02%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     1.01%     0.07%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     1.01%     0.20%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     1.00%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait
     0.99%     0.06%  mariadbd         [kernel.kallsyms]    [k] pollwake
     0.99%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.99%     0.80%  mariadbd         [kernel.kallsyms]    [k] xas_load
     0.98%     0.06%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.98%     0.24%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     0.96%     0.03%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.93%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     0.93%     0.01%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.92%     0.05%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.92%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     0.92%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.91%     0.16%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.91%     0.91%  mariadbd         [kernel.kallsyms]    [k] __default_send_IPI_dest_field
