# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7939215636395
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     2.09%     0.25%  LocalJobRunner   [kernel.kallsyms]  [k] __mem_cgroup_charge
     2.08%     0.01%  java             [kernel.kallsyms]  [k] rmap_walk
     2.06%     0.39%  java             [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.98%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __page_cache_alloc
     1.93%     0.18%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     1.89%     0.02%  java             [kernel.kallsyms]  [k] __x64_sys_sched_yield
     1.88%     0.18%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     1.83%     0.06%  java             [kernel.kallsyms]  [k] do_sched_yield
     1.78%     0.00%  java             [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     1.75%     0.01%  java             [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     1.75%     1.73%  java             [kernel.kallsyms]  [k] sync_regs
     1.60%     1.59%  java             [kernel.kallsyms]  [k] up_read
     1.58%     1.58%  java             [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     1.54%     0.81%  LocalJobRunner   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     1.54%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.54%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_syscall_64
     1.51%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_misplaced_page
     1.50%     1.49%  java             [kernel.kallsyms]  [k] clear_page_erms
     1.49%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __x64_sys_read
     1.49%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ksys_read
     1.49%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] vfs_read
     1.49%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ext4_file_read_iter
     1.49%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] generic_file_read_iter
     1.49%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] new_sync_read
     1.49%     0.02%  Sampler Reader   [kernel.kallsyms]  [k] filemap_read
     1.44%     0.02%  java             [kernel.kallsyms]  [k] alloc_pages_vma
     1.44%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_end
     1.42%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] generic_write_end
     1.41%     0.84%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     1.39%     0.21%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.37%     0.53%  LocalJobRunner   [kernel.kallsyms]  [k] charge_memcg
     1.36%     0.02%  java             [kernel.kallsyms]  [k] schedule
     1.32%     0.28%  java             [kernel.kallsyms]  [k] __schedule
     1.29%     0.98%  Sampler Reader   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.27%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_pages
     1.27%     1.26%  java             [kernel.kallsyms]  [k] copy_page
     1.24%     0.00%  java             [kernel.kallsyms]  [k] try_to_migrate
     1.19%     0.21%  LocalJobRunner   [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     1.16%     0.41%  java             [kernel.kallsyms]  [k] __count_memcg_events
     1.15%     0.02%  java             [kernel.kallsyms]  [k] asm_sysvec_call_function
     1.12%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_sync_ra
     1.12%     0.02%  kswapd1          [kernel.kallsyms]  [k] rmap_walk
     1.11%     0.02%  java             [kernel.kallsyms]  [k] irqentry_exit
     1.11%     0.01%  VM Thread        [kernel.kallsyms]  [k] asm_exc_page_fault
     1.09%     0.02%  java             [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     1.07%     1.06%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     1.05%     0.04%  LocalJobRunner   [kernel.kallsyms]  [k] __mark_inode_dirty
     1.04%     0.01%  VM Thread        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.03%     0.01%  VM Thread        [kernel.kallsyms]  [k] exc_page_fault
     1.03%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_syscall_64
     1.03%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] lru_note_cost
     1.01%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_dirty_inode
     1.01%     0.05%  kswapd1          [kernel.kallsyms]  [k] page_referenced
     1.00%     0.08%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add
     0.99%     0.01%  VM Thread        [kernel.kallsyms]  [k] do_user_addr_fault
     0.99%     0.02%  kswapd0          [kernel.kallsyms]  [k] rmap_walk
     0.98%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.98%     0.00%  kswapd1          [kernel.kallsyms]  [k] arch_tlbbatch_flush
     0.97%     0.23%  java             [kernel.kallsyms]  [k] try_to_migrate_one
     0.97%     0.01%  kswapd1          [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.96%     0.00%  kswapd1          [kernel.kallsyms]  [k] try_to_unmap_flush_dirty
     0.96%     0.70%  LocalJobRunner   [kernel.kallsyms]  [k] _raw_spin_lock
     0.95%     0.02%  VM Thread        [kernel.kallsyms]  [k] handle_mm_fault
     0.95%     0.01%  java             [kernel.kallsyms]  [k] sysvec_call_function
     0.93%     0.04%  kswapd0          [kernel.kallsyms]  [k] page_referenced
     0.93%     0.08%  kswapd1          [kernel.kallsyms]  [k] rmap_walk_anon
     0.93%     0.00%  kswapd1          [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.92%     0.91%  LocalJobRunner   [kernel.kallsyms]  [k] sync_regs
     0.90%     0.31%  LocalJobRunner   [kernel.kallsyms]  [k] __pagevec_lru_add
     0.90%     0.02%  java             [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.89%     0.08%  VM Thread        [kernel.kallsyms]  [k] __handle_mm_fault
     0.88%     0.88%  LocalJobRunner   libc.so.6          [.] 0x00000000001b2eae
     0.88%     0.02%  java             [kernel.kallsyms]  [k] hrtimer_interrupt
     0.87%     0.01%  java             [kernel.kallsyms]  [k] migrate_page_copy
     0.85%     0.12%  LocalJobRunner   [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.85%     0.10%  java             [kernel.kallsyms]  [k] migrate_page_states
     0.83%     0.01%  java             [kernel.kallsyms]  [k] __sysvec_call_function
     0.83%     0.00%  java             [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.82%     0.00%  java             [kernel.kallsyms]  [k] __put_page
     0.82%     0.08%  kswapd0          [kernel.kallsyms]  [k] rmap_walk_anon
     0.82%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] shrink_page_list
     0.81%     0.69%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     0.80%     0.68%  kswapd1          [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] ksys_mmap_pgoff
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] __x64_sys_mmap
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] vm_mmap_pgoff
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] mmap_region
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_mmap
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] __do_munmap
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_region
     0.76%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] exc_page_fault
     0.76%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_vmas
     0.76%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_single_vma
     0.76%     0.13%  VM Thread        [kernel.kallsyms]  [k] unmap_page_range
     0.75%     0.02%  java             [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.75%     0.00%  java             [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.74%     0.06%  java             [kernel.kallsyms]  [k] isolate_lru_page
     0.74%     0.04%  java             [kernel.kallsyms]  [k] find_vma
     0.74%     0.04%  kswapd1          [kernel.kallsyms]  [k] shrink_active_list
     0.73%     0.11%  java             [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.73%     0.05%  java             [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.72%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] rmap_walk
     0.72%     0.71%  java             [kernel.kallsyms]  [k] vmacache_find
     0.71%     0.26%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.71%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] balance_dirty_pages
     0.71%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_user_addr_fault
     0.71%     0.00%  java             [kernel.kallsyms]  [k] task_work_run
     0.71%     0.00%  java             [kernel.kallsyms]  [k] task_numa_work
     0.70%     0.00%  java             [kernel.kallsyms]  [k] change_prot_numa
     0.70%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] mem_cgroup_wb_stats
     0.68%     0.61%  kswapd1          [kernel.kallsyms]  [k] isolate_lru_pages
     0.66%     0.03%  kswapd0          [kernel.kallsyms]  [k] shrink_active_list
     0.65%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add_inactive_or_unevictable
     0.65%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] rmap_walk_anon
     0.64%     0.13%  java             [kernel.kallsyms]  [k] update_curr
