# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 668K of event 'cycles'
# Event count (approx.): 8393561199059
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     1.09%     0.70%  localfetcher#1   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.08%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_dirty_inode
     1.06%     0.03%  java             [kernel.kallsyms]     [k] do_sched_yield
     1.05%     0.10%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     1.03%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_swap_page
     1.03%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     1.01%     0.09%  localfetcher#1   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.00%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] __alloc_pages
     0.99%     0.20%  pool-4-thread-1  [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     0.99%     0.98%  pool-4-thread-1  [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.97%     0.02%  java             [kernel.kallsyms]     [k] __sysvec_call_function
     0.96%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages_vma
     0.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] swapin_readahead
     0.94%     0.00%  java             [kernel.kallsyms]     [k] generic_smp_call_function_single_interrupt
     0.94%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] alloc_pages
     0.93%     0.93%  java             [kernel.kallsyms]     [k] sync_regs
     0.91%     0.14%  pool-4-thread-1  [kernel.kallsyms]     [k] get_page_from_freelist
     0.91%     0.11%  pool-4-thread-1  [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.90%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     0.89%     0.01%  java             [kernel.kallsyms]     [k] schedule
     0.89%     0.02%  java             [kernel.kallsyms]     [k] __alloc_pages
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __read_swap_cache_async
     0.87%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     0.87%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages
     0.86%     0.15%  java             [kernel.kallsyms]     [k] __schedule
     0.85%     0.03%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     0.85%     0.00%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.84%     0.58%  java             [kernel.kallsyms]     [k] _raw_spin_lock
     0.84%     0.07%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     0.83%     0.44%  LocalJobRunner   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.83%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     0.83%     0.00%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.82%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] workingset_refault
     0.81%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_swap_page
     0.81%     0.00%  java             [kernel.kallsyms]     [k] alloc_pages_vma
     0.80%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     0.80%     0.23%  java             [kernel.kallsyms]     [k] __count_memcg_events
     0.78%     0.01%  java             [kernel.kallsyms]     [k] find_vma
     0.78%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] balance_dirty_pages
     0.77%     0.76%  java             [kernel.kallsyms]     [k] vmacache_find
     0.77%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] mem_cgroup_wb_stats
     0.76%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] swapin_readahead
     0.76%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     0.75%     0.04%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_block_write_begin
     0.75%     0.01%  kswapd1          [kernel.kallsyms]     [k] rmap_walk
