# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 500598807923
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................................................................
#
     1.37%     0.07%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.37%     0.01%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.36%     0.06%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.35%     0.09%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.35%     0.01%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.33%     0.51%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.32%     1.27%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.32%     0.01%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.31%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.30%     0.02%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     1.30%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.25%     0.00%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     1.25%     0.03%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.24%     0.01%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.24%     0.05%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.23%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.22%     0.11%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.19%     0.05%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.19%     0.00%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.18%     0.50%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.18%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.16%     0.03%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.16%     0.36%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     1.15%     0.26%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.14%     0.01%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.14%     0.02%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.14%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.14%     0.00%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     1.13%     0.01%  swapper          [kernel.kallsyms]    [k] nvme_irq
     1.13%     0.15%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.13%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.12%     0.09%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     1.12%     0.06%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     1.11%     0.00%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.09%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.09%     0.04%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     1.08%     0.14%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
