# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11928368488412
#
# Children      Self  Command          Shared Object      Symbol                                                        
# ........  ........  ...............  .................  ..............................................................
#
     3.63%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     3.58%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     3.57%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit
     3.56%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     3.44%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_work_run
     3.44%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] task_numa_work
     3.44%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] change_prot_numa
     3.44%     0.06%  localfetcher#1   [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.92%     2.71%  LocalJobRunner   [kernel.kallsyms]  [k] change_protection
     2.85%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages
     2.72%     0.30%  LocalJobRunner   [kernel.kallsyms]  [k] get_page_from_freelist
     2.69%     1.19%  localfetcher#1   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     2.56%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] do_syscall_64
     2.56%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.54%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] __x64_sys_write
     2.54%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ksys_write
     2.54%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] vfs_write
     2.54%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] new_sync_write
     2.54%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_file_write_iter
     2.54%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     2.54%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] generic_perform_write
     2.52%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] asm_exc_page_fault
     2.49%     0.06%  localfetcher#1   [kernel.kallsyms]  [k] workingset_refault
     2.46%     0.06%  java             [kernel.kallsyms]  [k] __alloc_pages
     2.41%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_begin
     2.36%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.30%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.29%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     2.10%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     2.10%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     2.10%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     2.10%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
     2.10%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
     2.10%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     2.09%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     2.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     2.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     2.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     2.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     2.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     2.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     2.09%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     2.02%     0.40%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     2.01%     2.00%  LocalJobRunner   [kernel.kallsyms]  [k] clear_page_erms
     1.99%     0.02%  java             [kernel.kallsyms]  [k] alloc_pages_vma
     1.95%     1.94%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     1.94%     0.04%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages_vma
     1.91%     1.90%  java             [kernel.kallsyms]  [k] up_read
     1.89%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.88%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] pagecache_get_page
     1.85%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     1.84%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     1.84%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     1.84%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.84%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     1.84%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     1.84%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     1.84%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     1.84%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.64%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] exc_page_fault
     1.60%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] do_user_addr_fault
     1.58%     0.15%  LocalJobRunner   [kernel.kallsyms]  [k] __mem_cgroup_charge
     1.55%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] handle_mm_fault
     1.54%     1.53%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     1.45%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] workingset_refault
     1.43%     0.18%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     1.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.40%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_begin
     1.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     1.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     1.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     1.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     1.38%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     1.37%     0.09%  localfetcher#1   [kernel.kallsyms]  [k] __handle_mm_fault
     1.30%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.30%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.30%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.30%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.30%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.27%     0.00%  java             [kernel.kallsyms]  [k] rmap_walk
     1.25%     0.01%  java             [kernel.kallsyms]  [k] move_to_new_page
     1.24%     0.00%  java             [kernel.kallsyms]  [k] migrate_page
     1.24%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     1.23%     0.01%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     1.21%     0.30%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.21%     0.00%  java             [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
     1.21%     0.13%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.17%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     1.16%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.16%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] pagecache_get_page
     1.15%     0.42%  LocalJobRunner   [kernel.kallsyms]  [k] charge_memcg
     1.15%     0.10%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     1.14%     0.05%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irq
     1.13%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_end
     1.12%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.12%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_syscall_64
     1.11%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] __alloc_pages
     1.11%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] generic_write_end
     1.08%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __x64_sys_read
     1.08%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ksys_read
     1.08%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] vfs_read
     1.08%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ext4_file_read_iter
     1.08%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] generic_file_read_iter
     1.08%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] new_sync_read
     1.08%     0.02%  Sampler Reader   [kernel.kallsyms]  [k] filemap_read
     1.07%     1.05%  java             [kernel.kallsyms]  [k] sync_regs
     1.04%     1.04%  java             [kernel.kallsyms]  [k] clear_page_erms
     0.99%     0.12%  localfetcher#1   [kernel.kallsyms]  [k] get_page_from_freelist
     0.96%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.96%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     0.95%     0.02%  java             [kernel.kallsyms]  [k] find_vma
     0.95%     0.70%  Sampler Reader   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.94%     0.93%  java             [kernel.kallsyms]  [k] vmacache_find
     0.94%     0.00%  java             [kernel.kallsyms]  [k] try_to_free_pages
     0.94%     0.00%  java             [kernel.kallsyms]  [k] shrink_node
     0.94%     0.00%  java             [kernel.kallsyms]  [k] do_try_to_free_pages
     0.94%     0.00%  java             [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.93%     0.00%  java             [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.92%     0.02%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.92%     0.00%  java             [kernel.kallsyms]  [k] shrink_lruvec
     0.91%     0.08%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     0.90%     0.02%  java             [kernel.kallsyms]  [k] do_syscall_64
     0.89%     0.59%  LocalJobRunner   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.87%     0.34%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     0.87%     0.87%  LocalJobRunner   libc.so.6          [.] 0x00000000001b2eae
     0.87%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages
     0.87%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.86%     0.85%  LocalJobRunner   [kernel.kallsyms]  [k] sync_regs
     0.85%     0.84%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.84%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.83%     0.10%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.82%     0.01%  java             [kernel.kallsyms]  [k] shrink_page_list
     0.78%     0.01%  java             [kernel.kallsyms]  [k] __remove_mapping
     0.78%     0.06%  InMemoryMerger   [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.78%     0.55%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.77%     0.54%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.77%     0.00%  java             [kernel.kallsyms]  [k] try_to_migrate
     0.77%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_syscall_64
     0.77%     0.76%  java             [kernel.kallsyms]  [k] copy_page
     0.76%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_misplaced_page
     0.75%     0.45%  localfetcher#1   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.73%     0.31%  java             [kernel.kallsyms]  [k] __count_memcg_events
     0.70%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_single_vma
     0.70%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_vmas
     0.70%     0.12%  VM Thread        [kernel.kallsyms]  [k] unmap_page_range
     0.70%     0.09%  java             [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.69%     0.69%  localfetcher#1   [kernel.kallsyms]  [k] clear_page_erms
     0.67%     0.00%  VM Thread        [kernel.kallsyms]  [k] __x64_sys_mmap
     0.67%     0.00%  VM Thread        [kernel.kallsyms]  [k] ksys_mmap_pgoff
     0.67%     0.00%  VM Thread        [kernel.kallsyms]  [k] vm_mmap_pgoff
     0.67%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_mmap
     0.67%     0.00%  VM Thread        [kernel.kallsyms]  [k] mmap_region
     0.67%     0.00%  VM Thread        [kernel.kallsyms]  [k] __do_munmap
     0.67%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_region
     0.66%     0.09%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_pages
     0.66%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages
     0.66%     0.01%  java             [kernel.kallsyms]  [k] __x64_sys_sched_yield
     0.66%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __page_cache_alloc
     0.64%     0.11%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.64%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.63%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.63%     0.46%  InMemoryMerger   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.63%     0.02%  java             [kernel.kallsyms]  [k] do_sched_yield
     0.60%     0.15%  java             [kernel.kallsyms]  [k] try_to_migrate_one
     0.58%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_end
     0.57%     0.01%  java             [kernel.kallsyms]  [k] schedule
     0.57%     0.06%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add
     0.56%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] generic_write_end
     0.56%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit
     0.55%     0.10%  java             [kernel.kallsyms]  [k] __schedule
     0.55%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.52%     0.43%  LocalJobRunner   [kernel.kallsyms]  [k] try_charge_memcg
     0.52%     0.50%  LocalJobRunner   [kernel.kallsyms]  [k] __ptep_modify_prot_start
     0.51%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] kthread
     0.51%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] ret_from_fork
     0.51%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] worker_thread
     0.51%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] process_one_work
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] worker_thread
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] kthread
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] ret_from_fork
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] process_one_work
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] wb_workfn
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] wb_writeback
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] do_writepages
     0.51%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __writeback_single_inode
     0.51%     0.03%  java             [kernel.kallsyms]  [k] isolate_lru_page
     0.50%     0.04%  kworker/u98:2-e  [kernel.kallsyms]  [k] ext4_writepages
     0.50%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] wb_workfn
     0.50%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] wb_writeback
     0.50%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.50%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.50%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] __writeback_single_inode
     0.50%     0.00%  kworker/u97:9-e  [kernel.kallsyms]  [k] do_writepages
     0.50%     0.03%  kworker/u97:9-e  [kernel.kallsyms]  [k] ext4_writepages
     0.49%     0.21%  LocalJobRunner   [kernel.kallsyms]  [k] __pagevec_lru_add
     0.49%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_block_write_begin
     0.49%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     0.49%     0.01%  java             [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.48%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     0.48%     0.00%  java             [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.48%     0.01%  java             [kernel.kallsyms]  [k] hrtimer_interrupt
     0.48%     0.15%  localfetcher#1   [kernel.kallsyms]  [k] charge_memcg
     0.47%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.47%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] exc_page_fault
     0.47%     0.00%  java             [kernel.kallsyms]  [k] __put_page
     0.47%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages_vma
     0.46%     0.01%  java             [kernel.kallsyms]  [k] migrate_page_copy
     0.46%     0.00%  VM Thread        [kernel.kallsyms]  [k] tlb_flush_mmu
     0.45%     0.06%  java             [kernel.kallsyms]  [k] migrate_page_states
     0.44%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_user_addr_fault
     0.44%     0.03%  java             [kernel.kallsyms]  [k] lru_cache_add
     0.43%     0.43%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.43%     0.20%  java             [kernel.kallsyms]  [k] charge_memcg
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kthread
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] worker_thread
     0.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] process_one_work
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.42%     0.00%  VM Thread        [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.42%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.42%     0.07%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.41%     0.07%  VM Thread        [kernel.kallsyms]  [k] release_pages
     0.41%     0.09%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.41%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.41%     0.01%  java             [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.41%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add_inactive_or_unevictable
     0.40%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     0.40%     0.19%  java             [kernel.kallsyms]  [k] numa_migrate_prep
     0.40%     0.38%  java             [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.40%     0.11%  java             [kernel.kallsyms]  [k] __pagevec_lru_add
     0.39%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.38%     0.00%  java             [kernel.kallsyms]  [k] task_work_run
     0.38%     0.00%  java             [kernel.kallsyms]  [k] task_numa_work
     0.38%     0.00%  java             [kernel.kallsyms]  [k] change_prot_numa
     0.38%     0.38%  localfetcher#1   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.37%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] exc_page_fault
     0.37%     0.03%  java             [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.37%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] handle_mm_fault
     0.37%     0.03%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.36%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] kthread
     0.36%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ret_from_fork
     0.36%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] worker_thread
     0.36%     0.03%  java             [kernel.kallsyms]  [k] lock_page_lruvec_irq
     0.36%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
     0.36%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     0.36%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] process_one_work
     0.36%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.36%     0.29%  LocalJobRunner   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.36%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] do_user_addr_fault
     0.36%     0.00%  java             [kernel.kallsyms]  [k] tick_sched_timer
     0.35%     0.35%  InMemoryMerger   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.35%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.35%     0.08%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.35%     0.29%  LocalJobRunner   [kernel.kallsyms]  [k] rmqueue_bulk
     0.35%     0.03%  Sampler Reader   [kernel.kallsyms]  [k] __handle_mm_fault
     0.34%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] alloc_pages
     0.34%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __mark_inode_dirty
     0.34%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.34%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.34%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.34%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.34%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] __alloc_pages
     0.34%     0.01%  VM Thread        [kernel.kallsyms]  [k] asm_exc_page_fault
