# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1614699159179
#
# Children      Self  Command          Shared Object        Symbol                                           
# ........  ........  ...............  ...................  .................................................
#
     0.88%     0.00%  postgres         [kernel.kallsyms]    [k] nvme_process_cq
     0.88%     0.00%  postgres         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     0.88%     0.00%  postgres         [kernel.kallsyms]    [k] nvme_irq
     0.88%     0.09%  postgres         [kernel.kallsyms]    [k] select_task_rq_fair
     0.88%     0.76%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     0.88%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     0.88%     0.00%  postgres         [kernel.kallsyms]    [k] nvme_pci_complete_rq
     0.87%     0.00%  postgres         [kernel.kallsyms]    [k] nvme_complete_rq
     0.87%     0.00%  postgres         [kernel.kallsyms]    [k] blk_mq_end_request
     0.87%     0.01%  postgres         [kernel.kallsyms]    [k] blk_update_request
     0.86%     0.00%  postgres         [kernel.kallsyms]    [k] bio_endio
     0.84%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range
     0.84%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.83%     0.02%  postgres         [kernel.kallsyms]    [k] unlock_page
     0.83%     0.78%  postgres         [kernel.kallsyms]    [k] mark_page_accessed
     0.82%     0.00%  postgres         [kernel.kallsyms]    [k] __read_end_io
     0.82%     0.00%  postgres         [kernel.kallsyms]    [k] mpage_end_io
     0.82%     0.00%  postgres         [kernel.kallsyms]    [k] __wake_up_locked_key_bookmark
     0.82%     0.00%  postgres         [kernel.kallsyms]    [k] wake_page_function
     0.82%     0.00%  postgres         [kernel.kallsyms]    [k] wake_up_page_bit
     0.82%     0.00%  postgres         [kernel.kallsyms]    [k] wake_up_state
     0.77%     0.77%  swapper          [kernel.kallsyms]    [k] psi_group_change
     0.76%     0.00%  swapper          [kernel.kallsyms]    [k] psi_task_switch
     0.75%     0.75%  postgres         [kernel.kallsyms]    [k] cpumask_next_wrap
     0.74%     0.67%  postgres         [kernel.kallsyms]    [k] free_swap_cache
     0.72%     0.01%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock
     0.72%     0.01%  postgres         [kernel.kallsyms]    [k] new_sync_write
     0.72%     0.00%  postgres         [kernel.kallsyms]    [k] vfs_write
     0.72%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     0.71%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     0.71%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     0.71%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_file_write_iter
     0.71%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     0.71%     0.71%  swapper          [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath
     0.69%     0.69%  tclsh8.6         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.69%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] switch_fpu_return
     0.68%     0.00%  swapper          [kernel.kallsyms]    [k] arch_call_rest_init
     0.68%     0.00%  swapper          [kernel.kallsyms]    [k] rest_init
     0.68%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     0.68%     0.00%  swapper          [kernel.kallsyms]    [k] x86_64_start_kernel
     0.68%     0.00%  swapper          [kernel.kallsyms]    [k] x86_64_start_reservations
     0.63%     0.00%  postgres         [kernel.kallsyms]    [k] generic_perform_write
     0.59%     0.53%  postgres         [kernel.kallsyms]    [k] lock_page_memcg
     0.56%     0.00%  postgres         [kernel.kallsyms]    [k] tlb_finish_mmu
     0.51%     0.06%  postgres         [kernel.kallsyms]    [k] futex_wake
     0.51%     0.41%  postgres         [kernel.kallsyms]    [k] copy_user_enhanced_fast_string
     0.51%     0.32%  postgres         [kernel.kallsyms]    [k] unlock_page_memcg
     0.49%     0.01%  postgres         [kernel.kallsyms]    [k] ondemand_readahead
     0.49%     0.00%  postgres         [kernel.kallsyms]    [k] page_cache_ra_unbounded
     0.45%     0.02%  postgres         [kernel.kallsyms]    [k] page_cache_sync_ra
     0.43%     0.39%  postgres         [kernel.kallsyms]    [k] __tlb_remove_page_size
     0.43%     0.42%  postgres         [kernel.kallsyms]    [k] vm_normal_page
     0.42%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_da_write_begin
     0.39%     0.02%  postgres         [kernel.kallsyms]    [k] filemap_map_pages
     0.38%     0.02%  postgres         [kernel.kallsyms]    [k] pagecache_get_page
     0.37%     0.00%  postgres         [kernel.kallsyms]    [k] __do_sys_newfstatat
     0.37%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_newfstatat
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]    [k] compact_zone
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]    [k] kcompactd
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]    [k] kthread
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]    [k] migrate_pages
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]    [k] proactive_compact_node
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]    [k] ret_from_fork
     0.37%     0.28%  postgres         [kernel.kallsyms]    [k] PageHuge
     0.35%     0.00%  postgres         [kernel.kallsyms]    [k] wake_up_q
     0.32%     0.32%  swapper          [unknown]            [.] 0000000000000000
     0.32%     0.00%  postgres         [kernel.kallsyms]    [k] vfs_statx
     0.32%     0.00%  postgres         [kernel.kallsyms]    [k] grab_cache_page_write_begin
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_futex
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_futex
     0.29%     0.00%  postgres         [kernel.kallsyms]    [k] __alloc_pages
     0.29%     0.07%  postgres         [kernel.kallsyms]    [k] set_page_dirty
     0.28%     0.02%  postgres         [kernel.kallsyms]    [k] get_page_from_freelist
     0.28%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     0.27%     0.00%  postgres         [kernel.kallsyms]    [k] read_pages
     0.27%     0.01%  postgres         [kernel.kallsyms]    [k] __x64_sys_sendto
     0.27%     0.26%  postgres         [kernel.kallsyms]    [k] next_uptodate_page
     0.27%     0.00%  postgres         [kernel.kallsyms]    [k] alloc_pages
     0.26%     0.25%  tclsh8.6         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath
     0.26%     0.01%  postgres         [kernel.kallsyms]    [k] __sys_sendto
