# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 211064953437
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                      
# ........  ........  ...............  ...................  ............................................................................................................................................
#
     1.23%     0.02%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.23%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.22%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.21%     0.02%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.21%     0.02%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.20%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.20%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.19%     0.21%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.16%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.16%     0.01%  swapper          [kernel.kallsyms]    [k] nvme_irq
     1.16%     0.00%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.15%     0.08%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     1.13%     0.23%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.13%     0.31%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     1.12%     0.02%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.11%     0.07%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.11%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     1.10%     0.08%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     1.09%     0.01%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.09%     0.03%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.08%     0.04%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     1.07%     0.01%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.07%     0.00%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     1.06%     1.03%  tclsh8.6         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.06%     0.25%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     1.05%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     1.04%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.04%     1.00%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.03%     0.03%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     1.03%     0.02%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     1.03%     0.35%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.02%     0.01%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     1.02%     0.04%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     1.02%     0.09%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     1.01%     0.39%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     0.99%     0.79%  mariadbd         [kernel.kallsyms]    [k] xas_load
     0.97%     0.04%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     0.97%     0.01%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     0.95%     0.07%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.95%     0.13%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.95%     0.01%  mariadbd         [kernel.kallsyms]    [k] vfs_write
