# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 27742558279198
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2aa1c
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath.part.0
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]      [k] _raw_spin_lock
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_do_batch
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dac611b
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee33da0
     0.00%     0.00%  kworker/20:1-ev  [kernel.kallsyms]      [k] __list_del_entry_valid
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_slab_memcg
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000001fa73
     0.00%     0.00%  memcached        memcached              [.] 0x000000000000b350
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] do_shrink_slab
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] xfs_buftarg_shrink_count
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001bca3
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __bitmap_and
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]      [k] ixgbe_read_reg
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]      [k] ixgbe_service_task
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]      [k] ixgbe_watchdog_subtask
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf7a4e
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] __handle_mm_fault
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] asm_exc_page_fault
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] do_swap_page
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] do_user_addr_fault
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] exc_page_fault
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] handle_mm_fault
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf75ac
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000009883
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0db027f9
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]      [k] ixgbe_update_stats
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]      [k] asm_exc_page_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]      [k] do_user_addr_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]      [k] exc_page_fault
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] free_unref_page_list
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __anon_vma_interval_tree_subtree_search
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] hrtimer_wakeup
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] raw_spin_rq_lock_nested
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]      [k] __handle_mm_fault
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]      [k] do_swap_page
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]      [k] handle_mm_fault
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafbd84
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] free_zspage
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001d1f6
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000002f987
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001bb7d
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee371be
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001ec7c
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000021b10
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3414a
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee33f3c
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000015b71
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] dequeue_task_fair
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee34a8f
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafdafb
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000195d2
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee44312
     0.00%     0.00%  kworker/2:0-eve  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath.part.0
     0.00%     0.00%  kworker/2:0-eve  [kernel.kallsyms]      [k] _raw_spin_lock
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0db3c9a3
     0.00%     0.00%  kworker/u64:37-  [kernel.kallsyms]      [k] isolate_lru_pages
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2ac0a
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] load_balance
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee26d07
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] delay_halt
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee44b3e
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafeacb
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __x86_indirect_thunk_r15
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dac9673
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafd314
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee36b20
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee25c0e
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] rcu_report_qs_rnp
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafec44
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] __next_timer_interrupt
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3d395
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee324cd
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee25d7e
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf7a84
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee39a32
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafd04f
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dac8fcf
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] pvclock_gtod_notify
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]      [k] find_busiest_group
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee36b0d
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee36fbf
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] up_write
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee449a4
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf7aff
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee370a9
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee4431e
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000098e3
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] select_task_rq_fair
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee34118
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee26e15
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001ce61
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007ffcf24bdaff
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] hrtimer_run_queues
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee4489f
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee29e03
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafcfb4
     0.00%     0.00%  memcached        memcached              [.] 0x000000000000ae70
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3d9c8
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee25c5c
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001405f
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000192fe
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001b9a4
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee36ca2
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] radix_tree_lookup
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] mem_cgroup_swapout
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000004874
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000014828
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] count_shadow_nodes
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] shrink_slab_memcg
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee26b88
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2aa11
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafbc7f
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee34a94
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] cpumask_next_wrap
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee39a41
     0.00%     0.00%  kworker/1:2-eve  [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001b804
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee448e2
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee42351
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2aa19
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafec78
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2a7e1
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] rcu_is_cpu_rrupt_from_idle
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dbd6252
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafeaeb
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafd73f
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2ac89
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafc203
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dbd66fa
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001343b
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee36ab4
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee26400
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee25c8e
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee33e9d
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000002f819
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3d388
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000013a21
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3a584
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000098e5
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] native_irq_return_iret
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]      [k] __handle_mm_fault
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]      [k] asm_exc_page_fault
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]      [k] do_user_addr_fault
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]      [k] exc_page_fault
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]      [k] handle_mm_fault
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001d99a
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000013772
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000196eb
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000013765
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2abe4
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2d312
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafd597
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2c9aa
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee33d67
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee34192
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee448b7
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafeb05
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dad1eda
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf7aeb
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2a6fe
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000195c4
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2bc5f
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dbd628d
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000020540
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee37012
     0.00%     0.00%  kworker/19:1-mm  [kernel.kallsyms]      [k] __schedule
     0.00%     0.00%  kworker/19:1-mm  [kernel.kallsyms]      [k] schedule
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] mmu_shrink_count
     0.00%     0.00%  kworker/24:1-ev  [kernel.kallsyms]      [k] soft_cursor
     0.00%     0.00%  kworker/24:1-ev  [kernel.kallsyms]      [k] bit_cursor
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafbc04
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]      [k] mpage_map_and_submit_extent
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee3d3f1
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] queued_write_lock_slowpath
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf75ae
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafd74e
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafd075
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf99b3
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafce3c
     0.00%     0.00%  kworker/20:1-ev  [kernel.kallsyms]      [k] __free_one_page
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2  [.] 0x00000000000249d9
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dac9011
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000002f9a3
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee25bab
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001b83b
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] asm_common_interrupt
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] common_interrupt
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2d346
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0db02806
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000132b6
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dbd6285
     0.00%     0.00%  memcached        memcached              [.] 0x000000000000b39d
     0.00%     0.00%  tuned            [kernel.kallsyms]      [k] wp_page_copy
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001b8f5
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001e10a
     0.00%     0.00%  memcached        memcached              [.] 0x000000000002055f
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000020570
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] xfs_reclaim_inodes_count
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000016f2e
     0.00%     0.00%  memcached        memcached              [.] 0x000000000000af3f
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dbd6224
     0.00%     0.00%  memcached        memcached              [.] 0x000000000000b0f0
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee36b09
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000002f9ac
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf7660
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dac9cb4
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] ixgbe_poll
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] __napi_poll
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0e46ed6f
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2  [.] 0x0000000000020512
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __block_write_begin_int
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee354fb
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf2728
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee36ef2
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] kthread_is_per_cpu
     0.00%     0.00%  memcached        libevent-2.1.so.6.0.2  [.] 0x000000000002f81b
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] timekeeping_adjust.constprop.0
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007ffcf24bd901
     0.00%     0.00%  kworker/0:2-eve  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath.part.0
     0.00%     0.00%  kworker/0:2-eve  [kernel.kallsyms]      [k] _raw_spin_lock
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000193d2
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001d9e1
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_da_get_block_prep
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001377a
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] __ghes_peek_estatus.isra.0
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] ghes_poll_func
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] ghes_proc
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000132c2
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf7aac
     0.00%     0.00%  memcached        [vdso]                 [.] 0x00000000000007fc
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0db760cf
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2d366
     0.00%     0.00%  memcached        [vdso]                 [.] 0x0000000000000916
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] acpi_os_read_memory
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] apei_read
     0.00%     0.00%  memcached        memcached              [.] 0x00000000000222e0
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] update_sg_lb_stats
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001ec94
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0db6c6be
     0.00%     0.00%  memcached        memcached              [.] 0x000000000000af3b
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee29dfc
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001cef1
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] _raw_spin_trylock
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] ext4_da_map_blocks.constprop.0
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dafeaa5
     0.00%     0.00%  memcached        memcached              [.] 0x000000000000b3a4
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001ba00
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] radix_tree_node_rcu_free
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2bd31
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf7a94
     0.00%     0.00%  memcached        [vdso]                 [.] 0x000000000000081c
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] mem_cgroup_update_tree
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf2700
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dacaa7d
     0.00%     0.00%  swapper          [kernel.kallsyms]      [k] next_zone
     0.00%     0.00%  memcached        memcached              [.] 0x0000000000019340
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] zs_page_migrate
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] __part_start_io_acct
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] __cond_resched
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007ffcf24bd90e
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] page_counter_cancel
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] page_counter_uncharge
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] create_page_chain
     0.00%     0.00%  tuned            [kernel.kallsyms]      [k] put_swap_page
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __free_one_page
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] free_pcppages_bulk
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] __isolate_lru_page_prepare
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] down_read_trylock
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] dqcache_shrink_count
     0.00%     0.00%  kworker/u64:37-  [kernel.kallsyms]      [k] page_lock_anon_vma_read
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] try_to_free_swap
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] swap_set_page_dirty
     0.00%     0.00%  tuned            [kernel.kallsyms]      [k] zs_unmap_object
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] split_page
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] xas_create_range
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] page_lock_anon_vma_read
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] x86_pmu_disable_all
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] workingset_eviction
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __frontswap_store
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] swap_writepage
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] ksm_migrate_page
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] native_flush_tlb_multi
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] native_send_call_func_ipi
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] memcg_to_vmpressure
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] native_send_call_func_single_ipi
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] _raw_read_lock
     0.00%     0.00%  tuned            [kernel.kallsyms]      [k] _raw_read_lock
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] check_pte
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] __mod_node_page_state
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] inc_node_page_state
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] mutex_spin_on_owner
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] __mutex_lock.constprop.0
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __isolate_lru_page_prepare
     0.00%     0.00%  tuned            [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] cgroup_file_notify
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] x86_pmu_disable_all
     0.00%     0.00%  tuned            [kernel.kallsyms]      [k] page_remove_rmap
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]      [k] __cond_resched
     0.00%     0.00%  kswapd0          [kernel.kallsyms]      [k] __mod_zone_page_state
     0.00%     0.00%  sshd             [kernel.kallsyms]      [k] __bitmap_and
     0.00%     0.00%  memtier_benchma  memtier_benchmark      [.] _ZdlPv@plt
     0.00%     0.00%  memcached        memcached              [.] 0x000000000001e11a
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] lzo1x_decompress_safe
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] __zram_bvec_read.constprop.0
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] bdev_read_page
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] lzorle_decompress
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] swap_readpage
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] zcomp_decompress
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]      [k] zram_rw_page
     0.00%     0.00%  kworker/5:1-eve  [kernel.kallsyms]      [k] __free_one_page
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2635f
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __irqentry_text_end
     0.00%     0.00%  kworker/u64:37-  [kernel.kallsyms]      [k] workingset_age_nonresident
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee44ad8
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0e46ed6c
     0.00%     0.00%  perf             [kernel.kallsyms]      [k] mem_cgroup_id_get_online
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2d2d1
     0.00%     0.00%  gmain            [kernel.kallsyms]      [k] asm_exc_page_fault
     0.00%     0.00%  gmain            [kernel.kallsyms]      [k] do_user_addr_fault
     0.00%     0.00%  gmain            [kernel.kallsyms]      [k] exc_page_fault
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee26cbe
     0.00%     0.00%  gmain            [kernel.kallsyms]      [k] __handle_mm_fault
     0.00%     0.00%  gmain            [kernel.kallsyms]      [k] handle_mm_fault
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __hrtimer_next_event_base
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee2abd7
     0.00%     0.00%  gmain            [kernel.kallsyms]      [k] do_swap_page
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0daf7410
     0.00%     0.00%  memtier_benchma  [unknown]              [.] 0x00007f2d0dbd629a
     0.00%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] count_shadow_nodes
     0.00%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_huge_zero_page_count
