# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 27742558279198
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
     2.09%     2.03%  memcached        [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath.part.0
     2.06%     0.06%  memcached        [kernel.kallsyms]      [k] __zram_bvec_read.constprop.0
     2.00%     2.00%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_cancel
     1.97%     1.63%  memtier_benchma  [kernel.kallsyms]      [k] drain_obj_stock
     1.94%     1.21%  memcached        [kernel.kallsyms]      [k] drain_obj_stock
     1.80%     0.01%  memcached        [kernel.kallsyms]      [k] pageout
     1.78%     0.42%  memcached        [kernel.kallsyms]      [k] asm_sysvec_call_function
     1.77%     0.01%  memcached        [kernel.kallsyms]      [k] zcomp_decompress
     1.76%     0.01%  memcached        [kernel.kallsyms]      [k] lzorle_decompress
     1.75%     1.67%  memcached        [kernel.kallsyms]      [k] lzo1x_decompress_safe
     1.71%     0.00%  memcached        [kernel.kallsyms]      [k] add_to_swap
     1.66%     0.00%  memcached        [kernel.kallsyms]      [k] __swap_writepage
     1.66%     0.01%  memcached        [kernel.kallsyms]      [k] kmalloc_reserve
     1.66%     0.00%  memcached        [kernel.kallsyms]      [k] bdev_write_page
     1.65%     0.49%  memcached        [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     1.61%     0.09%  memcached        [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     1.59%     0.41%  memcached        [kernel.kallsyms]      [k] try_charge_memcg
     1.56%     0.08%  memcached        [kernel.kallsyms]      [k] get_swap_page
     1.44%     0.15%  memcached        [kernel.kallsyms]      [k] __zram_bvec_write.constprop.0.isra.0
     1.36%     0.01%  memcached        [kernel.kallsyms]      [k] sysvec_call_function
     1.34%     0.02%  memcached        [kernel.kallsyms]      [k] page_counter_uncharge
     1.33%     0.39%  memcached        [kernel.kallsyms]      [k] flush_smp_call_function_queue
     1.32%     0.06%  memcached        [kernel.kallsyms]      [k] refill_stock
     1.27%     0.29%  memtier_benchma  [kernel.kallsyms]      [k] ep_send_events
     1.24%     0.01%  memcached        [kernel.kallsyms]      [k] __sysvec_call_function
     1.23%     0.01%  memcached        [kernel.kallsyms]      [k] drain_stock
     1.21%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] ttwu_do_activate
     1.20%     0.04%  memcached        [kernel.kallsyms]      [k] ttwu_do_activate
     1.20%     0.21%  memcached        [kernel.kallsyms]      [k] ep_send_events
     1.17%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] enqueue_task_fair
     1.16%     0.52%  memcached        [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     1.16%     0.35%  memcached        [kernel.kallsyms]      [k] enqueue_task_fair
     1.12%     0.06%  memcached        [kernel.kallsyms]      [k] _raw_spin_lock_irq
     1.11%     0.01%  memcached        [kernel.kallsyms]      [k] wp_page_copy
     1.11%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     1.10%     0.72%  memcached        [kernel.kallsyms]      [k] finish_task_switch.isra.0
     1.06%     0.14%  swapper          [kernel.kallsyms]      [k] tick_nohz_get_sleep_length
     1.01%     0.65%  memtier_benchma  [kernel.kallsyms]      [k] finish_task_switch.isra.0
     1.01%     0.04%  memcached        [kernel.kallsyms]      [k] rmap_walk_anon
     0.96%     0.35%  memcached        [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.92%     0.07%  memcached        [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.91%     0.45%  memcached        [kernel.kallsyms]      [k] _raw_spin_lock
     0.90%     0.90%  memcached        libpthread-2.28.so     [.] __pthread_mutex_lock
     0.87%     0.87%  memtier_benchma  [unknown]              [.] 0x00007f2d0ee38aab
     0.86%     0.03%  memcached        [kernel.kallsyms]      [k] mem_cgroup_try_charge_swap
     0.82%     0.00%  memcached        [kernel.kallsyms]      [k] lzorle_compress
     0.81%     0.02%  memcached        [kernel.kallsyms]      [k] lzogeneric1x_1_compress
     0.81%     0.30%  memtier_benchma  [kernel.kallsyms]      [k] enqueue_entity
     0.80%     0.07%  swapper          [kernel.kallsyms]      [k] pick_next_task_fair
     0.80%     0.33%  memcached        [kernel.kallsyms]      [k] enqueue_entity
     0.76%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] syscall_exit_work
     0.76%     0.01%  memcached        [kernel.kallsyms]      [k] shrink_active_list
     0.74%     0.26%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_free
     0.73%     0.73%  memcached        [kernel.kallsyms]      [k] page_counter_cancel
     0.72%     0.00%  memcached        [kernel.kallsyms]      [k] __swap_entry_free
     0.70%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_task_fair
     0.69%     0.69%  memcached        memcached              [.] 0x000000000001d9bd
     0.68%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] kmalloc_reserve
     0.68%     0.01%  memcached        [kernel.kallsyms]      [k] free_swap_slot
     0.68%     0.68%  memcached        [kernel.kallsyms]      [k] propagate_protected_usage
     0.67%     0.09%  memcached        [kernel.kallsyms]      [k] dequeue_task_fair
     0.67%     0.35%  memtier_benchma  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     0.67%     0.01%  memcached        [kernel.kallsyms]      [k] swapcache_free_entries
     0.67%     0.53%  memcached        [kernel.kallsyms]      [k] lzo1x_1_do_compress
     0.66%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_ctl
     0.64%     0.01%  memcached        [kernel.kallsyms]      [k] page_referenced
     0.63%     0.53%  swapper          [kernel.kallsyms]      [k] switch_mm_irqs_off
     0.63%     0.34%  memtier_benchma  [kernel.kallsyms]      [k] __audit_syscall_exit
     0.63%     0.49%  memcached        [kernel.kallsyms]      [k] flush_tlb_func
     0.62%     0.00%  memcached        [kernel.kallsyms]      [k] cgroup_file_notify
     0.62%     0.00%  memcached        [kernel.kallsyms]      [k] ptep_clear_flush
     0.62%     0.02%  memcached        [kernel.kallsyms]      [k] flush_tlb_mm_range
     0.61%     0.11%  memcached        [kernel.kallsyms]      [k] syscall_exit_work
     0.61%     0.60%  memtier_benchma  [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     0.60%     0.60%  memcached        [kernel.kallsyms]      [k] __default_send_IPI_dest_field
     0.60%     0.00%  memcached        [kernel.kallsyms]      [k] get_swap_pages
     0.59%     0.36%  swapper          [kernel.kallsyms]      [k] __switch_to
     0.59%     0.43%  memcached        [kernel.kallsyms]      [k] kmem_cache_free
     0.59%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_entity
     0.58%     0.49%  memcached        [kernel.kallsyms]      [k] scan_swap_map_slots
     0.58%     0.11%  swapper          [kernel.kallsyms]      [k] tick_nohz_idle_enter
     0.57%     0.02%  memcached        [kernel.kallsyms]      [k] default_send_IPI_mask_sequence_phys
     0.57%     0.57%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_generic_string
     0.57%     0.07%  memcached        [kernel.kallsyms]      [k] dequeue_entity
     0.55%     0.43%  memcached        [kernel.kallsyms]      [k] page_counter_try_charge
     0.53%     0.26%  memcached        [kernel.kallsyms]      [k] __switch_to
     0.53%     0.23%  memcached        [kernel.kallsyms]      [k] select_task_rq_fair
     0.52%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] select_task_rq_fair
     0.51%     0.04%  memcached        [kernel.kallsyms]      [k] shrink_slab_memcg
     0.51%     0.09%  swapper          [kernel.kallsyms]      [k] tick_nohz_next_event
