# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 266K of event 'cycles'
# Event count (approx.): 5333163077093
#
# Children      Self  Command          Shared Object                       Symbol                                          
# ........  ........  ...............  ..................................  ................................................
#
     0.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.36%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.35%     0.31%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.35%     0.04%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.35%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.35%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.35%     0.02%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.35%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.35%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.34%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.34%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.34%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.34%     0.00%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.34%     0.32%  kswapd1          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.34%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.34%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.33%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.33%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.33%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.32%     0.15%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.32%     0.02%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.32%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.32%     0.15%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.32%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.31%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.31%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.31%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.30%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.30%     0.07%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.30%     0.03%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.29%     0.03%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.29%     0.00%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.28%     0.12%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.28%     0.13%  swapper          [kernel.kallsyms]                   [k] set_next_entity
     0.28%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.28%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.28%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.27%     0.09%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.27%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.27%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.26%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.26%     0.23%  kswapd0          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.25%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.25%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_cache_delete
     0.25%     0.15%  swapper          [kernel.kallsyms]                   [k] update_load_avg
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.25%     0.05%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.25%     0.03%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.24%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.24%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.24%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.23%     0.23%  Native-Transpor  [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.23%     0.15%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.22%     0.22%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.22%     0.10%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_sleeper_start_expires
     0.22%     0.02%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.21%     0.05%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.21%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.21%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.21%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.21%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.21%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_start_range_ns
     0.20%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.20%     0.18%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] alloc_pages
     0.20%     0.18%  kswapd1          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.20%     0.01%  kswapd1          [kernel.kallsyms]                   [k] xas_store
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __alloc_pages
     0.20%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.20%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_softirq
     0.20%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.19%     0.19%  swapper          [kernel.kallsyms]                   [k] __switch_to_asm
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.19%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] common_interrupt
     0.19%     0.05%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.19%     0.18%  Native-Transpor  [kernel.kallsyms]                   [k] xas_load
     0.19%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __common_interrupt
     0.19%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] net_rx_action
     0.19%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_edge_irq
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __napi_poll
     0.18%     0.07%  NonPeriodicTask  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.18%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.18%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.18%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_da_write_begin
     0.18%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.18%     0.14%  swapper          [kernel.kallsyms]                   [k] _raw_spin_lock
     0.18%     0.18%  kswapd1          [kernel.kallsyms]                   [k] xas_create
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] process_backlog
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] simple_copy_to_iter
     0.18%     0.17%  epollEventLoopG  [kernel.kallsyms]                   [k] clear_page_erms
     0.18%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __pagevec_release
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_irq_event
     0.18%     0.03%  swapper          [kernel.kallsyms]                   [k] tick_nohz_next_event
     0.18%     0.07%  swapper          [kernel.kallsyms]                   [k] tick_nohz_idle_exit
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     0.17%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     0.17%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.17%     0.01%  swapper          [kernel.kallsyms]                   [k] irq_exit_rcu
     0.17%     0.05%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_irq
     0.17%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_process_cq
     0.16%     0.16%  cluster1-nio-wo  [kernel.kallsyms]                   [k] copy_user_enhanced_fast_string
     0.16%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_rcv
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_finish_plug
     0.16%     0.12%  NonPeriodicTask  [kernel.kallsyms]                   [k] xas_find
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.16%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wake
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.16%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver
