# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11829649677068
#
# Children      Self  Command          Shared Object      Symbol                                               
# ........  ........  ...............  .................  .....................................................
#
     0.85%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.85%     0.84%  LocalJobRunner   [kernel.kallsyms]  [k] sync_regs
     0.84%     0.00%  java             [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
     0.84%     0.84%  LocalJobRunner   libc.so.6          [.] 0x00000000001b2eae
     0.84%     0.63%  Sampler Reader   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.83%     0.06%  InMemoryMerger   [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.82%     0.00%  java             [kernel.kallsyms]  [k] try_to_migrate
     0.82%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_end
     0.79%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] generic_write_end
     0.79%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     0.79%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     0.79%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     0.79%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     0.79%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     0.79%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     0.79%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     0.76%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     0.75%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     0.75%     0.00%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     0.75%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     0.73%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages
     0.72%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __page_cache_alloc
     0.70%     0.06%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.69%     0.00%  VM Thread        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.69%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_syscall_64
     0.68%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     0.68%     0.10%  java             [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.67%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.66%     0.49%  localfetcher#1   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.66%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages_vma
     0.65%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add
     0.65%     0.49%  InMemoryMerger   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.64%     0.07%  localfetcher#1   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.64%     0.16%  java             [kernel.kallsyms]  [k] try_to_migrate_one
     0.64%     0.01%  java             [kernel.kallsyms]  [k] __x64_sys_sched_yield
     0.63%     0.00%  VM Thread        [kernel.kallsyms]  [k] __x64_sys_mmap
     0.63%     0.00%  VM Thread        [kernel.kallsyms]  [k] ksys_mmap_pgoff
     0.63%     0.00%  VM Thread        [kernel.kallsyms]  [k] vm_mmap_pgoff
     0.63%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_mmap
     0.63%     0.00%  VM Thread        [kernel.kallsyms]  [k] mmap_region
     0.63%     0.00%  VM Thread        [kernel.kallsyms]  [k] __do_munmap
     0.63%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_region
     0.62%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.62%     0.11%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_single_vma
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_vmas
     0.61%     0.10%  VM Thread        [kernel.kallsyms]  [k] unmap_page_range
     0.61%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.61%     0.02%  java             [kernel.kallsyms]  [k] do_sched_yield
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] kthread
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] ret_from_fork
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] worker_thread
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] process_one_work
     0.59%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.59%     0.06%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] wb_workfn
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] wb_writeback
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __writeback_single_inode
     0.59%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] do_writepages
     0.59%     0.03%  kworker/u97:12-  [kernel.kallsyms]  [k] ext4_writepages
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] kthread
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] ret_from_fork
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] worker_thread
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] process_one_work
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] wb_workfn
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] wb_writeback
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __writeback_single_inode
     0.58%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] do_writepages
     0.58%     0.04%  kworker/u98:2-e  [kernel.kallsyms]  [k] ext4_writepages
     0.57%     0.06%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.57%     0.01%  java             [kernel.kallsyms]  [k] schedule
     0.56%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] worker_thread
     0.56%     0.00%  kworker/u96:1    [kernel.kallsyms]  [k] kthread
