# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11829649677068
#
# Children      Self  Command          Shared Object      Symbol                                               
# ........  ........  ...............  .................  .....................................................
#
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] try_module_get
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_openat
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_filp_open
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_sys_openat2
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] path_openat
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_open
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1667     [.] 0x00007f17bd0523c2
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] path_put
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] fput_many.part.0
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] hid_close_report
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1473     [.] 0x00007f34256cc667
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] fill_pte
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 1881     [.] 0x00007f9355eba1b6
     0.00%     0.00%  migration/1      [kernel.kallsyms]  [k] detach_entity_cfs_rq
     0.00%     0.00%  migration/1      [kernel.kallsyms]  [k] propagate_entity_cfs_rq
     0.00%     0.00%  (spawn)          [kernel.kallsyms]  [k] do_filp_open
     0.00%     0.00%  (spawn)          [kernel.kallsyms]  [k] path_openat
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] __page_set_anon_rmap
     0.00%     0.00%  migration/46     [kernel.kallsyms]  [k] move_queued_task
     0.00%     0.00%  java             libc.so.6          [.] 0x00000000001b28bd
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] hid_add_device
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] hid_device_probe
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] hid_generic_probe
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] usb_probe_interface
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] usbhid_probe
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1667     [.] 0x00007f17bd856318
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] cpuacct_charge
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __virt_addr_valid
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] free_unref_page
     0.00%     0.00%  kworker/47:1-ev  [kernel.kallsyms]  [k] fold_diff
     0.00%     0.00%  (spawn)          [kernel.kallsyms]  [k] fput
     0.00%     0.00%  (spawn)          [kernel.kallsyms]  [k] __x64_sys_close
     0.00%     0.00%  (spawn)          [kernel.kallsyms]  [k] close_fd
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] psi_task_change
     0.00%     0.00%  C2 CompilerThre  libc.so.6          [.] pthread_cond_signal
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] dequeue_task
     0.00%     0.00%  Thread-5         [JIT] tid 1881     [.] 0x00007f9355afb2ac
     0.00%     0.00%  kworker/26:1-ev  [kernel.kallsyms]  [k] drm_gem_vram_vmap
     0.00%     0.00%  kworker/26:1-ev  [kernel.kallsyms]  [k] drm_client_buffer_vmap
     0.00%     0.00%  kworker/26:1-ev  [kernel.kallsyms]  [k] drm_fb_helper_damage_work
     0.00%     0.00%  kworker/26:1-ev  [kernel.kallsyms]  [k] drm_gem_vmap
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] task_numa_find_cpu
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] taskstats_exit
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]  [k] strnlen
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] put_prev_task_fair
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 2067     [.] 0x00007f43710fba3b
     0.00%     0.00%  C2 CompilerThre  libjvm.so          [.] 0x000000000064085d
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] __free_pages
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1747     [.] 0x00007f7f0d58c153
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]  [k] __queue_delayed_work
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]  [k] add_timer_on
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]  [k] queue_delayed_work_on
     0.00%     0.00%  kworker/42:1-ev  [kernel.kallsyms]  [k] refresh_cpu_vm_stats
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1442     [.] 0x00007ff2215868dd
     0.00%     0.00%  python3          [kernel.kallsyms]  [k] xas_find
     0.00%     0.00%  python3          [kernel.kallsyms]  [k] xas_load
     0.00%     0.00%  migration/17     [kernel.kallsyms]  [k] detach_entity_cfs_rq
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] sync_mm_rss
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1667     [.] 0x00007f17bd052416
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] irq_work_run_list
     0.00%     0.00%  java             [kernel.kallsyms]  [k] acpi_ev_fixed_event_detect
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] get_unmapped_area
     0.00%     0.00%  VM Thread        libjvm.so          [.] 0x0000000000633785
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] __unqueue_futex
     0.00%     0.00%  migration/18     [kernel.kallsyms]  [k] __schedule
     0.00%     0.00%  kworker/15:1-ev  [kernel.kallsyms]  [k] free_work
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] llist_add_batch
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] get_orlov_stats
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] find_group_orlov
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] irqentry_exit
     0.00%     0.00%  EventFetcher fo  [kernel.kallsyms]  [k] handle_mm_fault
     0.00%     0.00%  (spawn)          [kernel.kallsyms]  [k] path_init
     0.00%     0.00%  (spawn)          [kernel.kallsyms]  [k] __x64_sys_openat
     0.00%     0.00%  (spawn)          [kernel.kallsyms]  [k] do_sys_openat2
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]  [k] ___slab_alloc
     0.00%     0.00%  kworker/4:1-eve  [kernel.kallsyms]  [k] free_work
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] intel_cpufreq_fast_switch
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] cpufreq_driver_fast_switch
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] errseq_sample
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] domain_dirty_limits
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] crc_72
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] cpus_share_cache
     0.00%     0.00%  kworker/25:2-mm  [kernel.kallsyms]  [k] psi_avgs_work
     0.00%     0.00%  migration/38     [kernel.kallsyms]  [k] rcu_dynticks_inc
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] __wrgsbase_inactive
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 2067     [.] 0x00007f4371052410
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]  [k] worker_enter_idle
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __ghes_peek_estatus.isra.0
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] __get_vma_policy
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] __dev_queue_xmit
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] __ip_finish_output
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] __ip_queue_xmit
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] __tcp_push_pending_frames
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] __x64_sys_write
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] dev_queue_xmit
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] inet_sendmsg
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] ip_finish_output
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] ip_finish_output2
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] ip_local_out
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] ip_output
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] ip_queue_xmit
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] ksys_write
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] new_sync_write
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] sock_sendmsg
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] sock_write_iter
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] tcp_push
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] tcp_sendmsg
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] tcp_write_xmit
     0.00%     0.00%  sshd             [kernel.kallsyms]  [k] vfs_write
     0.00%     0.00%  Finalizer        [kernel.kallsyms]  [k] pick_next_task_fair
     0.00%     0.00%  migration/21     [kernel.kallsyms]  [k] __migrate_swap_task.part.0
     0.00%     0.00%  java             [kernel.kallsyms]  [k] __netif_schedule
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2196     [.] 0x00007f14d5052416
     0.00%     0.00%  java             [kernel.kallsyms]  [k] __mutex_init
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1747     [.] 0x00007f7f0d58c182
     0.00%     0.00%  process reaper   [kernel.kallsyms]  [k] do_futex
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] x2apic_send_IPI
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] __mem_cgroup_threshold
     0.00%     0.00%  kworker/33:1H    [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  kworker/33:1H    [kernel.kallsyms]  [k] process_one_work
     0.00%     0.00%  kworker/33:1H    [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  kworker/33:1H    [kernel.kallsyms]  [k] worker_thread
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] security_mmap_file
     0.00%     0.00%  kworker/40:1-ev  [kernel.kallsyms]  [k] enqueue_timer
     0.00%     0.00%  kworker/44:1-mm  [kernel.kallsyms]  [k] collect_percpu_times
     0.00%     0.00%  snapd            [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] __wrgsbase_inactive
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] acpi_ex_allocate_name_string
     0.00%     0.00%  kworker/17:1-ev  [kernel.kallsyms]  [k] kthread_data
     0.00%     0.00%  kworker/17:1-ev  [kernel.kallsyms]  [k] wq_worker_running
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] strlen
     0.00%     0.00%  migration/29     [kernel.kallsyms]  [k] __schedule
     0.00%     0.00%  migration/46     [kernel.kallsyms]  [k] pick_next_task_dl
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]  [k] lru_gen_add_page
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]  [k] __pagevec_lru_add
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]  [k] lru_cache_add
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 1881     [.] 0x00007f9355e96912
     0.00%     0.00%  migration/32     [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  migration/32     [kernel.kallsyms]  [k] balance_fair
     0.00%     0.00%  migration/32     [kernel.kallsyms]  [k] find_busiest_group
     0.00%     0.00%  migration/32     [kernel.kallsyms]  [k] load_balance
     0.00%     0.00%  migration/32     [kernel.kallsyms]  [k] newidle_balance
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] page_referenced_one
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] rmap_walk
     0.00%     0.00%  kswapd1          [kernel.kallsyms]  [k] rmap_walk_file
     0.00%     0.00%  migration/10     [kernel.kallsyms]  [k] __migrate_swap_task.part.0
     0.00%     0.00%  migration/10     [kernel.kallsyms]  [k] migrate_swap_stop
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]  [k] iterate_groups
     0.00%     0.00%  kworker/0:3-eve  [kernel.kallsyms]  [k] acpi_ps_cleanup_scope
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] ktime_get
     0.00%     0.00%  kworker/17:1-ev  [kernel.kallsyms]  [k] __switch_to
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2196     [.] 0x00007f14d5013563
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] string
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] add_uevent_var
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] kobject_uevent
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] kobject_uevent_env
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] vsnprintf
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%     0.00%  systemd-logind   [kernel.kallsyms]  [k] do_syscall_64
     0.00%     0.00%  systemd-logind   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  kworker/14:1-ev  [kernel.kallsyms]  [k] fold_diff
     0.00%     0.00%  kworker/14:1-ev  [kernel.kallsyms]  [k] __vunmap
     0.00%     0.00%  kworker/14:1-ev  [kernel.kallsyms]  [k] free_work
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 1473     [.] 0x00007f3425ecc4c1
     0.00%     0.00%  migration/15     [kernel.kallsyms]  [k] psi_task_change
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] profile_task_exit
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] set_next_entity
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] pick_next_entity
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1970     [.] 0x00007fb125052422
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 2067     [.] 0x00007f4371ed4041
     0.00%     0.00%  java             [kernel.kallsyms]  [k] __rb_insert_augmented
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 2101     [.] 0x00007f634dece95c
     0.00%     0.00%  kworker/42:1-ev  [kernel.kallsyms]  [k] __vunmap
     0.00%     0.00%  kworker/42:1-ev  [kernel.kallsyms]  [k] free_work
     0.00%     0.00%  java             [kernel.kallsyms]  [k] end_buffer_read_sync
     0.00%     0.00%  kworker/19:1-ev  [kernel.kallsyms]  [k] psi_group_change
     0.00%     0.00%  kworker/19:1-ev  [kernel.kallsyms]  [k] psi_task_switch
     0.00%     0.00%  kworker/35:2-ev  [kernel.kallsyms]  [k] vmstat_update
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] rwsem_mark_wake
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] pfn_pte
     0.00%     0.00%  VM Thread        libjvm.so          [.] 0x00000000009de133
     0.00%     0.00%  migration/21     [kernel.kallsyms]  [k] dequeue_task
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2288     [.] 0x00007fd739482c0e
     0.00%     0.00%  Thread-5         [kernel.kallsyms]  [k] select_task_rq_fair
     0.00%     0.00%  kworker/25:2-mm  [kernel.kallsyms]  [k] collect_percpu_times
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] cpu_stop_queue_work
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2101     [.] 0x00007f634d42e655
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 1881     [.] 0x00007f93550523d7
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] update_curr
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] dequeue_entity
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] dequeue_task_fair
     0.00%     0.00%  migration/21     [kernel.kallsyms]  [k] update_rq_clock
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] pmd_page_vaddr
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_open
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_fname_setup_ci_filename
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] vmacache_update
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] ___slab_alloc
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] task_numa_find_cpu
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] task_numa_migrate.isra.0
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] fprop_new_period
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1571     [.] 0x00007fcfd10006f7
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2067     [.] 0x00007f43710008b8
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2101     [.] 0x00007f634d440dcc
     0.00%     0.00%  java             libc.so.6          [.] read
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 1571     [.] 0x00007fcfd1f5e4d3
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1442     [.] 0x00007ff221586a8d
     0.00%     0.00%  C2 CompilerThre  libjvm.so          [.] 0x00000000009d1bcc
     0.00%     0.00%  kworker/5:2-mm_  [kernel.kallsyms]  [k] update_curr
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] handle_dots.part.0
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 2101     [.] 0x00007f634decf824
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] calc_global_load_tick
     0.00%     0.00%  fido_id          [kernel.kallsyms]  [k] lock_page_memcg
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] crc_16
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_extent_block_csum_set
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2196     [.] 0x00007f14d5025a7a
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 1473     [.] 0x00007f3425c1dcd5
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] pick_next_entity
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1881     [.] 0x00007f9355443b8b
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] __pte_alloc
     0.00%     0.00%  kworker/4:1-eve  [kernel.kallsyms]  [k] __vunmap
     0.00%     0.00%  kworker/4:1-eve  [kernel.kallsyms]  [k] remove_vm_area
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] __vunmap
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] free_work
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]  [k] ext4_writepage_trans_blocks
     0.00%     0.00%  migration/10     [kernel.kallsyms]  [k] set_task_cpu
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] __radix_tree_lookup
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]  [k] radix_tree_lookup
     0.00%     0.00%  Sampler Reader   [JIT] tid 2196     [.] 0x00007f14d570ec38
     0.00%     0.00%  kworker/33:1H    [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] __common_interrupt
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] handle_irq_event
     0.00%     0.00%  migration/30     [kernel.kallsyms]  [k] stop_machine_yield
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2288     [.] 0x00007fd739482aa8
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] ext4_get_reserved_space
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] switch_ldt
     0.00%     0.00%  migration/19     [kernel.kallsyms]  [k] stop_machine_yield
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] rwsem_wake.isra.0
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] up_write
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] arch_local_irq_disable
     0.00%     0.00%  migration/29     [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  pool-4-thread-1  [JIT] tid 1881     [.] 0x00007f9355eb9e04
     0.00%     0.00%  migration/23     [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  VM Thread        libjvm.so          [.] 0x0000000000658e68
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] __queue_work
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] __pm_runtime_set_status
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] device_pm_remove
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] pm_runtime_remove
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] queue_work_on
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] rpm_idle
     0.00%     0.00%  java             [kernel.kallsyms]  [k] perf_iterate_sb
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1970     [.] 0x00007fb125a7b9c8
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] collect_percpu_times
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] get_nr_dirty_inodes
     0.00%     0.00%  Thread-5         [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]  [k] native_smp_send_reschedule
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] from_kgid_munged
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] __scsi_execute
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] disk_check_events
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] disk_events_workfn
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] scsi_test_unit_ready
     0.00%     0.00%  kworker/u97:13-  [kernel.kallsyms]  [k] sd_check_events
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] irq_work_tick
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2288     [.] 0x00007fd739052444
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] rw_verify_area
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] security_file_permission
     0.00%     0.00%  java             [JIT] tid 1970     [.] 0x00007fb12505281b
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] filename_parentat
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] path_parentat
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] exit_signals
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]  [k] copy_page
     0.00%     0.00%  java             [kernel.kallsyms]  [k] lookup_dcache
     0.00%     0.00%  java             [kernel.kallsyms]  [k] __lookup_hash
     0.00%     0.00%  java             [kernel.kallsyms]  [k] filename_create
     0.00%     0.00%  SpillThread      [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.00%     0.00%  migration/10     [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.00%     0.00%  java             libjvm.so          [.] 0x00000000002e9693
     0.00%     0.00%  kworker/19:1-ev  [kernel.kallsyms]  [k] calc_wheel_index
     0.00%     0.00%  kworker/19:1-ev  [kernel.kallsyms]  [k] add_timer
     0.00%     0.00%  migration/25     [kernel.kallsyms]  [k] __migrate_swap_task.part.0
     0.00%     0.00%  migration/25     [kernel.kallsyms]  [k] migrate_swap_stop
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] kernfs_evict_inode
     0.00%     0.00%  migration/33     [kernel.kallsyms]  [k] enqueue_task
     0.00%     0.00%  java             [kernel.kallsyms]  [k] yama_ptracer_del
     0.00%     0.00%  kworker/33:2-ev  [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] __x64_sys_symlink
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] do_symlinkat
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] shmem_symlink
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]  [k] vfs_symlink
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] blk_stat_timer_fn
     0.00%     0.00%  java             [kernel.kallsyms]  [k] mempool_free_slab
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] native_read_msr
     0.00%     0.00%  multipathd       [kernel.kallsyms]  [k] try_to_wake_up
     0.00%     0.00%  multipathd       [kernel.kallsyms]  [k] wake_up_q
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1667     [.] 0x00007f17bd052460
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]  [k] __kmalloc
     0.00%     0.00%  kworker/30:2-mm  [kernel.kallsyms]  [k] refresh_cpu_vm_stats
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] __x64_sys_prctl
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __virt_addr_valid
     0.00%     0.00%  migration/21     [kernel.kallsyms]  [k] update_cfs_group
     0.00%     0.00%  migration/21     [kernel.kallsyms]  [k] dequeue_task_fair
     0.00%     0.00%  localfetcher#1   [JIT] tid 2196     [.] 0x00007f14d506e7ea
     0.00%     0.00%  migration/28     [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  communication t  [kernel.kallsyms]  [k] save_fpregs_to_fpstate
     0.00%     0.00%  fido_id          [kernel.kallsyms]  [k] errseq_sample
     0.00%     0.00%  fido_id          [kernel.kallsyms]  [k] vfs_open
     0.00%     0.00%  java             [kernel.kallsyms]  [k] task_scan_max
     0.00%     0.00%  VM Thread        [kernel.kallsyms]  [k] load_new_mm_cr3
     0.00%     0.00%  VM Thread        libjvm.so          [.] 0x0000000000456370
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] kernfs_create_link
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] sysfs_create_link
     0.00%     0.00%  kworker/8:2-eve  [kernel.kallsyms]  [k] sysfs_do_create_link_sd
     0.00%     0.00%  kworker/36:1-mm  [kernel.kallsyms]  [k] schedule
