# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.00%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] save_fpregs_to_fpstate
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595890e6
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] do_nocb_deferred_wakeup.isra.0
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] guard_bio_eod
     0.00%     0.00%  GC Thread#19     libjvm.so                                  [.] _ZN24HeapRegionRemSetIterator8has_nextERm
     0.00%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] detach_entity_cfs_rq
     0.00%     0.00%  GC Thread#5      libjvm.so                                  [.] _ZN16GenericTaskQueueI16G1TaskQueueEntryL10MemoryType5ELj131072EE9pop_localERVS0_j.constprop.442
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594d8f0c
     0.00%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] __queue_work
     0.00%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] __run_timers.part.0
     0.00%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] call_timer_fn
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] raw_spin_rq_lock_nested
     0.00%     0.00%  Finalizer        libjvm.so                                  [.] _ZN13ObjectMonitor7TrySpinEP6Thread.part.77
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953c1da
     0.00%     0.00%  Executor task l  libpthread-2.28.so                         [.] __lll_unlock_wake
     0.00%     0.00%  G1 Refine#17     [kernel.kallsyms]                          [k] call_timer_fn
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58a57147
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] rcu_all_qs
     0.00%     0.00%  Finalizer        [kernel.kallsyms]                          [k] account_user_time
     0.00%     0.00%  chronyd          [kernel.kallsyms]                          [k] __schedule
     0.00%     0.00%  chronyd          [kernel.kallsyms]                          [k] schedule
     0.00%     0.00%  chronyd          [kernel.kallsyms]                          [k] schedule_hrtimeout_range_clock
     0.00%     0.00%  G1 Refine#18     libjvm.so                                  [.] _ZN2os13PlatformEvent4parkEv
     0.00%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] perf_swevent_start
     0.00%     0.00%  GC Thread#16     libjvm.so                                  [.] _ZN16GenericTaskQueueI8StarTaskL10MemoryType5ELj131072EE10pop_globalERVS0_
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] _raw_spin_lock_irq
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] select_idle_sibling
     0.00%     0.00%  ksoftirqd/15     [kernel.kallsyms]                          [k] dequeue_task_fair
     0.00%     0.00%  ksoftirqd/15     [kernel.kallsyms]                          [k] __schedule
     0.00%     0.00%  ksoftirqd/15     [kernel.kallsyms]                          [k] schedule
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953c0d9
     0.00%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] switch_fpu_return
     0.00%     0.00%  G1 Refine#17     [kernel.kallsyms]                          [k] hrtimer_forward
     0.00%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] native_set_fixmap
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] native_iret
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] _find_next_bit
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] cpumask_next_and
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] inet_sendmsg
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]                          [k] account_user_time
     0.00%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] exit_to_user_mode_loop
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] __switch_to_asm
     0.00%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] ghes_copy_tofrom_phys
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]                          [k] __mod_lruvec_page_state
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]                          [k] page_add_new_anon_rmap
     0.00%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] rcu_cblist_dequeue
     0.00%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] update_rt_rq_load_avg
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] __next_timer_interrupt
     0.00%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] update_group_capacity
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] __block_commit_write.constprop.0.isra.0
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] mark_buffer_dirty
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] ixgbe_features_check
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] netif_skb_features
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5868eaa7
     0.00%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] refill_obj_stock
     0.00%     0.00%  refresh progres  [kernel.kallsyms]                          [k] select_idle_sibling
     0.00%     0.00%  G1 Refine#15     [kernel.kallsyms]                          [k] sched_ttwu_pending
     0.00%     0.00%  kworker/u64:0    [kernel.kallsyms]                          [k] __schedule
     0.00%     0.00%  G1 Refine#18     [kernel.kallsyms]                          [k] rcu_cblist_dequeue
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59588de7
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9826
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58d61019
     0.00%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] update_fast_timekeeper
     0.00%     0.00%  G1 Refine#12     libjvm.so                                  [.] _ZN7Monitor28lock_without_safepoint_checkEv
     0.00%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] nohz_balance_exit_idle
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] perf_swevent_stop
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58d2274f
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] hrtimer_run_queues
     0.00%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] syscall_trace_enter.constprop.0
     0.00%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] acpi_os_read_memory
     0.00%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] apei_read
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] path_put
     0.00%     0.00%  kworker/0:2-mm_  [kernel.kallsyms]                          [k] __mod_timer
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] flush_smp_call_function_queue
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] __sysvec_call_function
     0.00%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] _raw_spin_lock_irq
     0.00%     0.00%  GC Thread#1      [kernel.kallsyms]                          [k] rcu_qs
     0.00%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] ip_rcv
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594cd1b9
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] __queue_work
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59530dec
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc587c0edf
     0.00%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] obj_cgroup_uncharge_pages
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] save_fpregs_to_fpstate
     0.00%     0.00%  kworker/26:1-mm  [kernel.kallsyms]                          [k] __schedule
     0.00%     0.00%  kworker/26:1-mm  [kernel.kallsyms]                          [k] schedule
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5868e402
     0.00%     0.00%  migration/25     [kernel.kallsyms]                          [k] __schedule
     0.00%     0.00%  migration/25     [kernel.kallsyms]                          [k] schedule
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] __audit_syscall_entry
     0.00%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] __bitmap_and
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] acct_account_cputime
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58721220
     0.00%     0.00%  G1 Refine#17     [kernel.kallsyms]                          [k] error_return
     0.00%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] raise_softirq
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] perf_swevent_start
     0.00%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] __audit_syscall_exit
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] __lock_text_start
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] migrate_task_rq_fair
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] set_task_cpu
     0.00%     0.00%  dispatcher-even  [kernel.kallsyms]                          [k] check_preempt_curr
     0.00%     0.00%  dispatcher-even  [kernel.kallsyms]                          [k] ttwu_do_wakeup
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594ed5fd
     0.00%     0.00%  G1 Conc#0        libjvm.so                                  [.] _ZN21G1CMObjArrayProcessor13process_sliceEP8HeapWord
     0.00%     0.00%  G1 Refine#17     libjvm.so                                  [.] _ZN7Monitor28lock_without_safepoint_checkEv
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] check_preempt_curr
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] ttwu_do_wakeup
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] group_balance_cpu
     0.00%     0.00%  G1 Refine#10     [kernel.kallsyms]                          [k] can_migrate_task
     0.00%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] hrtimer_run_queues
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] __build_skb
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] build_skb
     0.00%     0.00%  G1 Refine#14     libjvm.so                                  [.] _ZN7Monitor5IWaitEP6Threadl
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] prep_compound_page
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58b40f64
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] __ext4_journal_stop
     0.00%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] calc_global_load
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] __percpu_counter_sum
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] fprop_new_period
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] writeout_period
     0.00%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] __next_timer_interrupt
     0.00%     0.00%  G1 Refine#4      [kernel.kallsyms]                          [k] net_rx_action
     0.00%     0.00%  RemoteBlock-tem  [kernel.kallsyms]                          [k] update_load_avg
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] __handle_mm_fault
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] alloc_pages_vma
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] do_anonymous_page
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] handle_mm_fault
     0.00%     0.00%  G1 Refine#18     [kernel.kallsyms]                          [k] _raw_spin_trylock
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] mark_wake_futex
     0.00%     0.00%  top              ld-2.28.so                                 [.] _dl_relocate_object
     0.00%     0.00%  G1 Refine#22     [kernel.kallsyms]                          [k] ttwu_do_activate
     0.00%     0.00%  G1 Refine#22     [kernel.kallsyms]                          [k] pick_next_entity
     0.00%     0.00%  perf             [kernel.kallsyms]                          [k] release_pages
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] kthread_is_per_cpu
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] is_cpu_allowed
     0.00%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] kfree
     0.00%     0.00%  dag-scheduler-e  [kernel.kallsyms]                          [k] irqtime_account_process_tick
     0.00%     0.00%  G1 Refine#18     [kernel.kallsyms]                          [k] update_rq_clock
     0.00%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] select_task_rq_fair
     0.00%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] __bitmap_and
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58d311ec
     0.00%     0.00%  GC Thread#19     libjvm.so                                  [.] _ZN2os15elapsed_counterEv
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b96d1
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] switch_fpu_return
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] cgroup_rstat_updated
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] ip_rcv_finish_core.constprop.0
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] invoke_rcu_core.part.0
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9bda
     0.00%     0.00%  G1 Refine#19     [kernel.kallsyms]                          [k] update_fast_timekeeper
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] __netif_receive_skb_core
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] __netif_receive_skb_list
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] __netif_receive_skb_list_core
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] ip_local_deliver_finish
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] ip_protocol_deliver_rcu
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] napi_complete_done
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] netif_receive_skb_list_internal
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] tcp_v4_do_rcv
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] tcp_v4_rcv
     0.00%     0.00%  G1 Refine#12     libjvm.so                                  [.] _ZN6BitMap10par_at_putEmb
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5952bae4
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594e0f39
     0.00%     0.00%  G1 Refine#13     [kernel.kallsyms]                          [k] raw_notifier_call_chain
     0.00%     0.00%  migration/19     [kernel.kallsyms]                          [k] kthread
     0.00%     0.00%  migration/19     [kernel.kallsyms]                          [k] ret_from_fork
     0.00%     0.00%  migration/19     [kernel.kallsyms]                          [k] smpboot_thread_fn
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59588cd7
     0.00%     0.00%  migration/28     [kernel.kallsyms]                          [k] __schedule
     0.00%     0.00%  migration/28     [kernel.kallsyms]                          [k] schedule
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]                          [k] __schedule
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]                          [k] pick_next_task_fair
     0.00%     0.00%  kworker/13:1-mm  [kernel.kallsyms]                          [k] schedule
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] nohz_newidle_balance
     0.00%     0.00%  GC Thread#1      [kernel.kallsyms]                          [k] __audit_syscall_entry
     0.00%     0.00%  GC Thread#1      [kernel.kallsyms]                          [k] syscall_trace_enter.constprop.0
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] update_group_capacity
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] put_prev_entity
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] asm_common_interrupt
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] common_interrupt
     0.00%     0.00%  G1 Refine#4      [kernel.kallsyms]                          [k] send_call_function_single_ipi
     0.00%     0.00%  G1 Refine#8      libjvm.so                                  [.] _ZN22G1BlockOffsetTablePart16alloc_block_workEPP8HeapWordPmS1_S1_
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] balance_fair
     0.00%     0.00%  migration/4      [kernel.kallsyms]                          [k] newidle_balance
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9a42
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] detach_tasks
     0.00%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] rcu_disable_urgency_upon_qs
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] next_uptodate_page
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] filemap_map_pages
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5868e134
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9980
     0.00%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] __queue_work
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] sysvec_call_function
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] asm_sysvec_call_function
     0.00%     0.00%  chronyd          [kernel.kallsyms]                          [k] __nf_conntrack_hash_insert
     0.00%     0.00%  chronyd          [kernel.kallsyms]                          [k] __nf_conntrack_confirm
     0.00%     0.00%  chronyd          [kernel.kallsyms]                          [k] nf_confirm
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953c083
     0.00%     0.00%  migration/20     [kernel.kallsyms]                          [k] pick_next_task_dl
     0.00%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] rcu_note_context_switch
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] dequeue_task_fair
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59588f07
     0.00%     0.00%  G1 Refine#13     [kernel.kallsyms]                          [k] resched_curr
     0.00%     0.00%  GC Thread#5      libjvm.so                                  [.] _ZN6Thread10muxAcquireEPVlPKc
     0.00%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] ttwu_queue_wakelist
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] poll_freewait
     0.00%     0.00%  G1 Refine#20     libjvm.so                                  [.] _ZN8G1RemSet24refine_card_concurrentlyEPaj
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59530ec7
     0.00%     0.00%  GC Thread#17     libjvm.so                                  [.] _ZN15G1PLABAllocator27allocate_direct_or_new_plabE11InCSetStatemPb
     0.00%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] pick_next_task_fair
     0.00%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] note_gp_changes
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] read_tsc
     0.00%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] task_cputime
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595308e5
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5891b2b1
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] posix_timer_fn
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] send_sigqueue
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] mem_cgroup_charge_skmem
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] rcu_core
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] update_vsyscall
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] __update_idle_core
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] pick_next_task_idle
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc591c3fe0
     0.00%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] __audit_syscall_entry
     0.00%     0.00%  GC Thread#19     libjvm.so                                  [.] _ZN29G1ParEvacuateFollowersClosure7do_voidEv
     0.00%     0.00%  kworker/u64:0    [kernel.kallsyms]                          [k] cgroup_rstat_flush_locked
     0.00%     0.00%  kworker/u64:0    [kernel.kallsyms]                          [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  kworker/u64:0    [kernel.kallsyms]                          [k] mem_cgroup_wb_stats
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] check_preempt_wakeup
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] check_preempt_curr
     0.00%     0.00%  G1 Conc#4        libjvm.so                                  [.] _ZN21OopOopIterateDispatchI23G1RootRegionScanClosureE5Table15oop_oop_iterateI13InstanceKlassP7oopDescEEvPS0_S6_P5Klass
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] set_task_rq_fair
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59531070
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] nohz_balance_exit_idle
     0.00%     0.00%  dispatcher-even  [kernel.kallsyms]                          [k] migrate_task_rq_fair
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] __get_user_nocheck_4
     0.00%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] asm_sysvec_reschedule_ipi
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] nf_hook_slow
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954eee4
     0.00%     0.00%  kworker/13:1H-k  [kernel.kallsyms]                          [k] kthread
     0.00%     0.00%  kworker/13:1H-k  [kernel.kallsyms]                          [k] ret_from_fork
     0.00%     0.00%  kworker/13:1H-k  [kernel.kallsyms]                          [k] worker_thread
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc50896b42
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595308cf
     0.00%     0.00%  executor-heartb  [kernel.kallsyms]                          [k] syscall_exit_to_user_mode
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]                          [k] irqtime_account_irq
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] update_pvclock_gtod
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] pvclock_gtod_notify
     0.00%     0.00%  GC Thread#13     [kernel.kallsyms]                          [k] __switch_to
     0.00%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] raise_softirq
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59501e43
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] __ext4_iget
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] find_inode_fast
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] iget_locked
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] send_call_function_single_ipi
     0.00%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] account_system_index_time
     0.00%     0.00%  GC Thread#10     [kernel.kallsyms]                          [k] cgroup_rstat_updated
     0.00%     0.00%  G1 Refine#16     libjvm.so                                  [.] _ZN21OopOopIterateDispatchI28G1ConcurrentRefineOopClosureE5Table15oop_oop_iterateI13InstanceKlassP7oopDescEEvPS0_S6_P5Klass
     0.00%     0.00%  rhsmcertd-worke  libpython3.6m.so.1.0                       [.] 0x000000000010e0a8
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] queue_work_on
     0.00%     0.00%  G1 Refine#22     [kernel.kallsyms]                          [k] __update_blocked_others
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] __queue_work
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] enter_lazy_tlb
     0.00%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] update_dl_rq_load_avg
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] acct_account_cputime
     0.00%     0.00%  G1 Refine#21     [kernel.kallsyms]                          [k] ttwu_do_wakeup
     0.00%     0.00%  G1 Refine#0      libjvm.so                                  [.] _ZN11PtrQueueSet17deallocate_bufferEP10BufferNode
     0.00%     0.00%  GC Thread#21     libjvm.so                                  [.] _ZN28OopOopIterateBoundedDispatchI29G1ScanObjsDuringScanRSClosureE5Table23oop_oop_iterate_boundedI13ObjArrayKlassP7oopDescEEvPS0_S6_P5Klass9MemRegion
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59530e08
     0.00%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] rcu_cblist_dequeue
     0.00%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] rcu_do_batch
     0.00%     0.00%  tuned            [kernel.kallsyms]                          [k] newidle_balance
     0.00%     0.00%  tuned            [kernel.kallsyms]                          [k] pick_next_task_fair
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] wp_page_copy
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] send_call_function_single_ipi
     0.00%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] tick_do_update_jiffies64.part.0
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] llist_add_batch
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] __smp_call_single_queue
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] fill_pud
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] lru_cache_add_inactive_or_unevictable
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59588f43
     0.00%     0.00%  G1 Refine#10     [kernel.kallsyms]                          [k] set_task_cpu
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] page_mapping
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] rcu_all_qs
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] __cond_resched
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] mmput
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5952e845
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953f82d
     0.00%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] llist_add_batch
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] need_active_balance
     0.00%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] acct_account_cputime
     0.00%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] hash_futex
     0.00%     0.00%  GC Thread#22     [kernel.kallsyms]                          [k] pick_next_task_fair
     0.00%     0.00%  G1 Refine#13     [kernel.kallsyms]                          [k] is_cpu_allowed
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]                          [k] security_file_permission
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] irq_work_run_list
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] note_interrupt
