# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.71%     0.54%  Executor task l  [kernel.kallsyms]                          [k] xas_load
     0.71%     0.01%  GC Thread#3      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.70%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.70%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] __run_hrtimer
     0.70%     0.02%  GC Thread#5      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.70%     0.02%  GC Thread#21     [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.70%     0.70%  Executor task l  [kernel.kallsyms]                          [k] check_cpu_stall
     0.70%     0.01%  G1 Conc#3        [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.69%     0.01%  G1 Conc#5        [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.69%     0.01%  G1 Conc#0        [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.69%     0.01%  G1 Conc#3        [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.68%     0.01%  G1 Conc#5        [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.68%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.68%     0.01%  G1 Conc#0        [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.68%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] tick_sched_timer
     0.68%     0.01%  GC Thread#7      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  G1 Conc#4        [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  GC Thread#19     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  GC Thread#16     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.67%     0.01%  G1 Conc#2        [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.67%     0.01%  G1 Conc#1        [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.67%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.67%     0.02%  GC Thread#19     [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.67%     0.01%  GC Thread#7      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.66%     0.01%  GC Thread#20     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.66%     0.01%  G1 Conc#4        [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.66%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.66%     0.01%  G1 Conc#2        [kernel.kallsyms]                          [k] hrtimer_interrupt
