# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 191K of event 'cycles'
# Event count (approx.): 17297680199363
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.45%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.45%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.45%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __napi_poll
     0.44%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] process_backlog
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     0.44%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb
     0.44%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     0.44%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     0.43%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_rcv
     0.43%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.43%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver
     0.43%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     0.42%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver_finish
     0.42%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_protocol_deliver_rcu
     0.42%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     0.41%     0.00%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.41%     0.04%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_v4_rcv
     0.40%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.40%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.39%     0.04%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.39%     0.15%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.39%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.38%     0.03%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.38%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_softirq
     0.37%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.37%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.37%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_cache_delete
     0.37%     0.06%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.36%     0.03%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.36%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] net_rx_action
     0.36%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.35%     0.02%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __napi_poll
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.35%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] process_backlog
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __netif_receive_skb
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     0.34%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_v4_do_rcv
     0.34%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.34%     0.04%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_rcv_established
     0.33%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.33%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.33%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_rcv
     0.33%     0.31%  kswapd1          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.33%     0.04%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.32%     0.04%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.32%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_deliver
     0.32%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.32%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_deliver_finish
     0.32%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_protocol_deliver_rcu
     0.32%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.32%     0.02%  kswapd1          [kernel.kallsyms]                   [k] xas_store
     0.32%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.31%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.31%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.31%     0.00%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.31%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_v4_rcv
     0.31%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.31%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.31%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.31%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.30%     0.05%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.30%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_read
     0.30%     0.07%  NonPeriodicTask  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.30%     0.05%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.30%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ksys_read
     0.30%     0.26%  kswapd0          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.30%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.30%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.30%     0.08%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.30%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_read
     0.30%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.30%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.29%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.29%     0.01%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.29%     0.01%  kswapd1          [kernel.kallsyms]                   [k] shrink_active_list
     0.29%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] new_sync_read
     0.29%     0.29%  kswapd1          [kernel.kallsyms]                   [k] xas_create
     0.28%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_read_iter
     0.28%     0.01%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.28%     0.06%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.28%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_recvmsg
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_v4_do_rcv
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_recvmsg
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.27%     0.04%  kswapd1          [kernel.kallsyms]                   [k] free_unref_page_list
     0.27%     0.01%  kswapd1          [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.27%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_rcv_established
     0.26%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.26%     0.24%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.26%     0.17%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.25%     0.25%  swapper          [unknown]                           [.] 0000000000000000
     0.24%     0.01%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
