# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3355615340298
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                           
# ........  ........  ...............  ..................................  .................................................................................................................................................................
#
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_zones
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                   [k] try_to_free_pages
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_lruvec
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_inactive_list
     0.68%     0.34%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.68%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __submit_bio_noacct_mq
     0.68%     0.01%  Executor task l  [kernel.kallsyms]                   [k] shrink_page_list
     0.66%     0.04%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_submit_bio
     0.66%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] kthread
     0.66%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] ret_from_fork
     0.66%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] worker_thread
     0.66%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     0.66%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     0.66%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     0.66%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] process_one_work
     0.65%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __remove_mapping
     0.65%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     0.64%     0.20%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add_fn
     0.64%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     0.64%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     0.63%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] unmap_and_move
     0.63%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     0.63%     0.63%  Executor task l  [kernel.kallsyms]                   [k] __list_del_entry_valid
     0.63%     0.00%  kworker/u64:35-  [kernel.kallsyms]                   [k] kthread
     0.63%     0.00%  kworker/u64:35-  [kernel.kallsyms]                   [k] ret_from_fork
     0.63%     0.00%  kworker/u64:35-  [kernel.kallsyms]                   [k] worker_thread
     0.62%     0.00%  kworker/u64:35-  [kernel.kallsyms]                   [k] process_one_work
     0.62%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __mem_cgroup_charge
     0.60%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     0.59%     0.18%  Executor task l  [kernel.kallsyms]                   [k] xas_store
     0.57%     0.56%  Executor task l  [kernel.kallsyms]                   [k] memset
     0.57%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_journal_start_sb
     0.55%     0.01%  Executor task l  [kernel.kallsyms]                   [k] file_update_time
     0.55%     0.32%  Executor task l  [kernel.kallsyms]                   [k] irqtime_account_irq
     0.55%     0.55%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_active
     0.53%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_end_request
     0.52%     0.52%  Executor task l  [kernel.kallsyms]                   [k] update_cfs_group
     0.51%     0.03%  Executor task l  [kernel.kallsyms]                   [k] zero_user_segments
     0.51%     0.00%  Executor task l  [kernel.kallsyms]                   [k] generic_update_time
     0.51%     0.14%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.50%     0.06%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.50%     0.02%  Executor task l  [kernel.kallsyms]                   [k] create_page_buffers
     0.50%     0.05%  kswapd0          [kernel.kallsyms]                   [k] free_unref_page_list
     0.49%     0.49%  Executor task l  [kernel.kallsyms]                   [k] check_cpu_stall
     0.49%     0.05%  Executor task l  [kernel.kallsyms]                   [k] jbd2__journal_start
     0.49%     0.31%  Executor task l  [kernel.kallsyms]                   [k] __mod_memcg_lruvec_state
