# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 350K of event 'cycles'
# Event count (approx.): 5662229416096
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     1.12%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __page_cache_alloc
     1.11%     0.01%  java             [kernel.kallsyms]  [k] find_vma
     1.11%     0.09%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.11%     1.10%  java             [kernel.kallsyms]  [k] vmacache_find
     1.01%     0.75%  localfetcher#1   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.97%     0.01%  java             [kernel.kallsyms]  [k] sysvec_call_function
     0.94%     0.02%  java             [kernel.kallsyms]  [k] __alloc_pages
     0.94%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages_vma
     0.93%     0.10%  localfetcher#1   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.92%     0.91%  java             [kernel.kallsyms]  [k] sync_regs
     0.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     0.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     0.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     0.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     0.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     0.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     0.91%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     0.90%     0.02%  java             [kernel.kallsyms]  [k] do_swap_page
     0.89%     0.88%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.84%     0.01%  java             [kernel.kallsyms]  [k] __sysvec_call_function
     0.84%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.83%     0.00%  java             [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.83%     0.00%  java             [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.82%     0.81%  LocalJobRunner   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.81%     0.80%  pool-4-thread-1  [kernel.kallsyms]  [k] clear_page_erms
     0.81%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.80%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.80%     0.01%  java             [kernel.kallsyms]  [k] alloc_pages_vma
