# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9401408291994
#
# Children      Self  Command          Shared Object              Symbol                                             
# ........  ........  ...............  .........................  ...................................................
#
     1.13%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] vfs_read
     1.13%     0.12%  LocalJobRunner   [kernel.kallsyms]          [k] __mem_cgroup_charge
     1.13%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] ext4_file_read_iter
     1.13%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] generic_file_read_iter
     1.13%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] new_sync_read
     1.13%     0.02%  Sampler Reader   [kernel.kallsyms]          [k] filemap_read
     1.12%     0.14%  java             [kernel.kallsyms]          [k] migrate_page_states
     1.10%     0.00%  java             [kernel.kallsyms]          [k] __put_page
     1.10%     0.10%  localfetcher#1   [kernel.kallsyms]          [k] get_page_from_freelist
     1.09%     0.01%  kswapd1          [kernel.kallsyms]          [k] shrink_lruvec
     1.07%     0.01%  java             [kernel.kallsyms]          [k] alloc_misplaced_dst_page
     1.07%     0.03%  java             [kernel.kallsyms]          [k] __hrtimer_run_queues
     0.99%     0.72%  Sampler Reader   [kernel.kallsyms]          [k] copy_user_enhanced_fast_string
     0.98%     0.01%  java             [kernel.kallsyms]          [k] alloc_pages_vma
     0.95%     0.07%  java             [kernel.kallsyms]          [k] mem_cgroup_migrate
     0.93%     0.91%  java             [kernel.kallsyms]          [k] task_numa_fault
     0.88%     0.00%  java             [kernel.kallsyms]          [k] tick_sched_timer
     0.87%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] __sysvec_apic_timer_interrupt
     0.87%     0.01%  LocalJobRunner   [kernel.kallsyms]          [k] filemap_get_pages
     0.86%     0.42%  java             [kernel.kallsyms]          [k] numa_migrate_prep
     0.85%     0.84%  localfetcher#1   [kernel.kallsyms]          [k] clear_page_erms
     0.84%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] hrtimer_interrupt
     0.83%     0.06%  java             [kernel.kallsyms]          [k] update_process_times
     0.83%     0.07%  kswapd1          [kernel.kallsyms]          [k] shrink_page_list
     0.81%     0.00%  java             [kernel.kallsyms]          [k] tick_sched_handle
     0.80%     0.01%  java             [kernel.kallsyms]          [k] __mem_cgroup_uncharge
     0.79%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_block_write_begin
     0.79%     0.01%  java             [kernel.kallsyms]          [k] schedule
     0.79%     0.20%  java             [kernel.kallsyms]          [k] __schedule
     0.78%     0.01%  java             [kernel.kallsyms]          [k] __x64_sys_sched_yield
     0.78%     0.72%  java             [kernel.kallsyms]          [k] page_counter_charge
     0.77%     0.77%  java             [kernel.kallsyms]          [k] native_queued_spin_lock_slowpath
     0.75%     0.05%  java             [kernel.kallsyms]          [k] isolate_lru_page
     0.75%     0.04%  java             [kernel.kallsyms]          [k] do_sched_yield
     0.74%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] __hrtimer_run_queues
     0.73%     0.00%  java             [kernel.kallsyms]          [k] task_work_run
     0.73%     0.00%  java             [kernel.kallsyms]          [k] task_numa_work
     0.73%     0.00%  java             [kernel.kallsyms]          [k] change_prot_numa
     0.73%     0.71%  java             [kernel.kallsyms]          [k] page_vma_mapped_walk
     0.73%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] schedule
     0.73%     0.07%  java             [kernel.kallsyms]          [k] uncharge_batch
     0.72%     0.04%  LocalJobRunner   [kernel.kallsyms]          [k] futex_wait
     0.71%     0.12%  LocalJobRunner   [kernel.kallsyms]          [k] __schedule
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] kthread
     0.70%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] ret_from_fork
