# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9401408291994
#
# Children      Self  Command          Shared Object              Symbol                                             
# ........  ........  ...............  .........................  ...................................................
#
     0.00%     0.00%  systemd-timesyn  [kernel.kallsyms]          [k] ext4_get_inode_loc
     0.00%     0.00%  systemd-timesyn  [kernel.kallsyms]          [k] ext4_reserve_inode_write
     0.00%     0.00%  systemd-timesyn  [kernel.kallsyms]          [k] ext4_sb_breadahead_unmovable
     0.00%     0.00%  systemd-timesyn  [kernel.kallsyms]          [k] mem_cgroup_flush_stats
     0.00%     0.00%  systemd-timesyn  [kernel.kallsyms]          [k] pagecache_get_page
     0.00%     0.00%  systemd-timesyn  [kernel.kallsyms]          [k] workingset_refault
     0.00%     0.00%  migration/47     [kernel.kallsyms]          [k] stop_machine_yield
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] lookup_fast
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] arch_scale_freq_tick
     0.00%     0.00%  java             libc.so.6                  [.] 0x00000000000a77ad
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2241             [.] 0x00007fcf6905241c
     0.00%     0.00%  migration/31     [kernel.kallsyms]          [k] update_cfs_group
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] __handle_mm_fault
     0.00%     0.00%  migration/12     [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  top              [kernel.kallsyms]          [k] lockref_put_or_lock
     0.00%     0.00%  top              [kernel.kallsyms]          [k] path_put
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] apparmor_path_mknod
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] cgroup_get_e_css
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] switch_mm_irqs_off
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]          [k] __lock_text_start
     0.00%     0.00%  top              [kernel.kallsyms]          [k] obj_cgroup_charge_pages
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] native_apic_msr_eoi_write
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] rcu_qs
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] note_gp_changes
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] load_new_mm_cr3
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] move_to_new_page
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] sg_init_table
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] kfree
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] __hrtimer_run_queues
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] hrtimer_interrupt
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] tick_sched_handle
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] tick_sched_timer
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] update_process_times
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] memset_erms
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2098             [.] 0x00007ff1d1a8ef06
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] __cgroup_account_cputime
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] __mark_inode_dirty
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] ext4_da_update_reserve_space
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] flush_tlb_func
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] apparmor_task_getsecid
     0.00%     0.00%  python3          [kernel.kallsyms]          [k] rmqueue_bulk
     0.00%     0.00%  java             [kernel.kallsyms]          [k] get_timespec64
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] dma_pool_alloc
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] __blk_mq_run_hw_queue
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] blk_mq_dispatch_rq_list
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] blk_mq_run_work_fn
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] nvme_queue_rq
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] process_one_work
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  kworker/32:1H    [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] cgroup_rstat_flush_locked
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] dma_direct_map_sg
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] __dma_map_sg_attrs
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] dma_map_sg_attrs
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] sugov_update_single_freq
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]          [k] usb_generic_driver_probe
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]          [k] usb_probe_device
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]          [k] usb_set_configuration
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] vma_interval_tree_remove
     0.00%     0.00%  migration/10     [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  migration/10     [kernel.kallsyms]          [k] cpu_stopper_thread
     0.00%     0.00%  top              [kernel.kallsyms]          [k] __x64_sys_exit_group
     0.00%     0.00%  top              [kernel.kallsyms]          [k] do_exit
     0.00%     0.00%  top              [kernel.kallsyms]          [k] do_group_exit
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] insert_work
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] __d_lookup
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] d_hash_and_lookup
     0.00%     0.00%  Thread-6         [kernel.kallsyms]          [k] get_mem_cgroup_from_mm
     0.00%     0.00%  Thread-6         [kernel.kallsyms]          [k] __handle_mm_fault
     0.00%     0.00%  Thread-6         [kernel.kallsyms]          [k] __mem_cgroup_charge
     0.00%     0.00%  Thread-6         [kernel.kallsyms]          [k] asm_exc_page_fault
     0.00%     0.00%  Thread-6         [kernel.kallsyms]          [k] do_user_addr_fault
     0.00%     0.00%  Thread-6         [kernel.kallsyms]          [k] exc_page_fault
     0.00%     0.00%  Thread-6         [kernel.kallsyms]          [k] handle_mm_fault
     0.00%     0.00%  migration/45     [kernel.kallsyms]          [k] __migrate_swap_task.part.0
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] filp_close
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] close_fd
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] __x64_sys_close
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]          [k] __getblk_slow
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] acpi_ev_gpe_dispatch
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] sched_change_group
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] cgroup_post_fork
     0.00%     0.00%  pool-4-thread-1  [kernel.kallsyms]          [k] cpu_cgroup_fork
     0.00%     0.00%  java             [kernel.kallsyms]          [k] pick_next_task_idle
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] rcu_start_this_gp
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1600             [.] 0x00007f86bd5cb876
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] cpumask_next_wrap
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] get_unmapped_area
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] slab_free_freelist_hook.constprop.0
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] __zone_watermark_ok
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] __alloc_pages_slowpath.constprop.0
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] ext4_group_desc_csum
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] migrate_page
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] cpuacct_account_field
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] account_process_tick
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] account_system_index_time
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] account_system_time
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] free_pages_and_swap_cache
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] release_pages
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] tlb_finish_mmu
     0.00%     0.00%  migration/34     [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __put_user_nocheck_1
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1680             [.] 0x00007f8841a125e8
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2241             [.] 0x00007fcf69a4a38e
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] deactivate_task
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] wbc_attach_and_unlock_inode
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]          [k] drain_local_pages_wq
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]          [k] drain_pages_zone
     0.00%     0.00%  systemd          [kernel.kallsyms]          [k] do_syscall_64
     0.00%     0.00%  systemd          [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] select_task_rq_fair
     0.00%     0.00%  java             [kernel.kallsyms]          [k] intel_pmu_disable_all
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] __ext4_journal_stop
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] jbd2_journal_stop
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] wake_up_bit
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  migration/36     [kernel.kallsyms]          [k] __schedule
     0.00%     0.00%  ksoftirqd/14     [kernel.kallsyms]          [k] slab_free_freelist_hook.constprop.0
     0.00%     0.00%  ksoftirqd/14     [kernel.kallsyms]          [k] i_callback
     0.00%     0.00%  ksoftirqd/14     [kernel.kallsyms]          [k] kmem_cache_free
     0.00%     0.00%  ksoftirqd/14     [kernel.kallsyms]          [k] proc_free_inode
     0.00%     0.00%  ksoftirqd/14     [kernel.kallsyms]          [k] rcu_core
     0.00%     0.00%  ksoftirqd/14     [kernel.kallsyms]          [k] rcu_core_si
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] __mod_memcg_state.part.0
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] __mod_lruvec_state
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] __x64_sys_vfork
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] account_kernel_stack.isra.0
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] unmap_single_vma
     0.00%     0.00%  (spawn)          [kernel.kallsyms]          [k] unmap_vmas
     0.00%     0.00%  migration/14     [kernel.kallsyms]          [k] migrate_swap_stop
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] do_mkdirat
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] __switch_to
     0.00%     0.00%  java             [kernel.kallsyms]          [k] hrtimer_init_sleeper
     0.00%     0.00%  migration/24     [kernel.kallsyms]          [k] __schedule
     0.00%     0.00%  readlink         [kernel.kallsyms]          [k] xas_load
     0.00%     0.00%  readlink         [kernel.kallsyms]          [k] xas_find
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1726             [.] 0x00007f1db50523c2
     0.00%     0.00%  ksoftirqd/14     [kernel.kallsyms]          [k] net_tx_action
     0.00%     0.00%  top              [kernel.kallsyms]          [k] get_mem_cgroup_from_mm
     0.00%     0.00%  migration/38     [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  top              [kernel.kallsyms]          [k] exit_mmap
     0.00%     0.00%  top              [kernel.kallsyms]          [k] mmput
     0.00%     0.00%  kworker/45:2-mm  [kernel.kallsyms]          [k] vmstat_update
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] x2apic_send_IPI
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] calc_global_load_tick
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_match.part.0
     0.00%     0.00%  systemd-resolve  [kernel.kallsyms]          [k] do_syscall_64
     0.00%     0.00%  systemd-resolve  [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  kworker/0:0-eve  [kernel.kallsyms]          [k] hidinput_connect
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __d_lookup_done
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] blk_update_request
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] blk_mq_end_request
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] sugov_update_single_freq
     0.00%     0.00%  perf             [kernel.kallsyms]          [k] from_kuid
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] pick_next_entity
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]          [k] crc_64
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] free_unref_page_list
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] ext4_file_open
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] update_min_vruntime
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] rwsem_spin_on_owner
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] cp_new_stat
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] rb_next
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] ext4_last_io_end_vec
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] finish_task_switch.isra.0
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] kernel_fpu_begin_mask
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] ext4_extent_block_csum_set
     0.00%     0.00%  kworker/0:0-eve  [kernel.kallsyms]          [k] strnlen
     0.00%     0.00%  Thread-5         [kernel.kallsyms]          [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-5         [kernel.kallsyms]          [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  VM Periodic Tas  [kernel.kallsyms]          [k] _raw_spin_lock_irq
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] _mix_pool_bytes
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]          [k] link_path_walk.part.0
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] flush_ptrace_hw_breakpoint
     0.00%     0.00%  kworker/21:1-ev  [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  process reaper   [kernel.kallsyms]          [k] ___d_drop
     0.00%     0.00%  C2 CompilerThre  libjvm.so                  [.] 0x00000000006404d0
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] page_mapping
     0.00%     0.00%  java             [kernel.kallsyms]          [k] tasklet_action
     0.00%     0.00%  java             [kernel.kallsyms]          [k] tasklet_action_common.constprop.0
     0.00%     0.00%  java             [kernel.kallsyms]          [k] usb_giveback_urb_bh
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] memset_erms
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] __blk_mq_run_hw_queue
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] blk_mq_dispatch_rq_list
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] blk_mq_run_work_fn
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] mempool_alloc
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] mempool_kmalloc
     0.00%     0.00%  kworker/26:1H-k  [kernel.kallsyms]          [k] nvme_queue_rq
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] mod_objcg_state
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] fscrypt_free_bounce_page
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] __read_end_io
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] ext4_inode_table
     0.00%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] mpage_end_io
     0.00%     0.00%  top              [kernel.kallsyms]          [k] inode_permission
     0.00%     0.00%  top              [kernel.kallsyms]          [k] may_open
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] crc_64
     0.00%     0.00%  migration/35     [kernel.kallsyms]          [k] multi_cpu_stop
     0.00%     0.00%  kworker/1:3-eve  [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] __free_pages
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] free_pages
     0.00%     0.00%  java             [kernel.kallsyms]          [k] __usb_hcd_giveback_urb
     0.00%     0.00%  java             [kernel.kallsyms]          [k] page_cache_sync_ra
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] from_kgid
     0.00%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] kmalloc_slab
     0.00%     0.00%  top              [kernel.kallsyms]          [k] unmap_single_vma
     0.00%     0.00%  top              [kernel.kallsyms]          [k] unmap_vmas
     0.00%     0.00%  kworker/41:2-ev  [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  ksoftirqd/9      [kernel.kallsyms]          [k] scsi_finish_command
     0.00%     0.00%  ksoftirqd/9      [kernel.kallsyms]          [k] blk_complete_reqs
     0.00%     0.00%  ksoftirqd/9      [kernel.kallsyms]          [k] blk_done_softirq
     0.00%     0.00%  ksoftirqd/9      [kernel.kallsyms]          [k] scsi_complete
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] kernfs_refresh_inode
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] native_flush_tlb_one_user
     0.00%     0.00%  kworker/u97:11-  [kernel.kallsyms]          [k] blk_mq_insert_requests
     0.00%     0.00%  kworker/21:1-ev  [kernel.kallsyms]          [k] __schedule
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] sched_clock_idle_wakeup_event
     0.00%     0.00%  kworker/0:0-eve  [kernel.kallsyms]          [k] acpi_ut_delete_object_desc
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] mntput
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] ktime_get_update_offsets_now
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  LocalJobRunner   [JIT] tid 1841             [.] 0x00007f54ed363244
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] bio_free
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] bio_put
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] mempool_free_slab
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __memcg_kmem_uncharge_page
     0.00%     0.00%  kworker/23:2-mm  [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/23:2-mm  [kernel.kallsyms]          [k] process_one_work
     0.00%     0.00%  kworker/23:2-mm  [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  kworker/23:2-mm  [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] ttwu_do_wakeup
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] __irqentry_text_end
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]          [k] process_one_work
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] ktime_get
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] bvec_free
     0.00%     0.00%  java             [JIT] tid 2241             [.] 0x00007fcf6987a1d9
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] pick_next_task_fair
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] deactivate_task
     0.00%     0.00%  LocalJobRunner   [JIT] tid 2241             [.] 0x00007fcf69a4a4e7
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] update_load_avg
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] __es_remove_extent
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] ext4_es_free_extent
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] getname
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] apic_ack_irq
     0.00%     0.00%  kworker/0:0-eve  [kernel.kallsyms]          [k] dequeue_task_fair
     0.00%     0.00%  kworker/6:2-mm_  [kernel.kallsyms]          [k] _raw_spin_lock
     0.00%     0.00%  top              [kernel.kallsyms]          [k] show_stat
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] set_task_cpu
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] __perf_event__output_id_sample
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]          [k] down_write
     0.00%     0.00%  java             [kernel.kallsyms]          [k] perf_swevent_start
     0.00%     0.00%  kworker/u97:0    [kernel.kallsyms]          [k] sd_check_events
     0.00%     0.00%  migration/44     [kernel.kallsyms]          [k] schedule
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] nohz_balance_exit_idle
     0.00%     0.00%  process reaper   [kernel.kallsyms]          [k] _raw_spin_trylock
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] __ext4_mark_inode_dirty
     0.00%     0.00%  java             [kernel.kallsyms]          [k] io_schedule
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] ___pte_free_tlb
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] free_pgd_range
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] free_pgtables
     0.00%     0.00%  top              [kernel.kallsyms]          [k] next_uptodate_page
     0.00%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_mb_init_cache
     0.00%     0.00%  kworker/u98:4    [kernel.kallsyms]          [k] mb_update_avg_fragment_size.isra.0
     0.00%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] __brelse
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]          [k] do_wp_page
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] perf_output_begin
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] kmem_cache_alloc
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] proc_alloc_inode
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] newidle_balance
     0.00%     0.00%  EventFetcher fo  [kernel.kallsyms]          [k] __hrtimer_init
     0.00%     0.00%  EventFetcher fo  [kernel.kallsyms]          [k] hrtimer_init_sleeper
     0.00%     0.00%  kworker/0:0-eve  [kernel.kallsyms]          [k] acpi_ds_result_push
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] pgd_none
     0.00%     0.00%  java             libjvm.so                  [.] 0x000000000099bdf8
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] set_next_entity
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] deactivate_task
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]          [k] _raw_spin_lock
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] sugov_update_single_freq
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] __hrtimer_run_queues
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] hrtimer_interrupt
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] scheduler_tick
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] task_tick_fair
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] tick_sched_handle
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] tick_sched_timer
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] update_process_times
     0.00%     0.00%  kworker/u98:3    [kernel.kallsyms]          [k] read_tsc
     0.00%     0.00%  C1 CompilerThre  [kernel.kallsyms]          [k] llist_add_batch
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] enqueue_entity
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]          [k] __lock_text_start
     0.00%     0.00%  SpillThread      [kernel.kallsyms]          [k] task_numa_find_cpu
     0.00%     0.00%  systemd-udevd    [kernel.kallsyms]          [k] __legitimize_mnt
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]          [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  migration/26     [kernel.kallsyms]          [k] enqueue_task
     0.00%     0.00%  kswapd1          [kernel.kallsyms]          [k] up_read
     0.00%     0.00%  migration/5      [kernel.kallsyms]          [k] enqueue_entity
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] hash_futex
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] filename_create
     0.00%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] security_inode_getattr
     0.00%     0.00%  kworker/12:1H    [kernel.kallsyms]          [k] kthread
     0.00%     0.00%  kworker/12:1H    [kernel.kallsyms]          [k] ret_from_fork
     0.00%     0.00%  kworker/12:1H    [kernel.kallsyms]          [k] worker_thread
     0.00%     0.00%  Readahead Threa  [kernel.kallsyms]          [k] uncharge_batch
     0.00%     0.00%  VM Thread        [kernel.kallsyms]          [k] set_next_entity
     0.00%     0.00%  communication t  [JIT] tid 1478             [.] 0x00007fd9a50135da
     0.00%     0.00%  java             [kernel.kallsyms]          [k] end_bio_bh_io_sync
     0.00%     0.00%  kworker/u97:12-  [kernel.kallsyms]          [k] wbc_account_cgroup_owner
     0.00%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] obj_cgroup_charge
     0.00%     0.00%  LocalDistribute  [kernel.kallsyms]          [k] try_to_migrate
     0.00%     0.00%  kworker/19:1-ev  [kernel.kallsyms]          [k] process_one_work
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] __free_one_page
     0.00%     0.00%  localfetcher#1   [kernel.kallsyms]          [k] wbt_done
     0.00%     0.00%  swapper          [kernel.kallsyms]          [k] idr_find
     0.00%     0.00%  communication t  [kernel.kallsyms]          [k] __mod_node_page_state
