# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 9051642699758
#
# Children      Self  Command          Shared Object                      Symbol                                        
# ........  ........  ...............  .................................  ..............................................
#
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] blk_mq_submit_bio
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] submit_bio
     0.00%     0.00%  ReadStage-82     [kernel.kallsyms]                  [k] submit_bio_noacct
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_options_write
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                  [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                  [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                  [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-87     [kernel.kallsyms]                  [k] sysvec_call_function
     0.00%     0.00%  ReadStage-94     [kernel.kallsyms]                  [k] dequeue_entity
     0.00%     0.00%  ReadStage-94     [kernel.kallsyms]                  [k] dequeue_task
     0.00%     0.00%  ReadStage-94     [kernel.kallsyms]                  [k] dequeue_task_fair
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] clear_page_erms
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] __alloc_pages
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] __do_fault
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] alloc_pages
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] do_page_cache_ra
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] filemap_fault
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] get_page_from_freelist
     0.00%     0.00%  ReadStage-161    [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.00%     0.00%  ReadStage-35     [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] ext4_set_page_dirty
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] set_page_dirty
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] filemap_map_pages
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                  [k] __entry_text_start
     0.00%     0.00%  ReadStage-64     [kernel.kallsyms]                  [k] ttwu_do_activate
     0.00%     0.00%  ReadStage-84     [kernel.kallsyms]                  [k] __switch_to_asm
     0.00%     0.00%  ReadStage-99     [kernel.kallsyms]                  [k] __pagevec_lru_add
     0.00%     0.00%  ReadStage-99     [kernel.kallsyms]                  [k] lru_cache_add
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] blk_mq_rq_ctx_init
     0.00%     0.00%  MutationStage-4  [kernel.kallsyms]                  [k] select_task_rq_fair
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] finish_fault
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] __do_fault
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] __handle_mm_fault
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] do_page_cache_ra
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] filemap_fault
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     0.00%     0.00%  ReadStage-156    [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  Thread-39        [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  Thread-38        [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-38        [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  ReadStage-91     [kernel.kallsyms]                  [k] xas_start
     0.00%     0.00%  ReadStage-91     [kernel.kallsyms]                  [k] xa_get_order
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] blk_mq_end_request
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] nvme_complete_rq
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] fpregs_assert_state_consistent
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] irqentry_exit
     0.00%     0.00%  ReadStage-48     [kernel.kallsyms]                  [k] irqentry_exit_to_user_mode
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                  [k] clear_page_erms
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] hrtimer_try_to_cancel.part.0
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] hrtimer_cancel
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] slab_free_freelist_hook.constprop.0
     0.00%     0.00%  Thread-109       [kernel.kallsyms]                  [k] dequeue_task_fair
     0.00%     0.00%  Thread-109       [kernel.kallsyms]                  [k] dequeue_task
     0.00%     0.00%  ReadStage-137    [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-137    [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                  [k] __blk_mq_sched_bio_merge
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                  [k] __submit_bio
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                  [k] blk_mq_submit_bio
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                  [k] ext4_mpage_readpages
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                  [k] submit_bio
     0.00%     0.00%  ReadStage-57     [kernel.kallsyms]                  [k] submit_bio_noacct
     0.00%     0.00%  ReadStage-41     [kernel.kallsyms]                  [k] nvme_queue_rq
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-71     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-108    [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                  [k] __mod_node_page_state
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                  [k] mod_lruvec_state.constprop.0
     0.00%     0.00%  ReadStage-154    [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] __pagevec_lru_add
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] lock_page_lruvec_irqsave
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] lru_add_drain_cpu
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] lru_add_drain_per_cpu
     0.00%     0.00%  kworker/45:1-mm  [kernel.kallsyms]                  [k] process_one_work
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] dma_pool_alloc
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] sugov_update_single_freq
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] enqueue_entity
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] enqueue_task
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] enqueue_task_fair
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] ttwu_do_activate
     0.00%     0.00%  ReadStage-119    [kernel.kallsyms]                  [k] update_load_avg
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] _find_next_bit
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] migrate_task_rq_fair
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] set_task_cpu
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  Thread-144       [kernel.kallsyms]                  [k] wake_up_process
     0.00%     0.00%  ReadStage-148    [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.00%     0.00%  ReadStage-148    [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  ReadStage-148    [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  ReadStage-148    [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.00%     0.00%  ReadStage-148    [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  ReadStage-68     [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  ReadStage-73     [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-73     [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-73     [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-73     [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-114    [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  ReadStage-114    [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  ReadStage-114    [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.00%     0.00%  ReadStage-114    [kernel.kallsyms]                  [k] workingset_refault
     0.00%     0.00%  Thread-27        [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] tick_nohz_irq_exit
     0.00%     0.00%  Thread-104       [kernel.kallsyms]                  [k] update_curr
     0.00%     0.00%  Thread-104       [kernel.kallsyms]                  [k] enqueue_entity
     0.00%     0.00%  Thread-104       [kernel.kallsyms]                  [k] enqueue_task
     0.00%     0.00%  Thread-104       [kernel.kallsyms]                  [k] enqueue_task_fair
     0.00%     0.00%  Thread-104       [kernel.kallsyms]                  [k] finish_task_switch.isra.0
     0.00%     0.00%  Thread-104       [kernel.kallsyms]                  [k] ttwu_do_activate
     0.00%     0.00%  ReadStage-13     [kernel.kallsyms]                  [k] error_entry
     0.00%     0.00%  Thread-82        [kernel.kallsyms]                  [k] futex_wait_setup
     0.00%     0.00%  Thread-82        [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  Thread-82        [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  Thread-82        [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  Thread-82        [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  Thread-82        [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  ReadStage-123    [kernel.kallsyms]                  [k] mem_cgroup_flush_stats
     0.00%     0.00%  kworker/43:1-mm  [kernel.kallsyms]                  [k] process_one_work
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] blk_account_io_done
     0.00%     0.00%  ReadStage-123    [JIT] tid 2185                     [.] 0x00007f729e6ec6ff
     0.00%     0.00%  ReadStage-43     [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.00%     0.00%  ReadStage-15     [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-15     [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-15     [kernel.kallsyms]                  [k] do_syscall_64
     0.00%     0.00%  ReadStage-15     [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  ReadStage-15     [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  ReadStage-15     [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                  [k] iterate_groups
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                  [k] psi_task_switch
     0.00%     0.00%  Thread-110       [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] kthread_is_per_cpu
     0.00%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] is_cpu_allowed
     0.00%     0.00%  Thread-63        [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  Thread-63        [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  ReadStage-137    [kernel.kallsyms]                  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  ReadStage-137    [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-137    [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] update_cfs_rq_h_load
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] check_preempt_curr
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] ttwu_do_activate
     0.00%     0.00%  Thread-25        [kernel.kallsyms]                  [k] wake_up_process
     0.00%     0.00%  ReadStage-44     [kernel.kallsyms]                  [k] __radix_tree_lookup
     0.00%     0.00%  ReadStage-44     [kernel.kallsyms]                  [k] idr_find
     0.00%     0.00%  ReadStage-44     [kernel.kallsyms]                  [k] mem_cgroup_from_id
     0.00%     0.00%  ReadStage-44     [kernel.kallsyms]                  [k] radix_tree_lookup
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                  [k] rmqueue_bulk
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                  [k] __alloc_pages
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                  [k] __page_cache_alloc
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                  [k] alloc_pages
     0.00%     0.00%  ReadStage-27     [kernel.kallsyms]                  [k] get_page_from_freelist
     0.00%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] mark_wake_futex
     0.00%     0.00%  ReadStage-85     [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  ReadStage-85     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-85     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] io_schedule
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] wait_on_page_bit_common
     0.00%     0.00%  ReadStage-41     [kernel.kallsyms]                  [k] __pagevec_lru_add
     0.00%     0.00%  ReadStage-41     [kernel.kallsyms]                  [k] lru_cache_add
     0.00%     0.00%  ReadStage-133    [kernel.kallsyms]                  [k] ext4_map_blocks
     0.00%     0.00%  ReadStage-133    [kernel.kallsyms]                  [k] ext4_readahead
     0.00%     0.00%  ReadStage-133    [kernel.kallsyms]                  [k] read_pages
     0.00%     0.00%  ReadStage-64     [kernel.kallsyms]                  [k] select_task_rq_fair
     0.00%     0.00%  ReadStage-64     [kernel.kallsyms]                  [k] futex_wake
     0.00%     0.00%  ReadStage-64     [kernel.kallsyms]                  [k] wake_up_q
     0.00%     0.00%  ReadStage-93     [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.00%     0.00%  kswapd1          [kernel.kallsyms]                  [k] lru_add_drain_cpu
     0.00%     0.00%  kswapd1          [kernel.kallsyms]                  [k] lru_add_drain
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] sugov_iowait_apply
     0.00%     0.00%  ReadStage-56     [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.00%     0.00%  ReadStage-68     [kernel.kallsyms]                  [k] mark_wake_futex
     0.00%     0.00%  MutationStage-7  [kernel.kallsyms]                  [k] __perf_event_header__init_id
     0.00%     0.00%  Thread-69        [kernel.kallsyms]                  [k] futex_wait_setup
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                  [k] flush_tlb_func
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                  [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                  [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                  [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                  [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-105    [kernel.kallsyms]                  [k] sysvec_call_function
     0.00%     0.00%  ReadStage-147    [kernel.kallsyms]                  [k] filemap_map_pages
     0.00%     0.00%  ReadStage-147    [kernel.kallsyms]                  [k] xas_find
     0.00%     0.00%  ReadStage-81     [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-81     [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-44     [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  ReadStage-14     [kernel.kallsyms]                  [k] _raw_spin_lock
     0.00%     0.00%  java             [unknown]                          [.] 0000000000000000
     0.00%     0.00%  ReadStage-78     [kernel.kallsyms]                  [k] __blk_rq_map_sg
     0.00%     0.00%  ReadStage-24     [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] next_zone
     0.00%     0.00%  Thread-31        [kernel.kallsyms]                  [k] psi_group_change
     0.00%     0.00%  Thread-31        [kernel.kallsyms]                  [k] psi_task_switch
     0.00%     0.00%  ReadStage-40     [kernel.kallsyms]                  [k] filemap_map_pages
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  Thread-137       [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  swapper          [kernel.kallsyms]                  [k] __remove_hrtimer
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] dequeue_task_fair
     0.00%     0.00%  java             [kernel.kallsyms]                  [k] dequeue_task
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] __update_load_avg_se
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] asm_sysvec_reschedule_ipi
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] irqentry_exit
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] irqentry_exit_to_user_mode
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] pick_next_task_fair
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] put_prev_entity
     0.00%     0.00%  ReadStage-59     [kernel.kallsyms]                  [k] sysvec_reschedule_ipi
     0.00%     0.00%  ReadStage-132    [kernel.kallsyms]                  [k] ondemand_readahead
     0.00%     0.00%  ReadStage-132    [kernel.kallsyms]                  [k] page_cache_async_ra
     0.00%     0.00%  ReadStage-106    [kernel.kallsyms]                  [k] _find_next_bit
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] migrate_task_rq_fair
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] __wake_up_common
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] __wake_up_locked_key_bookmark
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] unlock_page
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] wake_page_function
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] wake_up_page_bit
     0.00%     0.00%  ReadStage-19     [kernel.kallsyms]                  [k] wake_up_state
     0.00%     0.00%  Thread-115       [kernel.kallsyms]                  [k] pick_next_task_fair
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] sugov_update_single_freq
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] down_read
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] enqueue_entity
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] enqueue_task
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] enqueue_task_fair
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] try_to_wake_up
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] ttwu_do_activate
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] update_load_avg
     0.00%     0.00%  ReadStage-6      [kernel.kallsyms]                  [k] wake_up_process
     0.00%     0.00%  Thread-132       [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] task_scan_start
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] migrate_task_rq_fair
     0.00%     0.00%  ReadStage-90     [kernel.kallsyms]                  [k] set_task_cpu
     0.00%     0.00%  Thread-54        [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  Thread-54        [kernel.kallsyms]                  [k] __x64_sys_futex
     0.00%     0.00%  Thread-54        [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  ReadStage-101    [JIT] tid 2185                     [.] 0x00007f729ef44fbd
     0.00%     0.00%  ReadStage-95     [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  ReadStage-95     [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  ReadStage-95     [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  ReadStage-95     [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  ReadStage-114    [kernel.kallsyms]                  [k] __memcg_kmem_charge_page
     0.00%     0.00%  ReadStage-114    [kernel.kallsyms]                  [k] pte_alloc_one
     0.00%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] select_task_rq_fair
     0.00%     0.00%  Thread-81        [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.00%     0.00%  Thread-81        [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-81        [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  Thread-81        [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  ReadStage-142    [kernel.kallsyms]                  [k] flush_smp_call_function_queue
     0.00%     0.00%  ReadStage-142    [kernel.kallsyms]                  [k] __sysvec_call_function
     0.00%     0.00%  ReadStage-142    [kernel.kallsyms]                  [k] asm_sysvec_call_function
     0.00%     0.00%  ReadStage-142    [kernel.kallsyms]                  [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  ReadStage-142    [kernel.kallsyms]                  [k] sysvec_call_function
     0.00%     0.00%  Thread-143       [kernel.kallsyms]                  [k] switch_fpu_return
     0.00%     0.00%  Thread-143       [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  Thread-143       [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.00%     0.00%  ReadStage-32     [kernel.kallsyms]                  [k] read_pages
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] __next_zones_zonelist
     0.00%     0.00%  ReadStage-106    [kernel.kallsyms]                  [k] __add_to_page_cache_locked
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] irqentry_exit
     0.00%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] irqentry_exit_to_user_mode
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] set_task_cpu
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  Thread-98        [kernel.kallsyms]                  [k] wake_up_process
     0.00%     0.00%  Thread-58        [kernel.kallsyms]                  [k] finish_task_switch.isra.0
     0.00%     0.00%  Thread-58        [kernel.kallsyms]                  [k] __schedule
     0.00%     0.00%  Thread-58        [kernel.kallsyms]                  [k] do_futex
     0.00%     0.00%  Thread-58        [kernel.kallsyms]                  [k] futex_wait
     0.00%     0.00%  Thread-58        [kernel.kallsyms]                  [k] futex_wait_queue_me
     0.00%     0.00%  Thread-58        [kernel.kallsyms]                  [k] schedule
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] __blk_mq_sched_bio_merge
     0.00%     0.00%  ReadStage-4      [kernel.kallsyms]                  [k] blk_mq_submit_bio
     0.00%     0.00%  ReadStage-43     [kernel.kallsyms]                  [k] next_uptodate_page
