# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 9051642699758
#
# Children      Self  Command          Shared Object                      Symbol                                        
# ........  ........  ...............  .................................  ..............................................
#
     0.65%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] do_user_addr_fault
     0.65%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] exc_page_fault
     0.65%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] handle_mm_fault
     0.65%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] __do_fault
     0.65%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] filemap_fault
     0.65%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.64%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] do_syscall_64
     0.63%     0.63%  ReadStage-47     [kernel.kallsyms]                  [k] dequeue_entity
     0.63%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] __schedule
     0.63%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] clear_buddies
     0.63%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] dequeue_task
     0.63%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] dequeue_task_fair
     0.63%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] io_schedule
     0.63%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] schedule
     0.63%     0.00%  ReadStage-47     [kernel.kallsyms]                  [k] wait_on_page_bit_common
     0.62%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                  [k] wake_up_q
     0.61%     0.02%  kswapd1          [kernel.kallsyms]                  [k] rmap_walk_file
     0.60%     0.05%  cluster1-nio-wo  [kernel.kallsyms]                  [k] try_to_wake_up
     0.57%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __x64_sys_writev
     0.57%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] do_writev
     0.56%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] vfs_writev
     0.54%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] do_iter_write
     0.54%     0.53%  Native-Transpor  [kernel.kallsyms]                  [k] mem_cgroup_css_rstat_flush
     0.54%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] sock_write_iter
     0.54%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] do_iter_readv_writev
     0.54%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] sock_sendmsg
     0.53%     0.01%  epollEventLoopG  [kernel.kallsyms]                  [k] inet_sendmsg
     0.53%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_sendmsg
     0.52%     0.08%  NonPeriodicTask  [kernel.kallsyms]                  [k] deactivate_file_page
     0.49%     0.02%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_sendmsg_locked
     0.48%     0.18%  NonPeriodicTask  [kernel.kallsyms]                  [k] pagevec_lru_move_fn
     0.45%     0.01%  kswapd0          [kernel.kallsyms]                  [k] rmap_walk
     0.41%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] alloc_pages
     0.40%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __page_cache_alloc
     0.40%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] __alloc_pages
     0.40%     0.01%  kswapd0          [kernel.kallsyms]                  [k] rmap_walk_file
     0.39%     0.00%  kswapd1          [kernel.kallsyms]                  [k] arch_tlbbatch_flush
     0.39%     0.00%  kswapd1          [kernel.kallsyms]                  [k] try_to_unmap_flush
     0.38%     0.03%  kswapd1          [kernel.kallsyms]                  [k] native_flush_tlb_multi
     0.38%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] page_cache_async_ra
     0.38%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] ondemand_readahead
     0.38%     0.04%  Native-Transpor  [kernel.kallsyms]                  [k] get_page_from_freelist
     0.37%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] asm_sysvec_call_function
     0.37%     0.01%  kswapd1          [kernel.kallsyms]                  [k] page_referenced
     0.36%     0.02%  kswapd1          [kernel.kallsyms]                  [k] __remove_mapping
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] ttwu_do_activate
     0.34%     0.00%  kswapd1          [kernel.kallsyms]                  [k] on_each_cpu_cond_mask
     0.34%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] read_pages
     0.32%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] __do_munmap
     0.32%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] __vm_munmap
     0.32%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] __x64_sys_munmap
     0.32%     0.00%  NonPeriodicTask  [kernel.kallsyms]                  [k] unmap_region
     0.32%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] try_to_wake_up
     0.32%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] enqueue_task
     0.32%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.31%     0.31%  swapper          [unknown]                          [.] 0000000000000000
