# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 19811833428013
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.45%     0.00%  postgres         [kernel.kallsyms]     [k] unmap_single_vma
     0.45%     0.04%  postgres         [kernel.kallsyms]     [k] update_process_times
     0.45%     0.42%  postgres         [kernel.kallsyms]     [k] change_protection
     0.44%     0.00%  postgres         [kernel.kallsyms]     [k] tick_sched_handle
     0.44%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_epoll_wait
     0.43%     0.25%  postgres         [kernel.kallsyms]     [k] unmap_page_range
     0.43%     0.00%  postgres         [kernel.kallsyms]     [k] __wake_up_common_lock
     0.43%     0.00%  kswapd0          [kernel.kallsyms]     [k] try_to_release_page
     0.43%     0.01%  kswapd0          [kernel.kallsyms]     [k] ext4_releasepage
     0.42%     0.00%  postgres         [kernel.kallsyms]     [k] __wake_up_sync_key
     0.42%     0.01%  kswapd0          [kernel.kallsyms]     [k] jbd2_journal_try_to_free_buffers
     0.42%     0.02%  postgres         [kernel.kallsyms]     [k] sock_def_readable
     0.42%     0.03%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_common
     0.41%     0.00%  kswapd0          [kernel.kallsyms]     [k] __delete_from_page_cache
     0.41%     0.05%  postgres         [kernel.kallsyms]     [k] do_epoll_wait
     0.41%     0.00%  postgres         [kernel.kallsyms]     [k] mpage_end_io
     0.40%     0.19%  postgres         [kernel.kallsyms]     [k] shmem_add_to_page_cache
     0.40%     0.02%  postgres         [kernel.kallsyms]     [k] __read_end_io
     0.40%     0.12%  postgres         [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.40%     0.00%  kcompactd0       [kernel.kallsyms]     [k] rmap_walk
     0.40%     0.40%  swapper          [unknown]             [.] 0000000000000000
     0.40%     0.02%  postgres         [kernel.kallsyms]     [k] shmem_alloc_and_acct_page
     0.40%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_sync_key
     0.40%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_common_lock
     0.39%     0.01%  postgres         [kernel.kallsyms]     [k] alloc_pages_vma
     0.39%     0.38%  postgres         [kernel.kallsyms]     [k] try_grab_compound_head
     0.39%     0.02%  postgres         [kernel.kallsyms]     [k] ext4_ext_map_blocks
     0.38%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_newfstatat
     0.38%     0.00%  postgres         [kernel.kallsyms]     [k] __do_sys_newfstatat
     0.38%     0.06%  postgres         [kernel.kallsyms]     [k] task_numa_fault
     0.38%     0.06%  postgres         [kernel.kallsyms]     [k] lru_cache_add
