# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 336K of event 'cycles'
# Event count (approx.): 6496021750873
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.52%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] __ext4_journal_start_sb
     0.52%     0.00%  kcompactd0       [kernel.kallsyms]   [k] kcompactd
     0.52%     0.00%  kcompactd0       [kernel.kallsyms]   [k] kthread
     0.52%     0.00%  kcompactd0       [kernel.kallsyms]   [k] ret_from_fork
     0.52%     0.10%  kworker/u96:1+e  [kernel.kallsyms]   [k] ext4_finish_bio
     0.52%     0.00%  kcompactd0       [kernel.kallsyms]   [k] compact_zone
     0.52%     0.00%  kcompactd0       [kernel.kallsyms]   [k] proactive_compact_node
     0.52%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] handle_mm_fault
     0.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __x64_sys_read
     0.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ksys_read
     0.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] vfs_read
     0.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] new_sync_read
     0.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_file_read_iter
     0.51%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_file_read_iter
     0.51%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_read
     0.49%     0.01%  kcompactd0       [kernel.kallsyms]   [k] migrate_pages
     0.48%     0.01%  java             [kernel.kallsyms]   [k] sysvec_call_function
     0.48%     0.06%  LocalJobRunner   [kernel.kallsyms]   [k] __handle_mm_fault
     0.48%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_da_write_begin
     0.48%     0.19%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_mark_iloc_dirty
     0.48%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] jbd2__journal_start
