# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'cycles'
# Event count (approx.): 5321267836559
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.54%     0.03%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.53%     0.06%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.52%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.50%     0.02%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.50%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.49%     0.46%  kswapd1          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.49%     0.02%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.48%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.48%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.47%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.47%     0.00%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.46%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.45%     0.00%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.44%     0.02%  kswapd1          [kernel.kallsyms]                   [k] shrink_active_list
     0.44%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.44%     0.01%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.43%     0.06%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.42%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.42%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.41%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.40%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.40%     0.00%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.40%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.40%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.40%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.40%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.40%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.40%     0.03%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
