# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 219K of event 'cycles'
# Event count (approx.): 8179031430484
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
     0.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_write
     0.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_write
     0.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_write_iter
     0.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_write
     0.22%     0.09%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.22%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_perform_write
     0.22%     0.20%  pool-4-thread-1  [kernel.kallsyms]  [k] _find_next_bit
     0.22%     0.15%  kworker/u96:0-e  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.22%     0.00%  java             [kernel.kallsyms]  [k] rmap_walk
     0.22%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __set_page_dirty
     0.21%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.21%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_async_ra
     0.21%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.21%     0.21%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_page_accessed
     0.21%     0.15%  localfetcher#1   [kernel.kallsyms]  [k] rmqueue_bulk
     0.21%     0.00%  kswapd1          [kernel.kallsyms]  [k] __delete_from_page_cache
     0.21%     0.01%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     0.20%     0.20%  InMemoryMerger   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.20%     0.05%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.20%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] __set_page_dirty
     0.20%     0.09%  pool-4-thread-1  [kernel.kallsyms]  [k] __count_memcg_events
     0.20%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.20%     0.05%  kworker/u98:0-w  [kernel.kallsyms]  [k] __test_set_page_writeback
     0.20%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.20%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.20%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.20%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_syscall_64
     0.20%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] workingset_refault
     0.19%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.19%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.19%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.19%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] migrate_misplaced_page
     0.19%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] task_numa_work
     0.19%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] task_work_run
     0.19%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] change_prot_numa
