# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 198811436039
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................
#
     0.94%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.93%     0.03%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.93%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.92%     0.03%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.92%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.91%     0.68%  mariadbd         [kernel.kallsyms]    [k] xas_load
     0.91%     0.04%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.90%     0.46%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.89%     0.31%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     0.89%     0.15%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.89%     0.09%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.88%     0.44%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.87%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.87%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait_setup
     0.87%     0.26%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.87%     0.01%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
     0.86%     0.64%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.86%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     0.86%     0.13%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.85%     0.05%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.85%     0.01%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     0.85%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.84%     0.84%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.84%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     0.84%     0.00%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.82%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.82%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     0.81%     0.07%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     0.81%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.80%     0.05%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     0.80%     0.06%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.78%     0.02%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.78%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.77%     0.02%  mariadbd         [kernel.kallsyms]    [k] wake_affine
     0.76%     0.07%  swapper          [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
