# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11612035658184
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
     1.13%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] pollwake
     1.13%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_flush_plug_list
     1.13%     0.02%  swapper          [kernel.kallsyms]                                 [k] __handle_irq_event_percpu
     1.12%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] __x64_sys_recvfrom
     1.12%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] blk_finish_plug
     1.11%     0.07%  swapper          [kernel.kallsyms]                                 [k] flush_smp_call_function_from_idle
     1.11%     0.01%  swapper          [kernel.kallsyms]                                 [k] nvme_irq
     1.11%     0.01%  swapper          [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     1.10%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_sched_insert_requests
     1.10%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] __sys_recvfrom
     1.10%     0.10%  swapper          [kernel.kallsyms]                                 [k] nvme_process_cq
     1.10%     0.01%  swapper          [kernel.kallsyms]                                 [k] hrtimer_interrupt
     1.08%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __submit_bio_noacct_mq
     1.07%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] blk_update_request
     1.07%     0.06%  swapper          [kernel.kallsyms]                                 [k] __irq_exit_rcu
     1.04%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] find_busiest_group
     1.04%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_try_issue_list_directly
     1.04%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_submit_bio
     1.03%     0.23%  mariadbd         [kernel.kallsyms]                                 [k] select_idle_cpu
     1.00%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] __blk_mq_try_issue_directly
     1.00%     0.97%  mariadbd         [kernel.kallsyms]                                 [k] native_queued_spin_lock_slowpath.part.0
     1.00%     0.31%  swapper          [kernel.kallsyms]                                 [k] enqueue_entity
     0.99%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] io_schedule_timeout
     0.99%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_pwrite64
     0.99%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] vfs_write
     0.99%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] update_sd_lb_stats.constprop.0
     0.99%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] new_sync_write
     0.99%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] ext4_buffered_write_iter
     0.98%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] schedule_timeout
     0.98%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] amd_pmu_disable_all
     0.98%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] schedule_hrtimeout_range_clock
     0.97%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] arch_tlbbatch_flush
     0.97%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] pagecache_get_page
     0.95%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] generic_perform_write
     0.95%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] try_to_unmap_flush_dirty
     0.94%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] unix_stream_recvmsg
     0.94%     0.13%  mariadbd         [kernel.kallsyms]                                 [k] nvme_queue_rq
     0.94%     0.01%  swapper          [kernel.kallsyms]                                 [k] __hrtimer_run_queues
     0.93%     0.01%  swapper          [kernel.kallsyms]                                 [k] __run_hrtimer
     0.93%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] get_user_pages_unlocked
     0.93%     0.10%  tclsh8.6         [kernel.kallsyms]                                 [k] unix_stream_read_generic
     0.93%     0.73%  mariadbd         [kernel.kallsyms]                                 [k] xas_load
