# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6647396362522
#
# Children      Self  Command          Shared Object         Symbol                                                                                                                                                                     
# ........  ........  ...............  ....................  ...........................................................................................................................................................................
#
     1.11%     0.02%  mariadbd         [kernel.kallsyms]     [k] io_schedule_timeout
     1.10%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] __sys_recvfrom
     1.09%     0.46%  mariadbd         [kernel.kallsyms]     [k] update_curr
     1.09%     0.08%  swapper          [kernel.kallsyms]     [k] flush_smp_call_function_from_idle
     1.09%     0.02%  mariadbd         [kernel.kallsyms]     [k] schedule_timeout
     1.09%     0.36%  swapper          [kernel.kallsyms]     [k] enqueue_entity
     1.08%     0.17%  mariadbd         [kernel.kallsyms]     [k] select_idle_sibling
     1.08%     0.45%  mariadbd         [kernel.kallsyms]     [k] _raw_spin_lock
     1.08%     0.01%  mariadbd         [kernel.kallsyms]     [k] blk_mq_end_request
     1.06%     0.01%  swapper          [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     1.06%     0.04%  swapper          [kernel.kallsyms]     [k] __irq_exit_rcu
     1.05%     0.01%  swapper          [kernel.kallsyms]     [k] hrtimer_interrupt
     1.04%     0.04%  mariadbd         [kernel.kallsyms]     [k] __blk_mq_try_issue_directly
     1.00%     0.03%  swapper          [kernel.kallsyms]     [k] tick_nohz_idle_stop_tick
     0.99%     0.06%  mariadbd         [kernel.kallsyms]     [k] do_poll.constprop.0
     0.98%     0.05%  mariadbd         [kernel.kallsyms]     [k] blk_update_request
     0.98%     0.12%  mariadbd         [kernel.kallsyms]     [k] nvme_queue_rq
     0.98%     0.09%  mariadbd         [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.97%     0.25%  mariadbd         [kernel.kallsyms]     [k] syscall_exit_work
     0.95%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_recvmsg
     0.95%     0.02%  mariadbd         [kernel.kallsyms]     [k] perf_event_task_tick
     0.94%     0.10%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_read_generic
     0.94%     0.01%  swapper          [kernel.kallsyms]     [k] __softirqentry_text_start
     0.94%     0.08%  tclsh8.6         [kernel.kallsyms]     [k] do_poll.constprop.0
     0.93%     0.01%  mariadbd         [kernel.kallsyms]     [k] __wake_up_common_lock
     0.93%     0.17%  mariadbd         [kernel.kallsyms]     [k] newidle_balance
     0.93%     0.02%  mariadbd         [kernel.kallsyms]     [k] __submit_bio_noacct_mq
     0.92%     0.16%  mariadbd         [kernel.kallsyms]     [k] perf_adjust_freq_unthr_context
     0.92%     0.01%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_recvfrom
     0.91%     0.27%  mariadbd         [kernel.kallsyms]     [k] ttwu_queue_wakelist
     0.91%     0.06%  swapper          [kernel.kallsyms]     [k] tick_nohz_idle_exit
     0.91%     0.04%  mariadbd         [kernel.kallsyms]     [k] sock_def_readable
     0.90%     0.02%  mariadbd         [kernel.kallsyms]     [k] __sys_recvfrom
     0.89%     0.06%  mariadbd         [kernel.kallsyms]     [k] blk_mq_submit_bio
     0.89%     0.08%  mariadbd         [kernel.kallsyms]     [k] __wake_up_common
