# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10490410651502
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                           
# ........  ........  ...............  ..........................  .................................................................................................................................................................................
#
     1.18%     0.02%  mariadbd         [kernel.kallsyms]           [k] pagecache_get_page
     1.17%     0.14%  mariadbd         [kernel.kallsyms]           [k] perf_adjust_freq_unthr_context
     1.16%     0.02%  mariadbd         [kernel.kallsyms]           [k] __wake_up_common_lock
     1.16%     0.05%  swapper          [kernel.kallsyms]           [k] __irq_exit_rcu
     1.16%     1.13%  mariadbd         [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath.part.0
     1.15%     0.02%  mariadbd         [kernel.kallsyms]           [k] __submit_bio_noacct_mq
     1.15%     0.05%  mariadbd         [kernel.kallsyms]           [k] sock_def_readable
     1.15%     0.01%  swapper          [kernel.kallsyms]           [k] __sysvec_apic_timer_interrupt
     1.15%     0.08%  mariadbd         [kernel.kallsyms]           [k] __wake_up_common
     1.14%     0.01%  swapper          [kernel.kallsyms]           [k] hrtimer_interrupt
     1.13%     0.04%  mariadbd         [kernel.kallsyms]           [k] find_busiest_group
     1.11%     0.28%  mariadbd         [kernel.kallsyms]           [k] syscall_exit_work
     1.11%     0.07%  mariadbd         [kernel.kallsyms]           [k] blk_mq_submit_bio
     1.09%     0.90%  mariadbd         [kernel.kallsyms]           [k] xas_load
     1.08%     0.07%  mariadbd         [kernel.kallsyms]           [k] update_sd_lb_stats.constprop.0
     1.07%     1.07%  mariadbd         [kernel.kallsyms]           [k] __default_send_IPI_dest_field
     1.07%     0.05%  mariadbd         [kernel.kallsyms]           [k] do_poll.constprop.0
     1.06%     0.07%  swapper          [kernel.kallsyms]           [k] flush_smp_call_function_from_idle
     1.06%     0.02%  mariadbd         [kernel.kallsyms]           [k] __read_extent_tree_block
     1.06%     0.00%  kswapd0          [kernel.kallsyms]           [k] shrink_inactive_list
     1.05%     0.08%  tclsh8.6         [kernel.kallsyms]           [k] do_poll.constprop.0
     1.05%     0.28%  mariadbd         [kernel.kallsyms]           [k] enqueue_entity
     1.04%     0.01%  mariadbd         [kernel.kallsyms]           [k] __getblk_gfp
     1.03%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] __x64_sys_recvfrom
     1.03%     0.01%  swapper          [kernel.kallsyms]           [k] __softirqentry_text_start
     1.03%     0.33%  swapper          [kernel.kallsyms]           [k] enqueue_entity
     1.02%     0.88%  mariadbd         [kernel.kallsyms]           [k] ext4_es_lookup_extent
     1.02%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] __sys_recvfrom
     1.02%     0.05%  mariadbd         [kernel.kallsyms]           [k] pollwake
     1.02%     0.01%  mariadbd         [kernel.kallsyms]           [k] __find_get_block
     1.01%     0.01%  mariadbd         [kernel.kallsyms]           [k] blk_mq_end_request
     0.98%     0.02%  mariadbd         [kernel.kallsyms]           [k] amd_pmu_disable_all
     0.98%     0.77%  mariadbd         [kernel.kallsyms]           [k] update_sg_lb_stats
     0.96%     0.02%  mariadbd         [kernel.kallsyms]           [k] blk_mq_flush_plug_list
     0.96%     0.01%  swapper          [kernel.kallsyms]           [k] __hrtimer_run_queues
     0.95%     0.21%  mariadbd         [kernel.kallsyms]           [k] select_idle_cpu
     0.95%     0.02%  kswapd0          [kernel.kallsyms]           [k] shrink_page_list
     0.95%     0.16%  mariadbd         [kernel.kallsyms]           [k] asm_sysvec_call_function
     0.95%     0.01%  swapper          [kernel.kallsyms]           [k] __run_hrtimer
     0.95%     0.00%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_pwrite64
     0.95%     0.00%  mariadbd         [kernel.kallsyms]           [k] vfs_write
