# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6625486293113
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                                                                    
# ........  ........  ...............  ..........................  ..........................................................................................................................................................................................................................
#
     0.99%     0.06%  mariadbd         [kernel.kallsyms]           [k] do_poll.constprop.0
     0.98%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_recvmsg
     0.98%     0.02%  swapper          [kernel.kallsyms]           [k] tick_nohz_idle_stop_tick
     0.97%     0.09%  mariadbd         [kernel.kallsyms]           [k] exit_to_user_mode_prepare
     0.97%     0.10%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_read_generic
     0.97%     0.12%  mariadbd         [kernel.kallsyms]           [k] nvme_queue_rq
     0.96%     0.16%  mariadbd         [kernel.kallsyms]           [k] newidle_balance
     0.96%     0.08%  tclsh8.6         [kernel.kallsyms]           [k] do_poll.constprop.0
     0.96%     0.04%  mariadbd         [kernel.kallsyms]           [k] blk_update_request
     0.94%     0.01%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_recvfrom
     0.93%     0.01%  mariadbd         [kernel.kallsyms]           [k] __wake_up_common_lock
     0.93%     0.01%  mariadbd         [kernel.kallsyms]           [k] __sys_recvfrom
     0.92%     0.27%  mariadbd         [kernel.kallsyms]           [k] ttwu_queue_wakelist
     0.92%     0.01%  swapper          [kernel.kallsyms]           [k] __softirqentry_text_start
     0.91%     0.46%  swapper          [kernel.kallsyms]           [k] update_load_avg
     0.91%     0.02%  mariadbd         [kernel.kallsyms]           [k] __submit_bio_noacct_mq
     0.91%     0.05%  mariadbd         [kernel.kallsyms]           [k] sock_def_readable
     0.90%     0.02%  mariadbd         [kernel.kallsyms]           [k] perf_event_task_tick
     0.89%     0.07%  mariadbd         [kernel.kallsyms]           [k] __wake_up_common
     0.88%     0.06%  mariadbd         [kernel.kallsyms]           [k] blk_mq_submit_bio
     0.88%     0.16%  mariadbd         [kernel.kallsyms]           [k] perf_adjust_freq_unthr_context
     0.88%     0.01%  swapper          [kernel.kallsyms]           [k] __hrtimer_run_queues
     0.87%     0.06%  swapper          [kernel.kallsyms]           [k] tick_nohz_idle_exit
     0.87%     0.01%  swapper          [kernel.kallsyms]           [k] __run_hrtimer
     0.86%     0.06%  swapper          [kernel.kallsyms]           [k] tick_nohz_get_sleep_length
     0.85%     0.01%  swapper          [kernel.kallsyms]           [k] tick_sched_timer
     0.83%     0.18%  swapper          [kernel.kallsyms]           [k] pick_next_task_fair
     0.81%     0.04%  mariadbd         [kernel.kallsyms]           [k] pollwake
     0.81%     0.01%  mariadbd         [kernel.kallsyms]           [k] unix_stream_recvmsg
     0.80%     0.41%  swapper          [kernel.kallsyms]           [k] ktime_get
     0.80%     0.08%  mariadbd         [kernel.kallsyms]           [k] unix_stream_read_generic
     0.79%     0.02%  mariadbd         [kernel.kallsyms]           [k] schedule_hrtimeout_range_clock
     0.79%     0.04%  swapper          [kernel.kallsyms]           [k] hrtimer_start_range_ns
     0.79%     0.04%  mariadbd         [kernel.kallsyms]           [k] ext4_map_blocks
     0.77%     0.25%  mariadbd         [kernel.kallsyms]           [k] futex_wait_setup
     0.75%     0.20%  mariadbd         [kernel.kallsyms]           [k] enqueue_entity
     0.74%     0.03%  mariadbd         [kernel.kallsyms]           [k] ext4_iomap_begin
     0.73%     0.14%  mariadbd         [kernel.kallsyms]           [k] select_idle_cpu
     0.73%     0.73%  mariadbd         [kernel.kallsyms]           [k] available_idle_cpu
     0.73%     0.00%  swapper          [kernel.kallsyms]           [k] tick_sched_handle
     0.72%     0.04%  swapper          [kernel.kallsyms]           [k] update_process_times
     0.72%     0.01%  swapper          [kernel.kallsyms]           [k] blk_mq_end_request
     0.72%     0.41%  mariadbd         [kernel.kallsyms]           [k] __audit_syscall_exit
     0.71%     0.02%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_bio_end_io
     0.67%     0.02%  mariadbd         [kernel.kallsyms]           [k] amd_pmu_disable_all
     0.67%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __wake_up_common_lock
     0.67%     0.01%  mariadbd         [kernel.kallsyms]           [k] sock_alloc_send_pskb
     0.66%     0.03%  mariadbd         [kernel.kallsyms]           [k] load_balance
     0.66%     0.50%  mariadbd         [kernel.kallsyms]           [k] finish_task_switch.isra.0
     0.66%     0.64%  mariadbd         [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath.part.0
     0.65%     0.05%  tclsh8.6         [kernel.kallsyms]           [k] __wake_up_common
     0.65%     0.04%  mariadbd         [kernel.kallsyms]           [k] alloc_skb_with_frags
     0.64%     0.00%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_pwrite64
     0.64%     0.00%  mariadbd         [kernel.kallsyms]           [k] vfs_write
     0.64%     0.04%  swapper          [kernel.kallsyms]           [k] blk_update_request
     0.64%     0.00%  mariadbd         [kernel.kallsyms]           [k] new_sync_write
     0.64%     0.00%  mariadbd         [kernel.kallsyms]           [k] ext4_buffered_write_iter
     0.63%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] sock_def_readable
     0.63%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] schedule_hrtimeout_range_clock
     0.62%     0.01%  swapper          [kernel.kallsyms]           [k] scheduler_tick
     0.61%     0.02%  mariadbd         [kernel.kallsyms]           [k] wake_affine
     0.61%     0.04%  mariadbd         [kernel.kallsyms]           [k] __alloc_skb
     0.61%     0.05%  mariadbd         [kernel.kallsyms]           [k] nvme_map_data
     0.61%     0.00%  mariadbd         [kernel.kallsyms]           [k] generic_perform_write
     0.60%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] schedule
     0.60%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] pollwake
     0.60%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] try_to_wake_up
     0.59%     0.04%  swapper          [kernel.kallsyms]           [k] tick_nohz_restart_sched_tick
     0.58%     0.15%  mariadbd         [kernel.kallsyms]           [k] switch_fpu_return
     0.58%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] sock_alloc_send_pskb
     0.57%     0.08%  tclsh8.6         [kernel.kallsyms]           [k] __schedule
     0.56%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] alloc_skb_with_frags
